;great;states;trump;united;people;new;president;government;news;american;world;republican;house;party;end;america;federal;system;man;state;help;working;complete;history;killed;democrats;donald;senate;book;war;trying;night;another;needs;hillary;thank;china;tax;russia;super;administration;good;justice;police;fact;obama;video;big;voted;committee;ruled;department;next;country;strategy;points;win;important;northern;early;policy;republicans;medical;1st;nation;criminal;nfl;washington;popular;usa;sunday;flynn;2016;intelligence;california;bowl;10;fully;action;investigating;could;security;billion;education;attack;created;territory;political;students;community;death;offers;committed;may;white;place;tuesday;500;fbi;nuclear
great;0;0;6;0;4;4;6;0;2;4;0;0;6;2;0;4;0;2;0;6;0;2;0;0;0;2;2;0;4;0;4;2;2;0;2;2;0;0;2;0;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;4;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0
states;0;0;4;28;4;4;2;2;4;0;10;0;2;2;4;2;2;2;0;0;4;0;0;4;0;0;2;2;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;6;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;2;0;0;2;2;2;0;0;2;2;4
trump;0;0;0;4;4;2;12;2;6;2;0;6;6;2;0;0;2;0;0;2;0;0;4;2;0;0;10;4;0;0;2;2;2;0;2;0;0;4;4;0;2;2;4;0;0;2;0;2;0;4;0;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;4;0;4;2;4;0;0;0;2;0;2;2;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0
united;0;0;0;0;4;4;2;2;4;0;10;0;2;2;4;2;2;2;0;0;4;0;0;4;0;0;2;2;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;6;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;2;0;0;2;2;2;0;0;2;2;4
people;0;0;0;0;0;0;6;4;0;2;0;4;0;8;2;2;0;0;4;4;0;0;2;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;0;2;0;0;4;0;2;0;2;0;2;0;0;0
new;0;0;0;0;0;0;2;2;2;0;2;0;4;0;0;4;0;0;2;0;2;0;0;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;4;2;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;2;0;0;2;0;2;0;2;2;0;0;0;0;0
president;0;0;0;0;0;0;0;0;0;2;2;4;4;4;0;2;0;2;2;0;0;2;4;2;0;2;4;2;0;2;0;2;4;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;4;0;2;0;0;0;2;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0
government;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;6;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;2;0;0;2;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
american;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;2;2;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0
