;maine;state;families;new;justices;thank;welcome;service;proud;conrad;school;people;responders;court;work;11th;september;attracting;home;great;act;law;program;retired;cancer;joined;outdoors;hope;presented;honor;maines;signed;earlier;step;temperament;life;data;justice;17;supplemental;directed;class;closed;impartial;incredible;talented;workforce;programs;senate;morales;entrepreneurs;give;20;extreme;plenty;breathing;grade;afterwards;crews;impacts;catherine;slugger;bill;ask;england;@oakhurstdairy;91yearold;confirmed;connors;experience;jeffrey;meeting;side;roads;schools;proposal;sharp;legislature;supreme;defend;superior;central;courage;demonstrate;fallen;enhances;contributions;tribute;horton;andrew;hjelm;safety;sacrifice;mainers;room;young;identity;intellect;strengthens;summit
maine;0;10;6;6;2;2;2;0;4;0;2;6;2;0;4;0;0;4;2;2;2;0;4;0;2;2;2;2;2;0;2;2;2;2;2;2;2;2;0;2;2;0;2;2;2;2;2;2;2;0;2;2;2;2;2;2;0;0;2;2;0;0;0;0;2;2;0;2;0;2;0;0;2;2;2;2;2;0;0;2;0;2;0;2;0;2;2;0;0;0;0;2;0;0;2;2;2;2;2;2
state;0;0;2;4;2;2;4;0;6;0;0;6;2;0;4;0;0;4;4;2;0;2;2;0;0;0;2;2;0;0;2;0;2;0;2;2;2;2;0;0;2;0;2;2;2;2;0;0;2;0;2;2;0;2;2;2;0;0;2;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;2;0;2
families;0;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;2;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;2;0;0;2;2
new;0;0;0;0;0;2;2;0;4;0;2;2;0;0;2;0;0;4;2;0;0;0;4;0;0;2;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
justices;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0
thank;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
welcome;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;4;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
service;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;4;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2
conrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
