;state;health;#covid19;thank;new;live;care;covid19;county;help;great;take;continue;together;public;work;1;coronavirus;provide;businesses;stay;support;arizona;working;people;emergency;city;response;power;home;update;services;ensure;positive;schools;lives;important;workers;news;learn;best;everyone;fight;watch;center;hospital;safe;program;national;history;proud;government;hard;weeks;states;spread;thanks;country;action;west;president;pandemic;critical;strong;staff;year;honored;military;grateful;social;put;families;updates;distancing;dr;children;press;big;por;local;testing;meals;mexico;call;possible;high;2019;stream;economy;communities;increase;food;governor;order;kids;share;improve;@azdhs;ahead;necessary
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;4;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;0;0;2;0;0;6;2;0;0;0;2;0;0;0;4;0;2;2;2;0;6;0;2;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;2;2;0;2;8;0;0;2;0;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;0;2;0;4;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;4;0;0;2;2;0;0;0;0;2;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;2;0;0;0;2;2;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;4;2;0;2;0;2;0;2;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;2;2;2;2;0;0;0;2;0;0;0;0;4;0;2;2;4;0;0;0;0;4;4;0;0;0;2;6;0;2;0;4;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;2;2;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;4;0;2;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;4;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;2;0;0;6;2;2;0;2;0;0;2;2;2;0;2;2;6;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;4;0;2;0;4;0;0;2;6;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
