;nv;nevada;great;thank;state;ty;year;support;new;help;lady;students;ely;work;nevadans;service;helping;family;vegas;honor;check;joining;pleasure;county;life;staff;public;director;stop;reno;forward;local;education;proud;next;kathy;office;community;leaders;hard;school;lives;lets;working;carson;announced;success;take;veterans;world;learn;dedicated;general;visit;las;critical;fallon;happy;city;good;million;nevadas;park;development;individuals;nvs;morning;love;ca;part;appointment;soldiers;agencies;continue;wait;together;means;2020;across;thanks;home;later;@nvnationalguard;blood;businesses;tour;built;cultural;safe;governors;future;everyone;efforts;#ely;walkin;@csncoyote;art;yesterday;deployed;schools
nv;0;2;8;4;12;4;6;8;4;4;0;4;6;2;2;2;0;4;2;0;2;4;2;0;0;2;2;0;2;2;6;2;6;2;6;4;4;0;4;0;0;2;2;2;2;0;4;2;4;4;2;0;0;2;2;2;2;0;2;2;2;2;2;4;2;2;0;0;4;4;0;4;4;4;0;2;0;2;8;0;2;2;0;0;0;0;2;0;0;2;4;0;0;2;0;0;0;0;2;2
nevada;0;0;10;10;10;4;2;0;6;4;4;4;4;2;4;2;4;0;6;2;4;4;2;2;2;0;2;6;2;4;2;2;0;6;2;0;2;6;4;2;4;2;2;2;2;0;2;2;2;0;2;2;2;2;2;4;4;4;2;2;0;4;0;0;0;0;4;2;0;2;2;0;0;0;2;2;2;4;0;0;2;0;0;2;2;4;0;0;2;0;0;2;2;0;0;2;0;0;0;2
great;0;0;0;4;14;12;4;4;6;2;6;2;4;10;12;6;4;2;6;2;0;12;4;2;2;2;2;4;2;4;0;10;6;2;4;2;4;4;4;6;2;0;2;2;2;2;2;2;2;0;0;2;2;2;2;0;4;4;2;2;2;2;4;4;4;2;2;0;2;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;2;2;2;2;0;0;0;0;0;4;0;2;2;0;0;0
thank;0;0;0;0;10;0;8;10;2;8;2;6;0;6;6;14;4;4;2;4;0;2;4;2;2;6;6;2;0;2;4;2;2;6;2;0;4;0;4;6;2;4;0;2;0;0;0;0;4;4;0;6;2;2;2;2;2;2;0;4;0;2;2;2;0;2;4;0;0;4;0;2;4;2;2;4;2;4;2;0;2;0;4;0;0;0;0;0;6;2;0;4;2;2;2;2;0;0;0;4
state;0;0;0;0;0;4;4;6;4;6;2;0;4;0;10;4;0;4;4;6;0;0;0;4;0;2;4;4;2;6;2;2;2;6;2;4;2;0;2;0;0;0;2;2;4;0;0;2;4;0;0;0;0;0;2;2;0;2;4;2;0;4;4;2;2;6;6;0;0;4;0;0;4;6;0;4;0;0;4;0;0;2;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;2;0;0
ty;0;0;0;0;0;0;2;2;2;4;8;6;4;10;6;4;6;0;8;6;0;6;4;0;2;6;0;4;0;2;2;4;6;0;0;2;0;2;2;2;4;2;2;0;4;0;2;4;2;2;0;0;4;4;2;4;2;0;2;0;2;2;0;2;4;2;2;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;4;0;0;2;2;2;0;0
year;0;0;0;0;0;0;0;2;8;2;0;2;2;2;4;0;0;2;2;2;0;0;4;0;0;4;0;2;0;0;4;0;2;0;0;4;6;0;4;4;2;0;2;6;0;2;2;0;0;2;0;2;2;0;0;2;2;4;0;0;0;0;0;2;2;2;0;2;0;0;2;2;2;0;6;2;0;2;0;0;2;2;0;0;0;0;0;2;0;2;2;2;4;0;6;0;0;0;2;2
support;0;0;0;0;0;0;0;0;0;2;2;8;0;2;0;4;0;2;0;4;0;0;2;0;0;4;6;0;0;0;2;2;6;2;0;0;2;2;0;2;2;4;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;4;0;2;4;0;0;0;0;2;6;0;0;2;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;4
new;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;2;2;4;2;0;6;6;2;2;2;0;4;2;0;0;4;0;2;4;2;6;2;0;0;2;0;4;4;0;0;2;0;0;0;0;2;2;0;2;0;0;4;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;4;2;0;0;2;0;4;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;2;2;2;2;0;4;0;2;2;4;4;4;0;0;2;0;4;0;0;0;2;2;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;4;0;0;4;0;0;2;0;0;0;0;0;0;4;2;0;2;0;0;2;2;0;0;0;0;0;0;0
lady;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;4;2;2;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;4;0;2;0;0;0;2;0;0;4;2;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;2;0;0;4;0;2;0
