;president;speaking;trump;senate;@realdonaldtrump;people;news;american;fox;impeachment;house;iranian;@seanhannity;iran;minutes;great;latest;support;democratic;comes;south;help;war;americans;work;tonight;carolina;senator;take;hope;call;america;good;biden;state;working;general;military;world;tune;decision;case;congress;best;trumps;states;morning;country;bill;soleimani;political;democrats;chief;colleagues;believe;afghanistan;united;bidens;live;nation;team;freedom;witnesses;mr;coronavirus;containment;appreciate;channel;forward;commander;life;end;new;regarding;terrorism;fight;trying;nuclear;administration;economic;could;israel;stop;@speakerpelosi;national;hunter;ukraine;secretary;resolution;policies;security;deal;unborn;throughout;however;vote;unemployment;sponsor;economy;family
president;0;0;70;18;60;26;6;18;2;12;22;16;2;18;2;16;0;16;12;8;6;10;12;8;8;2;6;8;12;10;16;6;12;8;12;6;8;8;8;0;14;6;16;6;26;10;0;4;4;8;2;4;12;6;6;4;8;6;0;16;14;4;8;6;2;4;12;0;8;10;4;12;6;6;8;2;6;6;2;4;4;2;8;6;6;4;6;4;6;4;2;0;0;4;4;6;2;8;4;0
speaking;0;0;0;10;2;0;48;0;52;8;0;2;48;8;40;2;36;0;0;0;0;0;2;0;0;24;0;0;0;0;0;0;0;0;0;0;4;0;0;22;0;0;0;0;0;0;16;0;6;2;0;2;0;0;0;2;0;0;20;2;0;0;0;0;2;0;0;18;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
trump;0;0;0;12;18;18;2;10;2;4;4;10;2;10;2;10;0;12;6;2;4;10;6;2;4;2;4;2;4;8;2;4;0;2;4;2;4;4;8;0;4;2;6;2;2;0;0;6;2;4;4;6;2;6;2;2;2;2;0;4;6;4;2;2;2;2;6;0;6;0;4;6;8;0;4;0;2;4;16;0;2;2;6;0;4;0;4;2;0;0;4;2;0;2;0;2;0;4;6;0
senate;0;0;0;0;8;6;0;4;0;20;14;4;2;0;8;0;0;4;6;2;2;2;2;2;6;0;2;8;6;2;4;2;0;0;0;4;0;0;0;0;2;2;2;2;0;4;2;6;4;0;2;4;0;12;0;0;4;4;0;0;0;2;8;2;2;0;2;0;4;0;4;4;2;0;0;0;4;0;2;4;0;0;0;2;0;2;4;2;4;0;0;0;6;0;2;4;0;0;2;2
@realdonaldtrump;0;0;0;0;0;14;2;12;2;8;6;8;0;16;0;8;0;8;4;8;4;6;4;4;2;4;4;4;6;8;4;4;6;2;8;6;0;4;2;4;2;0;8;2;2;2;4;4;2;2;2;2;4;0;2;0;2;0;0;6;2;4;2;0;0;0;0;0;4;6;0;6;2;4;4;2;0;2;2;6;0;0;6;4;0;0;0;0;2;2;0;0;0;2;0;8;0;4;0;0
people;0;0;0;0;0;0;2;26;0;4;2;14;0;8;0;6;0;6;12;4;0;8;2;6;10;0;0;4;2;8;0;0;12;0;6;8;2;0;4;0;0;0;10;2;4;4;0;4;10;0;8;0;0;6;0;2;6;0;0;2;6;10;0;0;0;2;4;0;4;0;4;10;0;4;4;0;4;4;2;0;4;6;4;2;0;0;0;4;2;2;4;0;0;0;2;2;6;4;0;0
news;0;0;0;0;0;0;0;2;56;8;0;0;28;6;22;4;24;4;0;0;6;0;0;2;0;18;4;0;0;0;0;0;2;0;0;0;0;0;2;18;0;0;0;0;2;0;10;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;20;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4
american;0;0;0;0;0;0;0;0;0;6;4;6;0;8;0;4;0;2;4;2;0;6;0;6;2;0;0;2;0;4;0;0;6;0;6;4;2;4;2;0;0;2;8;2;2;0;0;4;8;4;4;0;2;2;0;4;0;0;0;0;2;6;0;0;0;0;0;0;2;2;0;8;0;4;6;0;0;4;0;2;2;0;4;0;0;0;0;6;0;0;2;2;0;2;4;0;0;6;0;2
fox;0;0;0;0;0;0;0;0;0;8;0;0;28;6;22;0;24;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;20;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
impeachment;0;0;0;0;0;0;0;0;0;0;12;0;4;4;6;2;8;0;0;4;0;0;0;0;0;6;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;4;0;0;2;2;4;4;0;0;4;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;6;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
