;trump;president;states;united;news;people;new;great;house;federal;government;national;american;fake;working;hard;administration;obama;former;party;white;democrats;department;york;state;republican;source;article;fbi;best;media;billion;job;senate;donald;election;together;security;thank;help;big;world;campaign;justice;bill;thing;looking;congress;texas;senator;2016;michael;presidential;committee;work;book;vote;information;report;tuesday;group;good;country;high;largest;win;important;nothing;post;history;investigating;released;major;intelligence;elder;uespwiki;hillary;war;whether;killed;crime;totally;proud;stop;florida;times;1995this;john;family;year;days;law;scrolls;quest;finally;story;russian;foreign;man;start
trump;0;30;2;0;10;10;10;0;6;8;6;8;6;10;4;2;14;8;2;0;0;4;4;6;2;4;2;4;10;0;4;6;2;8;18;8;2;4;0;4;4;2;16;6;2;4;4;4;2;2;12;2;12;8;2;2;2;4;8;4;2;2;0;0;2;2;4;0;2;2;8;2;2;6;0;0;4;2;4;0;4;2;0;4;4;6;0;0;2;4;0;2;0;0;0;0;4;0;0;0
president;0;0;10;10;6;10;12;4;4;6;2;6;6;6;2;4;2;8;6;4;2;4;2;6;2;0;0;0;8;2;2;6;4;4;2;6;0;6;0;4;2;2;4;4;2;2;2;6;0;0;12;2;8;2;0;0;0;2;0;4;0;2;4;2;4;4;2;2;4;2;6;4;2;2;0;0;2;2;4;0;0;0;2;0;0;2;0;4;0;2;2;2;0;0;0;2;4;2;0;0
states;0;0;0;54;6;8;6;4;4;4;6;4;8;6;4;2;0;2;2;2;0;2;4;2;4;0;0;0;0;0;2;2;6;0;0;0;4;2;2;2;2;8;0;2;2;2;0;2;2;2;2;2;0;0;0;2;2;0;2;0;2;0;2;2;4;0;2;0;0;4;0;0;2;0;0;0;4;4;0;8;2;0;0;0;4;0;0;0;0;2;2;0;0;0;2;0;0;2;0;2
united;0;0;0;0;6;8;6;4;4;0;4;4;8;4;6;2;0;2;2;2;0;2;4;2;2;0;0;0;0;0;2;2;6;0;0;0;6;2;2;2;2;8;0;2;2;2;0;2;0;2;2;2;0;0;0;2;2;0;2;2;2;0;2;2;4;0;2;0;0;4;0;0;0;0;0;0;6;4;0;8;2;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;0;2
news;0;0;0;0;0;0;6;8;4;2;2;2;2;26;2;4;4;0;0;8;4;0;0;0;0;6;2;0;2;2;12;0;2;0;4;2;0;0;0;0;0;0;2;2;2;2;2;0;0;2;2;2;2;0;4;4;2;0;2;2;2;4;0;0;0;4;4;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2
people;0;0;0;0;0;0;4;6;8;2;0;2;12;0;4;4;2;0;2;0;6;2;0;0;0;0;2;2;4;0;0;0;2;0;0;0;0;0;0;6;0;2;0;2;2;0;0;4;4;0;0;0;0;0;4;0;4;0;2;0;0;4;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;4;4;0;0;0;2;0;0;0;4;2;2;2;0;0;2;0;0;0;2;0
new;0;0;0;0;0;0;0;2;2;2;2;2;2;4;4;4;0;0;2;2;2;2;4;26;0;0;0;2;0;0;0;0;0;2;2;2;0;2;0;2;0;0;0;4;0;2;0;0;0;0;2;2;2;0;0;2;0;2;0;0;2;2;4;2;2;0;2;0;6;0;0;2;2;2;0;0;0;2;2;0;2;0;0;0;0;6;0;2;2;0;4;0;0;0;0;0;0;0;0;2
great;0;0;0;0;0;0;0;0;0;0;2;2;6;2;2;8;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;4;0;0;2;2;0;8;2;2;6;2;4;0;0;2;0;0;2;0;0;2;0;10;6;6;0;0;4;0;4;4;0;0;4;2;2;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;2;0
house;0;0;0;0;0;0;0;0;0;2;0;0;6;0;2;0;4;6;2;0;16;4;2;0;0;0;4;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;2;0;6;0;4;4;2;0;4;0;2;6;0;2;4;0;2;2;0;2;2;0;2;0;0;0;2;0;0;2;0;4;2;2;0;0;2;0;2;0;0;0;0;2;2;2;2;2;0;4;2;0;4;0;4;0;2;0
federal;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;2;2;0;2;2;0;4;0;4;0;0;2;0;0;0;6;0;0;0;2;0;0;0;0;2;2;2;2;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0
