;trump;great;united;states;president;new;people;state;working;court;american;administration;york;democrats;federal;obama;man;supreme;house;nothing;big;world;help;news;white;thank;love;monday;fact;iran;national;senate;hard;former;america;real;hearing;million;night;history;money;media;country;law;statement;congress;city;government;lot;job;party;republican;washington;campaign;year;massive;could;department;times;released;case;vote;important;greatest;making;security;stop;article;week;fbi;protect;investigation;win;second;days;fake;clinton;says;best;florida;group;election;series;saying;china;russia;woman;war;usa;think;post;americans;deal;texas;crisis;hillary;end;finally;voted;thousands
trump;0;8;2;2;30;12;6;6;6;4;2;18;10;6;8;4;0;2;12;6;2;0;2;4;10;0;0;0;2;0;0;4;4;6;0;2;4;6;0;0;2;4;2;0;2;4;0;0;2;4;0;4;4;12;2;2;2;4;6;2;2;2;0;0;4;0;0;8;4;4;0;0;2;0;2;2;4;0;0;2;2;2;0;2;0;4;2;2;0;2;8;2;0;2;0;2;0;0;0;0
great;0;0;10;8;8;10;14;8;8;2;10;2;2;8;0;4;6;2;0;2;4;4;4;4;0;4;12;0;2;2;2;0;4;2;8;2;4;2;2;0;2;0;6;0;2;4;6;0;2;8;4;6;0;2;0;2;0;0;0;0;0;2;2;2;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0;4;2;2;0;2;0;0;4;0;2;2;0;2
united;0;0;0;62;14;10;6;6;4;4;6;0;6;2;0;0;4;4;2;2;2;10;4;0;2;4;0;4;4;8;4;4;0;2;4;4;2;2;0;4;2;2;6;2;2;2;0;0;0;2;2;0;2;0;0;2;2;2;6;4;2;0;4;2;0;10;0;2;2;0;2;2;0;4;2;0;0;2;0;4;0;0;2;2;2;2;0;4;0;0;0;0;2;0;4;0;0;0;4;0
states;0;0;0;0;14;6;2;6;4;4;6;0;2;2;2;0;4;4;2;2;2;8;4;0;2;4;0;2;4;8;4;4;0;2;4;2;2;2;0;4;2;2;6;2;2;2;0;0;0;2;2;0;2;0;0;2;0;2;2;4;2;2;4;2;0;8;0;0;2;0;2;2;0;4;2;0;0;2;0;4;2;0;0;2;2;2;0;4;0;0;0;0;2;0;4;0;0;0;4;0
president;0;0;0;0;0;8;6;4;2;2;4;8;6;0;0;8;0;2;10;2;2;4;2;6;12;0;2;4;0;6;4;2;0;8;2;0;0;0;2;2;0;6;8;0;4;4;0;0;0;6;0;2;2;2;2;2;0;0;4;4;0;2;2;2;2;4;0;0;2;4;2;4;0;0;0;2;0;2;0;2;2;0;0;2;0;0;2;4;0;0;2;0;2;0;4;0;2;2;4;0
new;0;0;0;0;0;0;6;6;4;4;4;4;32;2;2;0;2;4;4;0;6;4;4;0;4;4;6;4;0;2;8;0;0;0;2;2;0;2;4;2;0;2;4;0;0;0;2;0;2;2;2;0;2;0;4;0;2;0;12;4;0;2;2;0;2;4;0;8;6;0;2;0;2;2;2;2;0;0;2;2;2;0;2;0;0;2;2;0;0;0;2;2;2;0;0;0;2;0;0;4
people;0;0;0;0;0;0;0;6;0;0;8;4;4;2;0;6;0;0;6;2;0;0;0;4;6;6;4;2;4;0;0;0;0;2;2;6;4;4;2;0;2;4;2;0;2;0;6;4;2;2;4;4;0;4;0;0;4;0;2;2;0;0;0;4;0;0;0;0;0;2;2;0;0;2;2;4;0;0;0;0;0;2;0;2;0;6;0;0;2;2;0;0;2;2;0;0;0;0;2;2
state;0;0;0;0;0;0;0;0;4;8;0;2;6;0;2;6;0;8;0;4;4;0;2;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;8;0;2;0;0;2;0;4;0;0;0;0;6;0;0;2;2;0;2;2;0;0;0;2;0;0;0;4;0;0;0;2;4;0;2;2;0;0;0;0;2;2;0;4;2;0;2;2;4;0;2;0;0;0;0
working;0;0;0;0;0;0;0;0;0;2;0;4;0;6;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;4;0;14;0;4;0;2;0;0;0;0;0;0;6;2;2;0;0;0;2;2;2;0;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0
court;0;0;0;0;0;0;0;0;0;0;0;4;4;2;8;0;2;26;2;0;4;0;0;2;2;2;0;2;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;4;0;2;0;4;0;0;2;0;2;0;2;0;2;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0
