;trump;people;president;great;new;states;united;administration;american;house;federal;obama;national;big;state;york;best;thank;democrats;senate;working;nothing;republican;department;justice;news;party;country;economy;may;world;white;help;government;campaign;trying;good;year;job;donald;thing;totally;strong;days;court;fake;committee;washington;game;article;hard;hillary;important;security;final;week;nfl;story;fbi;announce;reserve;china;proud;congress;season;take;vote;deal;former;russia;war;history;2017;election;wonderful;stop;saturday;political;bill;thursday;military;intelligence;love;general;copy;bad;team;looking;million;investigating;decision;usa;law;criminal;fact;show;information;iraq;win;greatest
trump;0;8;44;6;12;8;12;16;4;4;4;4;12;6;6;10;0;4;0;2;0;2;6;6;2;8;2;2;0;8;2;6;2;0;10;2;4;0;2;20;4;10;0;4;0;6;4;4;0;2;0;2;6;6;8;2;0;6;10;4;2;6;4;2;0;0;4;2;6;8;2;0;0;2;2;4;2;4;0;4;0;4;0;2;10;0;0;0;0;2;0;0;0;2;4;0;4;0;0;2
people;0;0;12;10;4;4;6;6;18;0;2;2;8;6;2;2;2;4;6;0;8;6;6;6;6;2;2;4;0;4;4;2;4;2;2;0;0;2;0;0;0;0;2;2;0;0;2;4;0;0;4;2;0;4;0;0;0;4;0;4;0;0;6;0;2;4;0;0;4;0;0;0;2;2;8;0;0;4;0;4;2;2;4;2;0;4;0;0;4;4;0;2;2;4;6;0;0;2;2;0
president;0;0;0;10;4;14;16;8;8;4;2;6;12;4;2;2;0;6;2;0;8;4;0;4;2;4;2;0;0;8;0;2;0;0;0;2;0;0;0;6;2;8;2;4;2;2;2;4;0;0;0;4;6;4;6;2;0;0;8;2;0;2;4;0;0;0;0;2;8;0;0;2;0;0;2;4;2;4;2;2;0;2;0;2;6;0;0;2;0;2;0;0;4;2;2;0;4;0;2;4
great;0;0;0;0;10;8;8;6;10;6;2;2;6;6;4;6;4;12;4;2;6;4;4;0;0;8;0;2;8;0;4;0;2;2;2;0;2;2;8;0;2;4;4;2;0;6;4;2;0;4;0;0;2;0;0;2;0;0;0;4;0;4;8;2;2;6;0;6;0;0;2;0;0;0;0;0;0;2;6;0;4;0;4;0;0;2;2;2;0;0;2;2;2;0;0;4;0;0;4;4
new;0;0;0;0;0;4;4;4;4;4;8;0;2;6;4;26;0;0;2;0;4;2;0;4;4;2;2;0;2;2;2;0;0;2;2;0;2;6;0;4;0;0;0;2;0;2;0;2;0;2;0;4;2;2;0;0;2;4;4;0;4;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;2;2;2;4;2;0;0;2;0;2;6;0;0;0;2;0;0;4;0;0;0;0;2;2
states;0;0;0;0;0;0;58;6;6;2;6;6;2;4;4;2;0;4;4;2;2;4;2;0;0;0;2;4;2;4;4;2;4;4;0;2;4;4;2;4;0;2;4;0;2;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;2;2;0;2;0;0;2;6;0;2;6;4;4;0;0;2;2;2;2;0;4;0;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;8;2;2
united;0;0;0;0;0;0;0;6;6;2;4;6;2;4;2;2;0;4;4;2;2;4;2;2;0;0;2;4;2;4;4;2;4;4;0;2;4;4;2;6;0;2;4;0;0;0;0;0;0;2;0;0;0;2;4;0;0;2;0;0;2;4;0;2;0;0;2;6;0;2;6;4;4;0;0;2;2;2;2;0;4;0;0;4;4;0;0;0;2;0;0;0;0;0;2;0;0;8;2;2
administration;0;0;0;0;0;0;0;0;2;0;4;24;2;2;4;2;0;2;2;2;2;4;2;2;0;2;0;2;0;2;0;2;2;2;0;2;2;0;0;0;4;4;0;2;0;0;2;2;0;0;2;4;0;4;2;0;0;0;2;2;0;0;2;2;2;2;0;2;4;0;0;0;0;4;0;2;0;0;2;0;0;4;2;2;2;0;0;4;0;4;0;0;2;0;2;2;2;2;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;8;0;8;6;4;2;4;2;0;6;0;0;0;0;4;0;0;0;0;0;0;0;4;0;2;2;2;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;4
house;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;4;6;8;2;2;2;0;0;2;2;0;2;0;0;14;2;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;8;4;4;4;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;2;2;0;2;8;0;0;4;2;0;0;2;8;0;0;0;0;2;2;2;2;0;2;2;2;0;0;0;2;0;2;0;0;0;2;0;4;4;0;0;0;2;2;0;14;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;2;0;0;2;0;2;0;0;0;0;0;2;4;0;4;0;2;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;4;2;0;0;2;0;2;0;0;0;2;2;2;0;2;2;0;0;0;2;2;0;2;0;0;2;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;2;4;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;2;2;2;0;0
