;city;new;people;hall;safe;join;yorkers;york;violence;police;nypd;change;help;communities;work;moment;restart;testing;businesses;covid19;face;support;officers;free;bronx;nyc;together;message;night;coverings;protest;social;care;tonight;june;yesterday;seen;thank;working;public;home;peaceful;community;black;curfew;saw;lives;streets;making;health;protect;restaurants;crisis;real;call;cure;young;neighborhoods;20;coming;movement;updates;country;needs;anyone;find;actions;rights;phase;week;forward;monday;bring;move;beginning;next;bringing;youth;discipline;fought;across;job;reform;fight;street;without;stop;disciplinary;tomorrow;transit;chief;continue;protests;test;seeing;ive;yorker;leaders;action;update
city;0;42;22;44;20;40;4;36;8;6;10;8;2;6;4;12;8;2;0;10;2;10;6;2;4;0;8;6;8;0;10;4;0;12;2;10;4;4;8;0;12;8;4;4;6;6;6;8;2;0;4;2;6;8;2;6;10;4;4;4;4;12;8;2;4;4;4;2;0;4;2;4;6;2;6;8;0;6;0;2;8;2;4;6;2;6;2;0;2;2;0;4;0;2;2;2;2;4;4;10
new;0;0;8;0;20;0;38;42;2;6;2;4;6;8;10;6;10;6;0;8;8;4;2;4;2;2;2;2;2;6;0;6;6;6;8;4;2;6;6;4;6;0;4;0;4;2;2;6;2;8;2;0;4;2;6;2;2;2;4;4;2;0;2;0;2;4;0;2;4;0;6;0;2;2;0;4;6;0;2;4;2;2;4;2;4;2;2;0;2;2;2;2;0;4;2;4;10;0;0;0
people;0;0;0;0;16;0;4;4;10;0;6;2;4;4;6;4;2;0;4;0;4;6;2;4;8;2;4;0;10;4;4;4;2;4;0;6;2;0;4;2;2;8;2;2;2;2;6;4;0;2;2;0;0;0;2;6;12;0;0;2;6;0;2;0;2;0;2;0;0;0;2;6;2;4;0;2;0;6;0;2;2;2;0;2;0;2;0;0;0;4;2;0;4;0;2;0;0;2;0;0
hall;0;0;0;0;0;38;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
safe;0;0;0;0;0;0;4;12;6;2;6;0;4;4;2;2;2;2;2;2;10;4;4;4;0;2;2;0;6;8;2;8;0;2;2;2;0;0;6;2;2;2;0;0;4;2;0;2;2;0;0;0;0;0;0;4;8;0;0;2;2;0;0;2;2;0;0;0;4;0;2;2;4;2;0;4;0;6;0;2;2;0;0;0;0;2;0;0;0;2;0;2;2;2;2;0;2;2;0;0
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
yorkers;0;0;0;0;0;0;0;4;0;2;2;0;4;2;10;4;6;2;0;2;6;2;2;2;2;2;2;0;0;4;0;4;6;2;4;0;0;2;4;4;0;0;2;0;2;0;0;2;2;8;0;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;4;0;2;4;0;0;2;0;2;4;0;2;2;2;2;0;2;2;2;2;2;0;2;0
york;0;0;0;0;0;0;0;0;2;4;0;2;2;6;0;2;6;0;0;4;6;2;2;0;0;0;0;2;2;4;0;4;0;4;2;4;0;4;2;0;4;0;0;0;4;2;2;4;0;0;2;0;0;0;2;2;2;0;0;4;2;0;2;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;2;0;0;2;0;2;0;2;2;0;0;0
violence;0;0;0;0;0;0;0;0;0;0;4;4;0;8;2;2;0;0;0;0;0;6;0;0;2;0;2;4;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;2;0;12;6;2;4;0;6;0;4;0;2;0;0;0;0;2;2;0;2;2;2;0;2;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0
police;0;0;0;0;0;0;0;0;0;0;4;4;0;6;4;2;0;0;0;2;2;2;6;0;0;2;2;2;0;0;2;0;0;0;0;2;4;2;2;6;0;2;8;0;2;0;0;0;4;0;2;0;2;2;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;6;0;0;2;2;8;0;0;0;0;2;0;4;0;2;2;6;0
