;people;great;united;president;new;states;national;federal;trump;news;senate;government;republican;state;obama;important;media;american;fake;security;help;administration;nations;article;love;russia;threat;house;york;department;man;sanders;released;history;americans;report;1;pay;election;chicago;donald;fbi;bad;thing;bill;party;win;military;committee;possible;use;think;times;football;12;night;money;governor;carolina;called;big;radical;primary;former;decided;@;may;stop;name;michigan;mike;officially;local;guy;5;join;third;interest;approve;enforcement;given;voted;old;top;2;community;hurricanes;investigation;public;step;dnc;bernie;everyone;reserve;america;changes;understand;weather;communications;blaming
people;0;8;2;0;2;0;0;2;0;2;0;4;2;2;2;2;4;8;2;0;2;2;0;0;4;0;0;0;0;0;6;0;0;0;0;2;0;4;2;2;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;2;2;2;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;0;0
great;0;0;2;2;0;0;2;2;2;4;0;0;0;2;0;6;4;4;2;0;4;0;0;0;6;0;0;0;0;0;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;2;2;2;4;0;0;0;0;2;0;4;0;2;0;0;0;0;0
united;0;0;0;2;4;16;2;2;2;0;4;4;0;4;2;2;2;0;0;2;0;2;6;0;2;2;0;0;2;2;0;0;0;2;0;2;0;0;2;0;2;2;0;0;2;0;2;6;0;2;6;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;2;2;4;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0
president;0;0;0;0;2;2;2;0;8;2;2;0;0;0;4;0;4;2;2;4;0;0;0;0;0;0;0;4;2;0;0;0;4;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;4;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
new;0;0;0;0;0;4;2;2;0;0;0;2;0;0;4;2;0;2;0;2;2;4;2;0;0;0;0;0;8;0;2;0;2;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;2;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0
states;0;0;0;0;0;0;2;2;0;0;6;4;0;0;2;0;0;0;0;4;2;2;0;0;0;0;2;0;2;2;0;0;0;4;0;2;0;0;0;0;0;2;0;0;4;0;0;4;0;2;4;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0
national;0;0;0;0;0;0;0;4;2;2;0;0;6;2;2;2;0;0;0;6;0;2;2;2;0;0;2;0;2;0;2;4;2;2;4;2;0;0;2;0;2;6;2;2;0;0;0;0;8;2;2;0;2;0;0;2;0;0;0;0;2;0;2;2;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;4;2;4;2;4;2;0;0;0;0;0;4;0
federal;0;0;0;0;0;0;0;0;2;2;0;6;4;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;2;0;2;2;0;2;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;4;0;0;0;0;0;2;2;0;2;0;2;2;0;0;0;4;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;4;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;6;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;2;4;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;6;4;8;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
