;trump;great;people;president;states;united;new;national;house;american;white;administration;government;federal;news;democrats;man;world;love;obama;job;working;country;donald;senate;republican;best;court;fbi;state;york;help;former;campaign;party;congress;act;supreme;story;hard;law;radical;thank;department;washington;china;million;left;good;may;order;military;bill;big;year;using;election;history;fake;trying;money;committee;press;russia;announce;justice;political;security;media;investigation;deal;thing;work;power;2016;days;billion;strong;support;week;presidential;russian;death;police;lot;thousands;clinton;bad;senator;republicans;reserve;2018;post;city;vote;fact;article;amazing;asked;democratic
trump;0;24;22;72;14;18;16;16;36;20;30;36;8;6;12;10;10;6;0;10;8;0;6;48;6;16;4;10;14;2;6;8;10;28;6;4;4;8;12;0;2;6;0;8;12;2;6;6;4;10;8;6;6;8;2;2;16;6;6;4;2;8;8;12;4;10;6;14;10;18;2;8;2;6;10;6;0;2;0;4;12;10;2;2;0;4;14;6;2;2;0;0;4;0;6;4;0;0;8;2
great;0;0;44;10;16;14;20;6;12;34;14;10;4;0;14;10;12;2;14;2;24;8;12;4;6;10;2;4;4;10;10;6;2;4;10;2;4;4;6;12;4;8;14;2;10;6;0;6;12;2;2;6;6;8;10;2;2;2;4;6;6;6;4;4;2;0;0;2;4;0;6;10;10;0;2;4;2;4;10;2;0;0;2;0;4;2;4;2;6;2;0;4;2;4;2;4;4;12;0;2
people;0;0;0;22;26;30;16;6;8;42;8;12;8;6;4;18;4;10;14;2;8;10;10;0;4;4;6;6;0;6;4;4;0;0;4;4;8;6;4;6;4;6;4;2;6;4;8;8;4;6;4;2;2;8;6;2;4;4;4;2;6;4;10;0;4;2;0;2;4;0;2;2;4;4;2;12;2;6;6;6;0;0;4;2;8;10;0;0;2;2;2;2;6;0;8;4;0;6;2;0
president;0;0;0;0;18;18;6;20;34;16;38;6;10;6;12;10;6;2;4;10;2;8;8;12;8;12;4;4;12;2;2;2;20;10;0;10;2;4;6;4;2;4;0;4;10;4;0;4;0;4;8;8;6;6;0;4;2;6;10;8;0;6;6;8;4;12;6;18;12;10;4;6;2;2;6;4;0;4;4;8;6;6;4;0;10;4;4;0;4;4;0;0;0;4;6;8;0;0;12;0
states;0;0;0;0;0;122;18;6;8;10;6;12;10;10;6;12;2;16;6;10;2;8;4;6;12;2;2;12;0;12;6;6;4;2;0;2;4;14;6;0;8;6;6;4;0;8;4;10;0;4;6;4;4;2;6;2;2;8;4;6;0;0;0;6;6;4;0;2;0;0;4;4;0;0;0;4;6;4;10;0;8;4;2;2;0;0;2;4;0;0;2;2;2;0;6;4;0;0;0;0
united;0;0;0;0;0;0;18;2;8;10;6;16;6;4;8;12;2;14;6;8;4;4;4;2;8;6;2;10;0;10;4;6;4;0;0;2;4;12;8;0;6;6;8;2;0;10;6;10;0;4;6;4;4;0;4;4;2;8;6;6;0;0;0;6;4;2;0;4;2;0;2;6;0;0;0;6;4;2;8;0;4;4;2;2;0;0;2;2;0;0;2;2;6;0;4;2;0;0;0;0
new;0;0;0;0;0;0;0;4;6;12;8;14;2;6;8;4;4;4;4;10;6;6;4;2;2;4;2;2;2;4;42;0;2;2;4;4;0;0;4;2;0;2;4;6;6;8;10;4;2;6;2;0;2;2;0;0;2;2;0;2;0;0;6;4;2;8;2;4;0;4;2;0;2;4;2;2;0;2;0;6;0;2;4;0;0;4;8;4;0;0;4;2;10;6;4;4;4;4;0;2
national;0;0;0;0;0;0;0;0;10;6;8;4;12;6;0;2;0;0;0;4;0;8;6;8;6;12;2;2;8;6;0;2;12;2;4;0;4;2;0;8;4;0;0;2;2;0;6;0;0;4;2;2;2;4;0;0;4;2;0;0;2;20;4;0;0;4;6;24;2;4;4;2;2;4;8;0;2;2;0;2;6;4;2;0;0;2;2;0;0;0;2;0;0;2;2;0;2;0;6;10
house;0;0;0;0;0;0;0;0;0;8;80;6;2;0;4;6;0;4;0;0;6;0;2;2;14;0;2;0;8;4;2;2;14;8;0;0;2;0;0;2;2;8;6;2;6;6;0;8;4;4;2;2;2;2;2;0;2;6;0;2;0;4;18;8;4;2;2;6;0;6;4;0;2;2;2;10;0;0;0;2;2;0;2;0;0;4;6;0;4;6;0;2;0;0;2;4;0;0;8;2
american;0;0;0;0;0;0;0;0;0;0;4;10;4;4;4;12;8;4;6;2;6;6;8;0;8;2;2;4;4;0;6;4;0;2;0;14;4;4;4;4;0;6;4;4;2;2;2;6;4;2;0;2;4;4;4;0;4;10;4;0;0;0;4;6;4;6;4;4;4;2;2;4;4;2;4;2;0;2;6;2;4;0;2;0;0;0;2;2;4;2;0;0;6;0;6;2;2;2;0;0
