;president;great;trump;states;people;united;new;man;american;national;senate;house;says;americans;care;china;north;court;democrats;senator;hit;white;information;korea;government;good;fbi;help;investigation;media;supreme;nothing;decision;world;friends;news;department;country;bad;looking;strong;health;calling;latest;friday;justice;fire;work;police;think;leaguenational;different;urban;support;james;times;secret;avoid;obama;fake;democratic;deliver;2;love;polls;investigating;seven;pleased;amazing;detroit;lost;chinese;vote;washington;texas;drugs;nation;hard;family;best;human;hillary;brought;administration;order;chief;putin;shut;went;biggest;call;comey;party;federal;phony;control;prices;working;job;week
president;0;2;12;4;2;6;2;0;2;2;0;2;2;2;0;4;2;2;0;0;0;2;0;2;2;2;4;2;4;4;2;0;4;2;0;0;0;2;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;2;2;2;0;2;0;0;2;0;0;0;0;4;4;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;2;2;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0
great;0;0;2;0;4;0;2;0;2;2;2;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
trump;0;0;0;0;2;0;2;2;2;4;0;4;2;0;0;0;0;0;0;2;2;4;2;0;0;0;2;0;4;4;0;0;4;0;0;0;2;2;2;2;4;0;0;2;2;2;0;0;0;2;0;0;0;4;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0
states;0;0;0;0;4;14;0;2;4;0;4;2;2;0;4;2;4;2;2;2;0;0;2;4;4;2;0;0;0;0;2;0;0;6;0;0;2;2;0;2;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;2;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0
people;0;0;0;0;0;2;2;2;2;0;0;2;2;0;0;2;0;4;0;2;0;0;0;2;0;0;2;0;0;0;4;2;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;2;2
united;0;0;0;0;0;0;0;0;2;0;6;2;2;2;2;2;4;2;2;2;0;0;2;4;2;0;0;0;0;0;2;0;2;6;0;0;2;2;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0
new;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;2;4;2;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;2;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0
