;health;public;covid19;toronto;city;new;@topublichealth;people;data;childcare;safe;staff;work;system;safely;care;continue;important;recovery;learn;physical;contact;province;support;case;masks;community;access;child;without;reopen;distancing;provincial;services;local;mask;help;pandemic;food;forward;supply;reopening;accessible;spread;results;board;response;follow;torontos;take;cases;housing;tips;program;affordable;place;ontario;live;virus;management;plan;within;cant;risk;medical;lab;torontonians;reporting;capacity;racism;working;clear;information;spaces;tracing;centres;ways;key;step;move;social;hours;gets;morning;programs;update;lanes;crisis;full;order;systems;approach;officer;year;units;guidelines;find;wearing;government;protect
safe;0;0;0;0;0;0;0;0;0;0;0;2;8;0;8;2;0;2;0;10;0;2;6;4;2;0;10;8;2;0;2;0;2;4;0;8;8;2;0;8;20;2;0;2;0;2;4;4;0;2;0;2;4;0;2;4;0;0;2;2;4;0;0;0;2;0;2;0;6;2;0;2;2;4;2;4;4;0;2;6;0;0;0;0;6;0;0;4;0;2;0;8;2;2;2;0;0;6;2;2
staff;0;0;0;0;0;0;0;0;0;0;0;0;16;10;8;0;6;4;0;2;2;12;2;2;10;2;2;0;0;0;4;2;2;0;6;0;4;4;6;2;0;0;2;6;12;0;4;4;0;0;4;2;4;8;0;6;0;0;2;12;0;8;0;0;6;4;4;2;4;0;8;0;4;2;2;4;2;2;0;0;0;6;0;0;0;4;0;0;0;2;4;0;2;4;2;8;0;0;0;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;12;4;0;6;0;0;12;10;2;12;0;2;4;10;6;8;0;2;2;6;0;4;0;4;4;4;0;4;12;10;6;4;2;0;4;6;0;2;0;4;0;4;2;8;12;4;4;2;0;6;2;2;2;2;0;4;0;2;2;6;4;2;2;0;2;0;4;0;2;2;2;0;2;0;0;0;2;2;4;4;4;2;0;4;0
system;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;4;0;0;6;0;0;8;0;0;0;2;2;4;0;14;0;0;0;4;12;0;0;0;2;8;4;8;2;0;0;0;2;8;0;0;0;6;0;6;2;2;8;0;8;0;2;4;12;0;12;0;2;4;2;2;0;2;0;0;6;0;0;2;6;0;0;0;4;0;0;2;2;2;0;0;2;4;0;2;0;0;0
safely;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;14;8;2;0;4;0;4;6;2;0;2;8;6;0;2;4;10;10;0;2;0;2;8;0;0;0;2;0;14;2;2;0;0;16;4;0;0;0;4;0;0;2;0;0;4;0;4;2;4;2;0;2;4;0;0;2;2;2;2;2;0;0;0;0;2;0;0;2;0;2;2;2;2;0;2;0;6;0;10;0;4
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;2;0;0;6;4;0;0;4;4;22;10;6;0;4;0;0;2;0;2;0;0;0;2;6;0;0;0;0;0;0;6;0;2;0;2;6;0;4;0;0;0;6;0;0;0;0;0;0;0;2;0;2;0;0;4;0;4;0;0;2;2;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;8;10;6;6;0;4;0;2;4;2;2;0;10;0;4;2;4;0;0;2;6;0;6;4;4;2;0;2;4;0;2;2;4;4;0;2;0;0;0;4;4;0;2;2;4;0;6;4;2;0;4;0;0;4;0;0;0;6;2;0;4;8;2;0;0;2;0;0;2;0;2;6;0;0;0;4;6;2;0;2;2
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;0;4;0;6;0;2;0;0;2;10;0;0;2;4;0;0;0;4;0;0;2;6;0;0;2;6;2;2;0;0;6;4;2;0;4;2;6;0;0;0;0;2;0;0;0;0;0;0;4;2;2;0;0;2;6;2;6;2;0;0;0;0;0;0;2;2;2;0;0;2;0;2;0;2;0;4;0;2
recovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;8;10;12;4;0;4;0;0;0;2;2;0;0;0;4;10;0;0;6;4;0;2;4;0;2;0;0;12;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;2;2;0;0;2;0;0;0;2;2;2;2;0;0;2;0;2;0;0;2;2
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;2;0;6;8;0;0;0;6;10;0;0;2;16;8;0;2;4;0;4;0;4;0;0;0;14;0;0;4;0;12;2;0;4;0;4;4;0;0;0;4;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;14;0;10
physical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;2;30;2;0;0;10;0;0;0;0;0;2;0;2;0;0;2;8;2;2;0;2;8;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;4;0;2;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;6;6;0;6
