;great;states;united;people;president;new;trump;news;house;national;help;york;republican;supreme;job;country;losing;war;world;law;fbi;china;police;security;american;big;obama;city;election;senate;working;committee;press;court;story;presidential;administration;corrupt;failing;head;enforcement;local;reports;league;take;department;internet;using;second;fact;2016;federal;series;thank;shooting;work;man;media;arrested;expert;party;criminal;family;protect;thursday;team;government;white;justice;hard;club;act;call;largest;campaign;dead;become;opinion;democrats;business;congress;former;best;use;communities;member;rest;rights;real;door;mayor;reason;next;erdogan;amendment;america;2nd;destruction;seven;travel
great;0;0;0;4;2;6;0;0;2;2;4;4;2;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0
states;0;0;26;8;10;2;10;4;0;2;0;0;2;4;2;2;0;2;2;0;2;0;0;6;2;0;4;0;4;4;0;0;0;2;2;2;2;0;2;0;0;0;2;2;0;0;2;4;2;0;2;2;2;2;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0
united;0;0;0;8;8;4;10;4;0;2;0;2;2;4;2;2;0;2;2;2;2;0;2;6;2;0;4;2;2;2;0;0;0;2;2;2;2;2;2;0;2;0;2;2;0;2;2;2;2;0;2;2;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0
people;0;0;0;0;6;4;6;6;0;4;2;2;2;0;0;2;0;2;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;2;0;0;2;2;0;2;2;2;2;2;0;2;0;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
president;0;0;0;0;0;0;8;4;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;2;2;4;0;4;0;2;0;0;2;0;2;2;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;2;2;0;4;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2
new;0;0;0;0;0;0;2;0;0;0;0;12;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;2;4;4;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;4;0;0;0;0
trump;0;0;0;0;0;0;0;2;0;2;0;0;4;2;2;2;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;2;0;2;0;0;2;2;2;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
house;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;2;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;2;2;0;0;2;4;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
