;new;people;united;trump;government;great;states;best;president;man;national;republican;media;number;love;york;youthank;big;department;history;texas;game;good;bill;vote;administration;special;help;obama;thank;week;cia;biggest;country;fucking;state;million;complete;security;house;real;committee;3;campaign;cut;massive;following;party;store;use;work;police;moving;saudi;step;fight;foundation;times;billion;talk;journal;hard;second;street;strong;past;platform;mainstream;report;created;announced;trying;friend;partners;post;republicans;2016;reporting;election;change;city;without;military;rate;may;book;job;conference;year;jobs;named;next;legislation;confused;wednesday;unsc;officer;news;@;public
new;0;0;2;2;2;2;0;0;0;2;0;4;0;0;4;8;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;2;2;0;2;4;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
people;0;0;4;2;2;4;2;2;2;0;0;0;2;2;0;0;0;4;0;0;0;0;2;0;0;0;4;2;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
united;0;0;0;2;6;2;14;4;4;0;0;4;0;0;2;0;0;0;0;6;0;0;0;0;2;4;0;2;2;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2
trump;0;0;0;0;4;2;2;0;2;0;2;0;2;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;2;4;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;4;2;0;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
government;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
great;0;0;0;0;0;0;2;4;0;2;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0
