;people;president;united;states;trump;house;senate;new;obama;great;administration;court;news;year;republicans;supreme;government;american;former;state;intelligence;director;fbi;white;article;free;letter;million;week;york;democrats;national;full;internet;political;friday;fire;incredible;times;committee;job;party;americans;proud;youthank;russia;huge;man;amazing;person;agree;light;tuesday;big;senator;allow;bad;set;america;texas;end;historic;called;sent;election;oil;justice;friends;comey;love;bring;media;world;sunday;level;defeat;trade;thursday;massive;best;piercing;green;minnesota;25;worse;mentally;thought;city;playoffs;comprehensive;thank;california;republican;ohio;issue;fake;night;highest;general;running
people;0;2;6;6;0;6;2;2;2;2;2;2;0;0;2;2;4;2;2;2;2;0;0;4;2;4;2;2;0;2;0;2;0;0;0;2;2;2;2;2;4;0;0;0;2;2;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;2;0;2;4;2;0;2;2;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0
president;0;0;10;10;14;4;6;4;2;2;2;2;6;0;2;2;2;0;6;4;6;4;2;2;0;0;4;0;4;2;4;4;2;0;0;2;2;0;2;4;2;0;2;0;0;4;2;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;4;4;4;0;0;0;2;2;0;0;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0
united;0;0;0;22;6;0;4;0;0;0;2;4;2;0;2;4;2;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;4;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;2;2;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0
states;0;0;0;0;4;0;4;0;0;0;0;4;2;0;2;4;2;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0
trump;0;0;0;0;0;2;6;2;2;0;8;2;0;0;0;2;0;0;4;0;6;6;4;2;0;0;2;0;4;0;4;2;0;0;2;2;2;0;0;4;2;0;2;0;0;0;2;0;0;0;0;4;0;4;2;2;0;0;0;0;0;0;2;2;2;2;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0
house;0;0;0;0;0;0;4;4;4;2;2;0;2;2;4;0;6;0;0;2;2;0;0;10;2;0;4;2;0;4;0;0;2;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
senate;0;0;0;0;0;0;0;2;4;0;4;2;0;2;2;2;2;0;4;0;8;2;2;4;0;0;0;0;4;0;2;2;0;0;0;2;0;0;0;8;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
new;0;0;0;0;0;0;0;0;2;2;0;2;4;0;2;2;2;0;2;0;0;0;0;2;2;0;2;0;2;8;2;0;2;0;0;0;0;2;4;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
obama;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;2;0;0;4;0;0;4;0;2;2;2;0;2;0;0;2;0;0;2;0;0;2;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2
