;great;trump;president;united;states;people;new;house;american;news;government;obama;white;administration;republican;national;election;federal;democrats;state;department;man;country;party;big;world;law;media;senate;working;york;thank;committee;hillary;donald;may;city;clinton;military;campaign;congress;nfl;million;americans;support;job;killed;called;think;history;good;2016;night;announce;story;best;fbi;justice;could;work;presidential;says;article;security;fake;released;win;former;bill;investigation;political;team;america;fact;power;china;strong;russian;nothing;show;court;police;trade;intelligence;economy;looking;attack;hard;thing;left;washington;important;russia;use;order;release;senator;trying;pay;criminal
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;6;0;0;2;2;0;4;0;0;0;2;0;0;0;0;0;0;0;2;12;0;2;0;0;0;6;0;0;0;2;0;2;0;0;0;0;4;4;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;12;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;2;0;2
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;8;0;0;0;2;0;0;2;0;2;0;2;4;0;2;0;0;0;4;0;0;0;4;0;2;0;0;0;0;2;0;0;4;0;2;0;0;0;0;2;2;2;2;0;2;0;6;0;2;2;0;0;4;0;0;0;2;0;0;0;2;0;4;0;0;2;0;0;4;0;2;0;2;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;0;0;0;6;2;2;2;0;2;4;0;2;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;4;0;2;0;0;2;0;0;0;2;4;2;2;2;2;0;2;0;4;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;6;0;0;0;4;2;0;0;0;0;0;2;6;0;0;0;0;0;0;4;0;6;4;0;2;0;2;0;0;2;2;0;0;6;0;4;0;0;0;2;2;0;2;2;0;0;2;2;2;4;0;0;2;0;0;2;2;2;2;0;0;0;0;2;2;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;4;2;0;2;4;2;0;4;2;2;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;4;0;0;0;0;0;0;4;2;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;8;0;0;0;0;0;0;0;2;0;2;2;0;8;0;0;2;0;2;0;2;4;0;0;0;0;4;2;0;0;0;0;0;0;2;2;0;0;4;2;2;0;4;0;2;0;0;2;2;0;4;0;2;0;2;0;4;0;2;0;2;0;0;2;6;2;0;0;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;6;0;2;2;0;0;2;0;2;0;0;2;4;0;2;4;0;2;4;0;0;4;0;2;0;0;0;0;0;4;2;2;0;22;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;4;0;2;2;2;8;0;4
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;20;2;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;4;0;0;2;2;0;4;4;0;0;2;2;0;2;0;4;0;6;4;4;0;0;4;0;0;0;0;2;0;2;0;0;0;16;0;0;0;4;0;0;0;0;2;0;2;0;2;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;2;0;2;0;4;0;4;2;0;2;4;2;2;0;0;2;0;2;0;0;0;4;0;0;0;0;2;0;2;0;0;0;2;4;2;2;4;0;0;2;2;2;2;0;18;0;0;0;2;2;0;0;0;4;2;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;8;2;0;0;2;4;0;0;2;2;0;0;0;2;0;0;2;2;6;0;0;0;2;0;2;2;6;2;2;0;2;0;4;2;0;2;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;2
