;state;oklahoma;#covid19;oklahomans;continue;help;states;#oklasots20;health;together;thank;work;join;oklahomas;live;#oklaproud;update;across;response;working;great;new;businesses;testing;take;provide;people;proud;protect;critical;care;top;safely;community;business;data;plan;workers;nation;year;please;agencies;economy;ppe;visit;resources;stay;job;healthcare;public;leaders;ensure;students;facebook;support;federal;proactive;helping;watch;future;home;communities;thankful;remember;safety;10;program;measures;order;respond;spread;part;full;discuss;funding;gaming;protecting;phase;next;lives;honor;statewide;due;reopen;hard;government;committed;continuing;available;local;pandemic;fellow;best;remain;food;decisions;virus;national;providing;impact
state;0;120;78;90;48;30;14;38;36;30;40;36;30;26;10;50;6;50;12;34;24;32;20;22;20;30;28;38;16;14;16;40;30;24;16;24;16;6;34;20;16;36;14;14;10;16;8;14;6;6;20;6;10;4;14;14;14;12;6;12;6;14;12;4;10;26;4;14;10;6;8;10;10;10;2;12;4;8;10;10;4;10;8;16;16;18;10;22;10;10;10;8;14;10;2;18;6;12;6;8
oklahoma;0;0;98;44;36;40;26;8;26;38;44;36;28;10;10;34;8;38;16;24;34;28;34;22;22;14;28;26;16;26;14;22;34;20;26;22;16;18;20;14;12;8;10;8;8;8;14;20;18;10;18;12;14;4;14;14;10;10;6;10;8;18;20;6;12;14;12;12;4;8;8;8;6;14;16;4;4;8;10;6;10;10;6;14;12;2;6;16;8;10;14;8;12;10;4;18;6;8;4;6
#covid19;0;0;0;84;58;42;54;0;42;28;28;32;50;46;50;8;58;32;66;36;16;22;24;42;30;28;22;18;20;30;20;8;12;14;14;20;16;28;4;0;20;14;6;18;12;20;16;6;24;6;8;16;4;32;10;14;32;14;8;2;10;12;12;8;12;4;8;28;10;22;28;10;6;20;8;0;14;6;2;0;2;18;24;10;6;6;10;14;20;8;18;6;6;8;8;8;18;10;16;4
oklahomans;0;0;0;0;66;46;24;14;30;28;42;36;22;8;4;36;2;32;8;32;10;12;18;22;30;22;22;30;34;16;10;12;16;24;4;14;8;16;8;2;16;10;12;10;16;26;12;12;10;8;16;12;6;4;6;8;12;22;4;12;10;12;14;12;20;2;6;2;10;6;8;16;12;8;2;0;14;10;10;26;8;16;12;4;16;8;10;2;10;6;8;28;2;6;12;4;12;10;8;10
continue;0;0;0;0;0;24;16;12;26;24;14;18;6;6;2;18;0;10;6;14;10;8;14;14;22;14;20;12;22;16;10;20;10;6;4;14;14;6;8;10;6;4;8;10;8;8;6;6;2;4;6;8;6;0;6;2;14;2;8;4;8;6;0;8;8;6;0;10;12;14;10;8;12;0;0;0;8;8;6;6;0;4;2;8;2;0;0;0;4;0;6;6;6;2;2;6;12;6;2;6
help;0;0;0;0;0;0;6;6;4;8;12;8;6;12;8;22;2;10;2;10;8;8;14;6;8;18;14;12;4;10;6;2;2;10;6;2;0;10;0;6;2;2;10;0;2;4;4;4;6;2;4;4;6;2;8;2;6;4;2;2;2;12;6;4;0;4;10;4;0;8;6;6;2;4;6;0;0;0;2;6;2;6;8;0;2;0;2;2;2;4;6;18;4;2;8;2;4;2;4;6
states;0;0;0;0;0;0;0;16;10;8;6;6;24;8;26;0;30;2;36;10;10;10;4;12;10;2;2;6;2;8;8;8;6;4;6;12;10;10;6;8;0;4;10;6;6;4;2;6;4;2;8;6;2;16;2;0;4;0;2;2;2;2;0;6;4;2;2;2;2;4;4;2;4;12;2;0;6;4;2;2;4;2;4;2;0;2;0;6;2;2;4;0;6;4;0;8;2;4;4;0
#oklasots20;0;0;0;0;0;0;0;0;8;6;2;10;2;8;2;2;0;6;2;2;4;14;2;0;2;6;0;0;2;6;8;10;0;2;4;0;2;0;2;12;0;24;6;0;0;2;0;8;2;6;2;2;4;0;4;2;0;4;0;14;0;2;0;0;0;2;10;0;2;4;0;4;2;0;6;4;2;0;4;2;0;0;4;0;4;8;0;0;0;0;0;0;6;6;0;4;0;4;2;0
health;0;0;0;0;0;0;0;0;0;2;2;10;8;12;6;0;6;4;6;12;2;4;8;6;8;4;8;4;22;8;32;2;12;6;6;16;12;12;2;0;6;8;6;2;2;4;6;2;0;16;4;6;0;6;2;4;6;0;0;4;10;0;4;2;20;2;6;6;10;12;10;4;4;4;2;0;14;2;2;8;2;4;2;8;2;0;6;2;2;2;2;2;4;2;2;2;6;4;0;4
together;0;0;0;0;0;0;0;0;0;0;12;28;18;6;2;10;4;14;6;10;2;6;4;2;6;8;10;2;4;6;2;10;2;16;2;0;2;2;10;4;4;6;4;4;0;2;12;2;2;0;10;6;0;2;0;2;4;4;8;4;4;2;6;8;0;4;0;4;0;0;6;0;6;0;2;2;2;2;2;4;2;2;0;0;2;4;0;4;2;2;8;0;0;2;2;2;0;0;0;2
