;president;states;united;trump;great;people;government;presidential;obama;new;news;article;administration;party;white;senate;food;big;working;house;state;released;department;americans;statement;fact;number;court;death;election;donald;support;man;fire;senior;serious;republican;says;together;important;million;address;russian;report;nations;post;washington;voted;wrong;dr;tax;democrats;hillary;immediately;chinese;york;night;result;campaign;countries;close;j;person;continue;agency;country;good;area;congress;latest;massive;information;investigating;commission;american;virginia;gea;de;media;away;stamps;previous;think;russia;10;order;respect;dangerous;picture;former;thousands;efforts;supreme;classified;could;set;office;bigger;organization;game
president;0;8;8;12;2;4;2;0;4;4;2;2;2;2;4;0;0;0;0;4;2;0;4;0;2;2;0;2;2;0;6;2;0;2;2;0;0;2;0;2;0;0;2;0;0;2;4;0;4;4;0;0;0;2;2;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;4;0;4;0;2;0;0;0;0;0;0;2;0;2;2;4;2;2;0;4;0;2;2;0;2;2;2;0;0;0
states;0;0;22;6;0;2;2;2;4;0;0;0;4;0;4;2;0;0;2;4;0;0;0;2;2;2;0;0;4;4;4;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;2;4;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0
united;0;0;0;6;0;2;2;4;2;0;0;0;2;0;4;4;0;0;2;4;0;0;0;2;2;2;0;0;4;4;4;2;2;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;4;2;0;2;0;2;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;2;2;0;0;2;0;2;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0
trump;0;0;0;0;0;2;0;4;2;2;2;0;2;2;4;2;0;0;2;4;2;4;0;0;2;2;0;0;0;2;10;0;0;0;0;2;0;0;0;2;2;0;4;2;0;2;4;0;2;2;0;0;2;0;2;2;0;0;6;4;0;6;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;4;0;2;0;4;0
great;0;0;0;0;0;2;0;0;0;4;2;0;0;0;2;0;2;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
people;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;2;2;2;0;0;2;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0
obama;0;0;0;0;0;0;0;0;0;2;0;0;10;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;4;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;6;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0
