;health;city;covid19;public;toronto;new;people;work;care;physical;food;staff;community;safe;@topublichealth;continue;distancing;support;pandemic;housing;home;stay;working;recovery;important;data;together;access;safely;help;services;take;live;system;ontario;protect;response;follow;residents;province;vulnerable;local;provincial;part;spread;streets;affordable;music;torontos;call;move;everyone;information;still;cities;workers;tips;learn;mental;citys;program;provide;service;measures;211;contact;testing;social;mask;place;shelter;childcare;homelessness;please;week;clear;cant;spaces;across;supports;units;ensure;emergency;virus;government;essential;parks;difficult;reopen;visit;cycling;lanes;medical;forward;hard;find;venues;use;free;lives
health;0;110;158;254;120;64;30;54;58;56;26;56;46;46;54;52;42;60;44;32;36;32;34;36;44;64;14;48;28;22;46;22;4;46;40;24;38;28;24;32;26;28;28;22;30;10;10;0;28;28;20;24;30;22;4;22;24;4;62;22;12;12;18;48;26;32;22;38;8;20;16;6;8;12;12;38;14;6;6;26;28;16;20;16;12;16;10;18;22;16;18;8;44;28;8;14;0;24;14;28
city;0;0;134;80;126;56;48;72;40;34;42;90;48;38;18;54;36;52;52;32;26;16;40;24;26;12;22;48;20;28;36;18;40;12;14;22;48;4;38;14;30;32;22;24;18;20;12;26;20;10;20;22;16;14;6;16;4;8;14;8;28;40;24;20;4;16;10;12;0;16;28;6;16;6;24;4;6;16;48;14;22;24;14;4;8;14;22;10;4;12;12;16;10;20;20;14;22;4;20;8
covid19;0;0;0;104;102;70;52;56;24;34;12;34;32;34;52;32;30;30;68;40;24;24;32;52;16;54;16;34;22;26;26;14;26;22;30;14;70;20;18;22;26;18;18;26;58;4;22;8;22;4;10;22;18;12;26;6;16;18;4;26;12;20;20;14;0;36;18;20;2;18;20;8;18;8;10;24;24;16;16;12;14;2;14;22;22;16;12;4;14;4;4;4;22;10;14;6;6;12;4;14
public;0;0;0;0;128;46;32;38;12;38;14;46;24;38;24;38;38;20;34;12;18;20;40;28;28;54;16;24;22;12;28;16;6;40;30;14;30;14;10;20;10;26;26;26;32;14;8;0;12;10;18;8;26;10;4;0;8;8;2;12;12;10;16;38;8;28;22;20;4;18;6;6;4;12;14;24;6;22;14;2;26;10;10;18;10;4;14;8;22;4;0;6;12;26;10;2;0;20;2;14
toronto;0;0;0;0;0;56;20;34;28;34;14;50;34;24;14;24;30;44;18;6;24;12;32;16;10;32;14;6;8;16;34;28;24;20;22;8;30;12;14;18;6;20;28;20;18;10;2;24;14;18;10;6;20;4;10;8;6;12;6;10;16;22;24;22;12;18;10;16;4;20;10;6;2;4;10;6;12;20;8;2;6;12;12;2;10;14;20;10;20;6;6;12;16;12;16;8;12;12;12;4
new;0;0;0;0;0;0;22;26;12;22;12;30;6;6;10;8;18;16;22;28;14;6;8;16;12;14;2;12;20;18;10;4;8;18;14;10;12;4;8;4;4;12;16;6;12;12;12;2;24;4;2;2;8;10;26;6;6;4;2;18;14;10;6;8;2;8;2;2;2;10;18;6;16;0;6;6;0;18;6;0;10;2;0;4;6;4;12;2;22;8;10;16;10;6;6;6;2;12;8;0
people;0;0;0;0;0;0;0;22;10;24;6;18;10;32;6;10;24;14;22;14;10;10;30;12;18;14;12;22;36;10;6;6;8;10;2;14;14;4;8;8;12;0;6;8;8;38;8;0;8;2;24;2;8;6;2;4;0;2;2;8;8;4;2;2;2;8;8;2;0;4;14;0;20;2;4;2;4;18;18;6;10;6;4;10;2;4;16;2;0;2;14;14;12;8;4;6;0;8;2;4
work;0;0;0;0;0;0;0;0;28;4;20;42;20;22;6;38;4;16;10;16;22;20;26;18;8;14;22;18;4;16;10;10;12;16;10;14;26;4;6;10;14;18;4;18;22;2;14;8;4;4;16;12;14;16;0;4;2;2;2;12;4;8;4;8;4;22;2;4;0;0;10;2;6;4;4;6;6;8;6;6;10;14;6;14;8;6;6;0;10;6;8;4;8;8;20;2;6;4;6;4
care;0;0;0;0;0;0;0;0;0;8;8;14;14;20;8;28;8;24;14;8;16;12;10;20;12;4;14;20;12;8;10;34;0;12;6;12;6;2;14;10;22;4;8;10;4;4;8;0;0;8;4;10;4;10;4;30;6;2;14;6;6;4;6;2;8;0;2;4;2;2;10;8;6;2;10;6;2;4;6;8;0;10;12;2;8;14;2;8;6;6;8;6;6;2;4;8;0;4;12;2
physical;0;0;0;0;0;0;0;0;0;0;4;8;2;30;54;30;154;4;6;4;22;30;12;4;28;4;10;2;18;6;4;14;4;8;8;14;10;34;8;2;0;0;8;20;26;18;2;0;4;0;6;10;2;6;4;4;26;18;24;8;8;4;2;16;0;4;0;2;24;6;10;0;2;22;8;10;4;22;10;0;2;8;0;10;2;6;24;20;6;4;10;10;10;0;0;8;0;6;2;6
