kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
people,11,chiefs,13,help,40,help,35,care,30,people,18,help,112
new,7,meet,13,people,31,people,19,people,21,racism,13,people,110
help,7,hereditary,12,canadians,23,government,19,workers,21,systemic,13,government,76
canadians,7,canadians,12,government,20,everyone,18,government,19,government,12,canadians,70
country,6,wetsuweten,11,health,12,care,15,work,18,police,11,care,70
across,6,people,10,work,11,canadians,13,help,17,care,11,workers,58
families,6,pharmacare,9,needs,10,workers,12,safe,14,end,11,work,48
canada,6,work,7,workers,9,needs,12,sick,13,cerb,10,needs,42
family,6,help,6,wage,9,families,11,longterm,11,canadians,9,health,33
answers,6,black,6,care,9,new,11,canada,10,prime,9,everyone,33
friends,6,trudeau,6,stay,9,work,10,public,9,minister,8,canada,32
support,5,liberals,6,support,9,rent,10,thank,9,healthcare,8,families,31
still,5,failure,6,home,9,health,10,#covid19,9,workers,8,safe,30
everyone,5,stand,6,direct,8,crisis,9,paid,8,take,8,new,29
loved,5,police,6,rent,7,cerb,9,governments,7,needs,8,support,29
schools,4,year,5,businesses,7,support,8,women,7,indigenous,7,indigenous,27
prime,4,still,5,pay,7,still,8,health,7,help,7,still,26
safe,4,prime,5,wait,7,safe,8,funding,7,pain,6,take,25
communities,4,canada,5,plan,7,democrats,8,seniors,7,rcmp,6,thank,24
needs,4,says,5,worried,7,students,8,canadians,6,cant,6,cant,23
workers,4,important,5,subsidy,7,left,7,lets,6,black,6,prime,22
kids,4,1,4,measures,6,take,7,canadian,6,act,6,democrats,22
government,3,mr,4,liberals,6,cant,7,leave,6,racial,5,racism,21
situation,3,families,4,sick,6,universal,7,indigenous,6,enough,5,stay,21
trudeau,3,leadership,4,cant,6,thank,6,lives,6,celebrate,5,cerb,21
clear,3,words,4,public,6,access,6,parents,6,profiling,5,minister,21
taking,3,needs,4,jobs,6,keeping,6,paying,6,changes,5,public,21
democrats,3,action,4,liberal,6,normal,6,stay,6,remember,4,sick,20
govt,3,care,4,business,5,#covid19,6,love,6,municipalities,4,#covid19,20
streets,3,country,4,take,5,lives,6,deserve,5,million,4,crisis,19
tragedy,3,universal,4,indigenous,5,lost,5,home,5,instead,4,home,19
end,3,workers,4,interest,5,national,5,build,5,words,4,lives,19
together,3,indigenous,4,good,5,continue,5,frontlines,5,year,4,liberals,19
victims,3,deliver,4,companies,5,federal,5,run,5,living,4,meet,18
minister,3,forward,4,mortgage,5,canada,5,celebrate,5,story,4,end,18
stand,3,asked,4,quickly,5,pay,5,essential,5,looks,4,rent,18
offer,3,situation,4,democrats,5,wage,4,new,5,wont,4,together,17
stay,3,hes,4,act,5,together,4,lot,5,lives,4,country,17
deserve,3,education,3,utility,4,month,4,term,5,federal,4,act,17
coming,3,federal,3,communities,4,news,4,crisis,5,power,4,police,17
quebec,3,discussions,3,protect,4,community,4,family,4,job,4,family,17
violence,3,scheer,3,calling,4,home,4,life,4,thank,4,federal,17
indigenous,3,refusing,3,urgently,4,response,4,access,4,review,4,plan,16
plan,3,enough,3,announcement,4,frontlines,4,federal,4,call,4,pay,16
important,3,trudeaus,3,job,4,criteria,4,million,4,use,4,longterm,16
working,3,actions,3,fees,4,gets,4,weeks,4,canada,4,celebrate,16
pain,3,rcmp,3,75,4,healthy,4,healthy,4,extend,4,communities,16
trump,3,plan,3,access,4,money,4,normal,4,another,3,access,16
racism,3,everyone,3,leave,4,build,4,job,4,feel,3,systemic,16
friend,3,government,3,credit,4,hard,4,money,4,waiting,3,businesses,15
call,3,appoint,3,spoke,4,fight,4,needs,4,behalf,3,national,15
loss,3,minister,3,days,4,behind,4,place,4,10,3,year,15
fight,3,involved,3,needed,3,hope,4,girls,4,brutality,3,healthcare,15
heartbreaking,3,special,3,month,3,country,4,businesses,4,families,3,across,15
islamophobia,3,new,3,ends,3,banks,4,action,4,crisis,3,job,15
tamil,3,national,3,announced,3,fighting,4,support,4,lot,3,companies,14
fighting,2,violent,3,together,3,good,4,families,4,respond,3,black,14
makes,2,stop,3,deliver,3,apply,4,still,4,violence,3,continue,14
speak,2,companies,3,new,3,businesses,4,across,4,path,3,canadian,14
asked,2,canadian,3,national,3,communities,4,away,4,antiblack,3,lets,14
says,2,big,3,labour,3,medication,4,continue,4,profit,3,deserve,14
marks,2,reckless,3,leaders,3,essential,4,building,4,concrete,3,fight,14
send,2,history,3,levels,3,public,4,racism,3,building,3,chiefs,14
president,2,across,3,possible,3,away,4,asian,3,frustration,3,love,14
deescalate,2,thank,3,safe,3,works,3,profit,3,reading,3,paid,14
justice,2,talk,3,continue,3,millions,3,join,3,killing,3,stand,14
ones,2,relationship,3,minister,3,pause,3,rely,3,everyone,3,wage,14
put,2,justin,3,south,3,fix,3,avoid,3,chief,3,call,13
world,2,meeting,3,countries,3,act,3,says,3,honour,3,asked,13
hit,2,dangerous,2,sending,3,mortgage,3,healthcare,3,pressure,3,women,13
house,2,moving,2,hear,3,asked,3,liberals,3,family,3,says,13
life,2,hurt,2,contact,3,clean,3,take,3,megan,2,trudeau,13
sending,2,behind,2,chief,3,increase,3,choice,3,rcmpwe,2,month,13
message,2,committed,2,per,3,stay,3,grandparents,3,jobs,2,loved,13
flight,2,voices,2,call,3,showing,3,fight,3,push,2,another,13
another,2,peoples,2,paid,3,house,3,country,3,justice,2,money,12
discrimination,2,end,2,away,3,physically,3,minister,3,happened,2,pharmacare,12
clinic,2,facing,2,immediate,3,direct,3,share,3,person,2,governments,12
attack,2,making,2,feeling,3,making,3,clear,3,littlest,2,universal,12
incredible,2,paying,2,#covid19,3,honour,3,ceos,3,girls,2,liberal,12
continues,2,ontario,2,families,3,able,3,workthe,3,woman,2,parents,12
iran,2,system,2,banks,3,financial,3,national,3,trudeau,2,good,12
city,2,premiers,2,money,3,helping,3,responsibility,3,force,2,hereditary,12
heard,2,call,2,afford,3,subsidy,3,pay,3,heavy,2,wetsuweten,12
hate,2,put,2,2000,3,celebrate,3,rights,3,women,2,action,12
752,2,ministers,2,working,3,ones,3,fair,3,worst,2,taking,12
standing,2,democrats,2,ban,3,return,3,keeping,3,support,2,put,12
iraq,2,systemic,2,taking,3,loved,3,impossible,3,food,2,direct,12
welcome,2,week,2,payments,3,parents,3,develop,3,called,2,away,12
tonight,2,ending,2,chance,2,due,3,without,3,often,2,jobs,11
responsible,2,denounce,2,tourists,2,food,3,speak,3,young,2,violence,11
