;great;president;trump;states;world;federal;united;american;state;man;house;people;news;senate;trumps;new;fight;government;former;fbi;woman;donald;massive;money;investigation;administration;possible;fake;white;history;good;media;kansas;big;national;brilliant;russia;moving;justice;thursday;brought;million;committee;help;york;country;2016;using;campaign;forced;crime;story;continue;another;vice;men;watch;iraq;executive;war;twitter;spread;proud;flooding;senator;court;run;internet;carolina;michael;act;john;conspiracy;medical;turn;announced;voted;show;saying;deal;water;real;party;embassy;championship;california;statement;dnc;week;article;department;birth;arizona;speak;north;democratic;home;ohio;hoax;power
great;0;6;4;2;6;0;2;10;4;8;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;4;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;4;2;0;2;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;2;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0
president;0;0;12;2;4;4;2;0;2;6;4;2;2;2;8;0;4;0;6;4;0;4;0;0;2;0;6;2;4;0;2;4;0;0;0;0;4;0;4;2;6;0;2;0;0;0;4;2;4;4;0;2;2;0;6;0;0;4;0;2;2;2;0;0;0;2;2;0;0;2;0;2;4;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;2;0
trump;0;0;0;2;2;2;2;0;2;4;2;2;2;0;2;2;2;2;4;2;0;6;0;0;0;4;2;2;2;0;2;2;2;2;0;0;0;2;0;2;4;0;0;2;2;0;0;0;2;4;0;0;2;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
states;0;0;0;0;0;0;14;2;2;0;2;4;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;2;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;2;0;4;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
federal;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;2;4;0;2;0;2;2;2;2;0;2;0;0;0;0;0;2;2;0;0;4;0;4;2;2;4;2;2;0;0;4;0;4;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0
united;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;2;0;2;0;0;0;0;2;4;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0
man;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;6;2;0;0;2;0;0;0;0;0;2;2;2;0;2;0;2;0;2;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;2;0;0;0;0;2;2;8;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2
news;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
