;#unitedwaychat;health;care;resources;#211colorado;money;colorado;coloradans;211;#team211;work;individuals;#colorado;critical;year;state;saving;help;important;connect;12;people;available;families;22;cost;reflect;february;appreciate;theres;data;callers;talking;program;expected;inform;discuss;month;seeking;resource;lucky;services;meteorologists;americans;needs;proud;@unitedwaydenver;great;opportunity;moment;live;save;ways;community;working;water;local;lower;residents;together;history;nation;possibly;1;#publicoption#kfflive;accomplished;enough;condition;@govinslee;remind;black;give;rich;prepared;difficult;cant;wealth;@coloradodot;country;friend;heritage;avalanche;food;republican;systems;partnership;education;industry;journalism;congress;use;specialists;navigate;gain;solutions;upon;covering;photos;fighting;safety
#unitedwaychat;0;0;0;10;10;0;0;0;6;10;2;6;6;6;2;4;0;6;0;4;4;2;6;4;6;0;0;0;0;0;4;4;0;2;0;4;0;0;4;2;0;2;0;2;4;0;4;0;0;0;4;0;0;2;0;2;4;0;4;0;0;2;2;2;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2
health;0;0;12;0;0;10;4;8;0;0;2;0;0;0;4;2;6;2;0;0;0;4;0;0;0;4;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;4;0;0;0;4;2;0;4;0;0;4;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;2;0
care;0;0;0;0;0;10;4;8;0;0;2;0;0;0;4;2;6;2;0;0;0;4;0;0;0;4;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;4;0;0;0;4;2;0;4;0;0;4;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;2;0
resources;0;0;0;0;6;0;0;0;2;6;2;4;4;4;0;2;0;2;0;4;2;0;6;2;2;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2
#211colorado;0;0;0;0;0;0;0;0;4;6;2;8;4;6;2;0;0;4;0;4;4;2;4;4;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4;0;2;0;0;0;2;2;0;0;0;4;0;2;2;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
money;0;0;0;0;0;0;2;8;0;0;2;0;0;0;4;2;8;2;2;0;0;4;0;0;0;2;2;0;2;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;4;0;0;0;4;2;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0
colorado;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;2;2;2;0;0;2;0;0;0;2;0;0;0;4;0;2;2;0;0;0;2;2;2;0;2;2;0;4;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;0;2;0
coloradans;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;6;2;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
211;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;0;0;2;0;4;2;2;2;4;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;2;2;2;4;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
#team211;0;0;0;0;0;0;0;0;0;0;0;6;4;2;2;4;0;4;0;0;2;0;4;2;2;0;0;0;0;0;4;2;0;0;0;4;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;4;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
