;trump;great;president;new;people;states;united;news;house;government;obama;state;federal;administration;working;national;campaign;support;big;country;left;york;senate;media;man;fake;american;story;congress;americans;proud;times;court;world;best;help;history;white;may;job;party;untainted;friday;democrats;china;win;clinton;complete;quickly;think;police;bill;war;article;together;photo;announce;senator;donald;supreme;young;security;thank;plan;attack;republican;former;trade;program;russian;washington;saying;nations;democrat;following;full;fbi;game;radical;investigation;hillary;law;post;presidential;office;report;end;press;women;fire;biggest;america;democratic;conference;university;wonderful;deal;supporter;number;another
trump;0;10;32;16;2;10;10;12;12;6;4;0;12;16;12;0;16;4;2;4;2;2;4;8;0;12;2;2;2;2;2;2;4;8;2;6;4;6;2;2;4;0;4;6;6;2;4;2;2;0;2;2;4;2;2;2;0;0;10;2;0;0;2;2;0;0;2;4;0;4;0;4;0;4;0;2;4;0;0;6;2;4;0;4;4;4;2;2;2;4;4;2;2;2;2;0;2;2;0;4
great;0;0;12;10;12;14;10;8;6;2;2;8;6;2;0;4;6;0;6;16;0;4;2;4;6;4;4;2;2;2;12;4;2;6;4;0;8;4;0;4;2;0;0;0;6;4;0;8;4;2;0;0;0;0;2;0;6;0;2;0;2;0;4;2;2;2;2;6;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;2;4;0;2;2;2;0;0;4;0;2;0;4;6;2;2;4
president;0;0;0;10;0;12;10;10;8;2;8;2;4;6;10;0;6;0;2;4;6;4;2;6;0;8;4;4;0;4;8;4;2;4;4;4;12;4;0;2;6;0;2;4;2;0;0;0;2;2;0;0;6;0;2;4;4;0;4;2;0;2;0;2;0;0;4;0;0;2;0;2;2;4;0;2;2;0;4;4;2;2;4;4;2;0;4;2;2;4;4;0;4;4;6;0;0;2;2;2
new;0;0;0;0;8;4;2;2;4;2;2;4;4;2;0;4;6;4;0;0;2;24;2;2;0;0;2;4;2;6;2;16;0;4;0;6;2;4;0;2;6;0;2;0;0;0;0;2;2;0;0;2;0;2;0;2;6;2;4;0;4;2;6;2;0;0;4;0;0;0;2;0;0;0;2;0;2;4;0;0;0;0;2;0;4;4;0;0;0;0;0;2;0;0;0;2;0;0;2;0
people;0;0;0;0;0;14;10;2;4;4;0;2;6;0;6;2;0;4;0;4;2;4;2;2;2;2;4;2;4;6;2;4;2;2;2;0;0;4;4;4;0;0;2;0;2;0;0;4;2;0;0;2;0;2;0;2;0;2;0;0;4;4;4;0;2;2;0;4;0;0;4;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;2;0;4;2
states;0;0;0;0;0;0;54;4;4;4;0;2;6;2;2;2;4;4;2;6;0;0;6;2;4;2;0;2;0;0;4;0;2;0;4;0;4;0;0;0;2;0;2;0;6;2;0;0;0;0;0;0;2;0;0;2;4;0;0;2;0;2;0;2;4;2;2;2;6;2;0;0;4;0;0;6;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;6;0;2;0;2;2;2;0;2
united;0;0;0;0;0;0;0;4;4;2;0;2;2;2;2;2;4;2;0;6;0;0;6;2;4;2;0;2;0;0;2;0;4;0;2;2;4;0;2;0;4;0;2;0;6;2;0;0;2;0;0;0;2;0;0;2;2;2;0;4;0;2;0;4;4;4;2;2;6;2;0;0;4;0;0;6;0;2;0;0;0;4;0;2;0;2;0;0;0;0;0;6;0;2;0;2;0;2;0;2
news;0;0;0;0;0;0;0;0;2;0;0;2;4;2;4;0;4;2;4;2;2;0;2;8;2;18;0;4;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;4;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;4;2;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;4;4;2;2;2;4;0;4;0;2;0;2;2;8;2;0;2;2;2;2;4;2;2;0;2;0;0;0;20;0;4;2;0;6;2;0;0;2;2;0;0;2;8;2;0;2;2;2;0;2;0;0;0;2;0;0;2;2;2;0;0;4;0;0;4;0;2;0;2;0;0;0;0;0;2;0;2;2;10;0;2;0;0;4;4;0;0;2;0;2;2
government;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;2;0;2;0;0;0;2;4;2;2;0;0;0;2;2;2;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;2;2;18;4;0;2;0;0;0;6;2;0;6;0;0;0;0;2;2;2;2;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;4;4;0;2;0;0;0;0;0;2;4;0;0;0;0;2;4;2;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0
state;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;2;2;4;4;2;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;4;2;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0;2;4;0;0;0;2;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;4;4;0;0;2;4;0;0;2;0;2;0;2;4;2;2;2;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0
