;todays;#covid19;support;thank;eblast;residents;care;work;health;please;workers;people;city;call;update;community;women;take;covid19;businesses;violence;change;working;toronto;physical;distancing;essential;emergency;protect;services;home;give;vulnerable;family;gender;hard;governments;food;@johntory;forward;april;lives;local;goes;best;housing;learn;crisis;canada;pandemic;help;federal;needs;shout;government;updates;opportunity;relief;needed;business;everyone;response;full;virtual;continue;council;staff;#ward13;announced;@cityoftoronto;important;critical;ontario;means;daily;making;statement;meeting;space;clear;cant;office;grateful;days;morning;information;#communitycare;social;torontos;service;public;together;friends;streets;outside;place;still;rent;frontline;system
todays;0;12;10;6;30;2;8;6;2;10;2;0;2;6;14;10;0;6;4;2;2;0;4;4;6;4;2;0;4;0;2;0;6;0;0;0;0;4;0;4;0;0;4;8;0;2;8;2;0;0;6;2;0;6;2;8;0;2;2;4;2;0;8;2;0;2;2;6;2;4;2;2;6;0;2;2;8;0;0;2;0;2;0;2;2;2;6;0;6;2;2;2;0;2;0;0;0;0;2;2
#covid19;0;0;8;4;6;6;8;4;6;6;2;4;10;6;8;2;0;8;0;2;2;4;0;2;0;0;0;0;2;2;0;2;0;2;0;4;2;0;0;2;2;0;2;0;4;4;2;6;0;0;6;0;2;0;0;4;4;0;2;2;0;0;0;0;0;0;2;2;0;0;2;2;4;0;0;2;0;0;0;2;2;0;4;6;2;2;0;2;4;2;2;2;2;2;2;0;4;2;2;2
support;0;0;0;2;6;4;6;8;4;2;4;2;2;4;4;6;2;2;4;10;0;2;6;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;2;4;2;2;4;2;0;4;4;2;0;2;0;2;6;0;4;2;0;6;4;4;2;0;0;0;2;0;0;0;2;0;2;2;2;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;2;0;0;2;2;4;0
thank;0;0;0;0;2;8;2;6;0;6;6;2;2;4;0;2;0;2;2;0;0;0;4;4;4;6;2;0;2;0;2;4;2;0;0;4;2;0;2;0;0;2;4;4;2;0;4;2;0;0;4;0;2;4;0;2;0;0;0;0;4;0;0;0;2;0;0;4;0;2;0;2;0;0;0;2;0;0;0;0;2;2;2;0;0;0;4;2;0;0;0;2;0;0;2;2;0;0;2;0
eblast;0;0;0;0;0;2;2;6;4;12;2;0;2;2;6;2;0;4;2;2;0;0;4;0;6;4;2;0;4;0;2;0;4;2;0;2;0;2;0;2;0;0;4;0;0;0;4;2;0;0;0;2;0;0;2;4;0;2;0;2;2;0;6;2;0;2;2;4;2;2;2;0;4;0;2;2;8;0;0;4;0;2;0;0;0;0;0;0;4;0;2;0;2;2;0;0;0;0;0;2
residents;0;0;0;0;0;0;2;4;2;4;6;4;2;2;0;2;0;0;0;2;0;4;0;2;2;2;2;2;0;4;0;8;4;0;0;4;0;2;0;0;0;4;2;0;4;0;2;2;0;2;2;0;2;2;0;0;2;2;0;2;2;0;0;0;2;0;4;2;4;0;0;0;0;0;2;4;0;0;2;0;0;0;4;0;2;2;2;2;0;2;0;0;0;2;0;2;0;0;4;0
care;0;0;0;0;0;0;0;4;6;2;4;4;0;2;4;6;4;6;2;0;2;2;2;4;0;0;2;4;2;2;2;0;0;2;0;2;2;0;0;0;0;2;0;2;2;0;4;6;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;2;2;0;0;0;0;0;2;2
work;0;0;0;0;0;0;0;0;2;4;6;0;0;0;2;4;2;2;4;0;0;2;6;2;0;0;4;2;4;2;2;4;2;2;0;2;2;0;0;4;0;2;4;0;6;0;2;2;0;0;2;2;2;2;2;2;0;0;2;2;2;2;0;0;6;0;2;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;4;2;0;2;0
health;0;0;0;0;0;0;0;0;0;6;2;2;0;0;2;0;0;2;0;2;2;2;0;0;0;0;2;2;2;2;0;0;2;4;0;4;2;0;0;2;2;2;0;0;2;4;0;2;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;6;0;0;2;0;0;0;0;2;0;0;6;0;4;0;0;0;0;0;0;2
please;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;4;0;4;2;0;2;0;2;0;4;6;2;0;6;4;0;0;2;2;0;4;0;0;0;2;0;2;4;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;2;0;4;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;2;0;4;0;2;0;0;2;0;0;0;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;4;0;0;0;0;0;2;0;2;2;6;2;4;4;2;0;2;2;0;0;4;2;0;0;0;2;2;0;2;0;2;0;0;2;0;2;0;2;2;0;2;0;0;0;0;0;0;0;2;0;4;0;4;2;0;2;0;0;4;0;0;0;0;2;0;0;2;0;2;0;2;4;0;2;0;0;2;0;2;0;0;0;6;2
