;connecticut;covid19;people;state;news;briefing;updates;live;#covid19;data;latest;discuss;tested;positive;update;died;happening;hospitalized;health;visit;patients;tests;new;daily;residents;states;hold;provide;response;connecticuts;reported;order;efforts;#memorialday;currently;#honorthefallen;public;army;county;thank;working;help;medical;workers;continue;sets;school;executive;facebook;work;video;youtube;call;todays;best;hospitals;emergency;@ctdph;watch;home;conference;iraq;take;connecticutwatch;ct;tonight;businesses;signed;community;care;staff;cases;#connecticut;morning;heres;de;join;testing;impact;yesterday;info;support;icymi;actions;guidance;additional;service;hospital;local;covid19watch;online;air;communities;safe;safety;spread;high;bringing;ensure;nursing
connecticut;0;278;192;164;58;50;62;46;72;156;44;34;192;206;194;142;16;184;30;156;116;140;42;138;76;44;18;22;10;4;128;12;20;6;122;6;10;2;4;28;18;24;24;10;22;102;4;16;8;10;18;10;10;22;26;16;20;14;34;22;16;4;16;0;6;10;30;12;12;14;14;40;0;12;10;16;8;18;20;40;10;10;16;4;8;38;16;12;12;0;4;14;10;16;10;12;6;46;12;8
covid19;0;0;158;82;206;204;228;172;2;164;168;140;168;182;174;130;74;166;6;160;116;126;30;146;16;14;56;14;16;18;126;10;8;0;124;0;2;0;0;2;0;10;4;4;4;102;2;8;50;4;46;48;32;48;4;8;8;8;52;16;16;0;8;68;4;8;4;4;18;4;4;32;0;8;28;4;8;16;24;16;6;6;36;2;2;18;2;10;4;0;6;36;4;6;0;12;4;24;0;26
people;0;0;0;90;0;0;0;6;40;142;2;0;166;168;162;130;2;160;16;136;86;134;16;138;28;12;0;6;4;0;114;16;10;0;120;0;12;0;2;6;10;14;8;4;18;90;2;14;0;4;0;0;4;2;10;6;8;2;0;16;0;0;18;0;6;4;10;12;8;12;4;8;10;2;0;0;2;4;10;20;2;8;0;8;10;20;2;4;0;0;2;4;6;16;4;10;4;20;4;2
state;0;0;0;0;20;14;14;32;64;68;20;12;88;84;84;60;14;58;48;64;70;76;28;60;44;20;6;30;18;18;60;16;32;4;58;2;24;2;6;18;20;18;18;14;30;56;8;8;0;10;4;0;18;8;20;26;24;40;8;14;20;2;10;0;16;14;16;14;6;14;8;18;28;6;2;0;18;24;10;8;6;2;2;14;10;8;10;6;26;0;8;0;14;6;14;16;2;10;16;4
news;0;0;0;0;0;452;342;280;96;2;216;204;4;6;12;0;162;0;14;0;2;0;12;16;12;8;136;66;82;56;0;4;40;0;0;0;8;0;0;0;2;2;4;0;2;0;6;6;92;2;68;92;2;52;6;2;10;12;68;0;28;0;2;80;0;6;2;2;0;0;4;0;12;10;38;0;18;4;12;0;6;2;52;10;8;0;0;4;4;66;22;0;0;0;4;0;0;0;2;4
briefing;0;0;0;0;0;0;340;270;98;2;214;202;4;6;16;0;154;0;14;0;2;0;10;18;14;4;138;64;86;58;0;4;42;0;0;0;8;0;0;0;0;2;0;0;0;0;6;6;92;2;64;92;0;52;4;2;4;14;66;0;4;0;2;80;0;4;2;0;0;0;4;0;14;14;38;0;18;6;12;0;6;0;52;10;8;0;0;8;4;66;20;0;2;0;2;0;0;0;2;4
updates;0;0;0;0;0;0;0;266;100;0;264;222;2;2;2;0;140;0;10;2;0;0;2;2;8;10;106;64;94;64;0;6;48;0;0;0;8;0;0;0;2;2;0;0;4;0;0;6;72;0;56;74;34;44;0;2;10;6;58;2;24;0;2;82;0;14;0;4;0;0;0;0;8;18;32;0;4;2;2;0;2;0;46;8;0;0;0;2;2;66;18;38;0;0;2;0;0;0;2;0
live;0;0;0;0;0;0;0;0;60;2;224;222;2;2;4;4;190;0;8;2;0;2;8;14;6;8;128;54;42;44;0;0;18;0;0;0;4;0;0;0;0;2;0;2;2;0;4;2;96;2;2;92;50;0;2;2;6;6;26;0;32;0;0;80;6;4;4;0;4;2;0;2;6;14;0;0;14;2;16;0;6;0;0;2;0;0;6;2;2;66;34;32;4;0;2;0;0;0;2;4
#covid19;0;0;0;0;0;0;0;0;0;6;44;40;52;54;50;2;52;20;30;10;8;32;30;8;42;14;32;46;106;54;2;34;46;0;0;0;24;0;14;6;10;28;16;4;18;0;12;22;6;2;20;6;22;4;0;10;24;28;4;12;16;0;18;4;10;24;12;28;0;8;8;10;52;12;24;4;4;16;8;34;18;4;10;38;10;30;0;8;6;0;16;0;4;2;4;20;0;32;6;8
data;0;0;0;0;0;0;0;0;0;0;4;0;140;160;160;130;0;152;8;156;100;120;14;138;2;2;2;4;0;0;112;2;2;0;122;0;4;0;2;0;2;0;4;2;8;102;0;0;0;0;0;0;0;8;4;4;0;4;0;2;0;0;0;0;0;2;0;2;0;0;0;12;4;2;2;0;0;2;0;4;4;0;0;0;2;8;0;4;2;0;0;0;0;0;2;2;0;12;0;4
