;new;people;covid19;city;state;thank;support;health;help;care;community;safe;work;live;#covid19;home;great;working;across;together;businesses;workers;stay;country;continue;public;residents;response;family;week;protect;lives;toronto;call;may;important;nation;news;take;families;justice;emergency;coronavirus;visit;learn;provide;canadians;making;food;distancing;states;york;hard;big;medical;thanks;plan;everyone;another;tomorrow;president;save;program;information;stop;ontario;communities;members;move;update;good;watch;government;pandemic;america;best;million;2;remember;testing;keeping;latest;life;address;social;stand;part;kind;housing;illinois;spread;spoke;number;efforts;end;year;ensure;happy;vulnerable;join
new;0;12;14;16;12;4;6;12;10;6;0;10;8;0;2;2;2;2;8;6;6;0;6;2;2;4;6;4;6;4;4;0;0;0;2;4;8;0;2;2;0;4;6;4;4;2;0;4;0;2;2;20;0;0;6;4;2;2;6;6;0;4;4;2;2;2;0;0;2;0;2;2;2;0;0;2;4;2;4;2;2;2;2;0;0;6;2;0;0;0;0;2;2;2;2;2;2;2;4;2
people;0;0;4;4;12;6;0;8;12;6;4;8;4;0;6;6;6;12;12;6;4;6;2;4;0;4;4;0;4;4;8;12;2;0;0;0;4;6;2;8;4;4;0;2;4;4;2;4;4;2;4;2;6;0;0;4;4;2;8;0;2;2;2;2;4;6;4;0;2;0;8;0;4;6;4;0;4;4;4;6;2;0;0;2;2;0;4;2;0;6;2;0;6;4;0;0;4;2;8;0
covid19;0;0;0;16;8;4;14;12;8;6;2;6;0;18;0;0;0;8;4;4;2;10;0;2;6;6;2;22;2;4;2;2;6;0;2;0;2;4;0;0;0;6;12;6;8;6;2;0;4;6;0;6;4;0;6;0;2;0;2;2;0;0;0;2;2;0;0;0;0;18;2;8;4;8;2;0;0;2;2;2;2;8;2;4;2;2;2;0;6;0;6;4;2;0;0;0;4;0;2;8
city;0;0;0;0;4;6;10;6;2;6;4;12;2;8;0;2;2;4;8;4;6;2;0;2;6;6;6;6;2;6;4;0;16;2;2;2;4;0;2;2;0;2;0;2;0;2;0;6;0;2;0;12;0;2;0;2;0;2;2;4;0;2;4;6;2;0;2;0;0;0;4;4;0;0;0;2;2;2;0;2;2;2;4;2;0;6;4;2;4;0;2;0;2;0;0;0;0;2;2;4
state;0;0;0;0;0;0;0;4;12;4;6;2;2;4;6;4;8;2;8;6;2;4;2;4;0;2;2;2;2;2;4;2;2;0;0;4;6;0;2;0;4;6;2;0;4;2;0;0;2;2;0;4;0;0;2;4;0;4;2;2;0;2;0;0;2;0;0;4;2;2;2;2;2;0;0;2;2;2;0;0;0;0;0;2;2;4;0;0;0;4;0;0;4;0;0;0;0;0;0;0
thank;0;0;0;0;0;0;12;4;4;4;8;0;8;2;4;0;4;6;10;4;6;6;0;2;2;6;4;2;2;4;2;2;2;2;0;0;0;2;0;2;0;0;0;2;2;2;0;2;2;0;0;0;6;2;0;2;0;6;2;2;0;0;2;0;2;4;0;4;2;0;2;0;2;0;2;2;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0
support;0;0;0;0;0;0;0;4;6;8;6;2;4;6;0;2;2;2;6;8;8;10;0;8;6;0;8;10;2;2;0;2;4;4;0;4;2;0;2;2;0;2;2;2;2;2;6;2;0;0;4;0;0;0;0;2;2;0;0;0;0;2;6;0;0;0;4;2;2;4;2;2;4;6;0;0;0;0;2;0;2;2;2;2;0;2;4;0;4;0;0;0;0;4;0;0;2;0;2;0
health;0;0;0;0;0;0;0;0;2;12;2;6;2;0;8;2;0;8;4;0;2;10;2;4;0;20;2;6;2;2;4;2;8;6;0;4;0;0;4;2;0;4;4;2;0;2;4;4;2;6;2;2;2;0;8;0;6;0;2;2;0;0;0;2;0;0;2;0;2;0;2;2;6;2;0;4;2;0;4;2;4;4;0;0;2;2;0;0;0;0;0;2;2;2;0;0;0;2;2;4
help;0;0;0;0;0;0;0;0;0;4;6;8;4;0;2;4;4;2;6;6;8;8;2;6;0;2;0;0;4;2;6;6;2;4;0;0;2;0;0;2;0;4;0;2;2;2;6;2;4;2;2;0;0;0;4;2;4;2;0;0;0;4;2;2;4;2;2;0;2;0;2;0;0;0;2;2;4;4;2;0;2;2;0;0;0;2;0;2;0;2;8;4;2;2;2;0;2;0;2;0
care;0;0;0;0;0;0;0;0;0;0;6;4;2;2;4;2;2;4;4;2;0;12;2;2;0;2;6;8;0;0;2;0;2;0;0;0;2;2;2;2;0;6;2;2;2;2;0;0;0;0;2;2;4;0;4;0;0;0;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;4;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0
community;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;2;4;0;2;2;2;2;2;4;4;2;2;2;4;2;0;0;0;0;0;0;4;2;2;2;0;2;2;4;0;2;0;2;0;0;4;2;0;0;0;0;2;2;0;0;0;0;2;2;8;0;0;2;0;2;2;2;0;6;2;2;0;2;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;2;2;2;4
safe;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;6;0;0;0;4;14;0;4;2;2;2;4;4;6;2;2;2;4;0;0;0;2;2;0;2;0;0;0;0;0;2;2;4;0;2;2;0;0;0;2;2;2;0;2;6;4;0;4;0;6;0;0;2;6;2;0;2;2;2;2;4;4;2;6;2;2;0;2;0;2;2;0;0;6;0;2;0;0;4;2;4;6;0
