;great;united;states;trump;president;people;department;world;help;national;american;police;military;news;justice;state;best;called;campaign;party;continue;city;quest;yesterday;house;new;millions;article;year;federal;game;health;obama;post;man;americans;hillary;church;care;republican;think;bill;democratic;russia;hasnt;donald;important;washington;growing;happy;dnc;job;election;low;trying;high;country;texas;everyone;ukraine;peterson;progress;crime;played;huge;clinton;china;media;proposed;data;beautiful;part;wisconsin;information;beenit;effort;iranian;seen;fake;recovery;committee;political;white;support;illegal;agency;development;charge;shot;fed;finally;amazing;possible;government;court;use;former;supreme;program;fbi
great;0;2;2;2;4;6;4;0;4;4;4;0;2;0;2;2;2;0;0;2;0;0;0;8;0;2;0;0;2;2;0;4;0;0;0;0;2;2;4;2;0;0;2;0;0;0;0;0;2;4;2;2;0;2;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;4;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0
united;0;0;20;6;10;2;2;0;2;0;0;0;2;0;0;2;0;2;0;0;4;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0;0;2;0;0
states;0;0;0;6;10;2;2;0;2;0;0;0;0;0;0;4;0;2;0;0;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0
trump;0;0;0;0;16;2;2;0;4;0;2;0;0;0;0;2;2;4;4;0;2;0;0;2;2;4;0;2;0;0;0;2;0;4;0;0;4;0;0;2;0;2;0;4;0;8;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;2;0;2;0;2;2;2;0
president;0;0;0;0;0;2;2;0;2;2;4;0;0;0;0;2;0;4;2;0;2;0;0;4;0;2;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;2;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;2;2;0;2;2;2;0
people;0;0;0;0;0;0;0;0;4;2;6;0;0;0;0;2;0;0;0;2;4;2;0;4;0;0;2;0;0;0;0;6;0;0;0;2;0;0;6;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0
department;0;0;0;0;0;0;0;0;4;0;0;4;2;0;8;4;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2
world;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0
help;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;4;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;0;6;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;4;2;0;0;0;0;2;2;2;0;0;0;0;2;0
