;covid19;district;live;dc;coronavirus;home;districts;visit;residents;new;positive;#fitdc;2;workouts;learn;1;reported;2020;community;join;health;help;stay;bringing;cases;lives;#dcstatehood;case;data;bring;ready;move;housing;includes;seniors;3;overall;continue;public;captions;4;support;#stayhomedc;response;additional;thank;due;call;kids;stream;follow;energy;may;april;burn;lost;city;along;information;together;march;5;update;related;work;todays;budget;family;across;free;deaths;6;8;ward;emergency;washingtonians;10;please;program;year;#fairshot;businesses;share;delivery;monday;care;columbia;federal;safe;services;working;people;briefing;local;social;june;order;state;families;take
positive;0;0;0;0;0;0;0;0;0;0;0;0;8;0;14;84;104;102;0;2;6;0;0;140;140;0;0;144;140;0;0;0;0;136;0;4;140;0;2;2;12;0;0;0;0;0;4;0;0;2;0;0;44;58;0;0;0;0;16;0;38;8;2;6;0;0;0;0;0;0;6;6;6;0;0;0;6;2;0;0;0;0;0;0;22;6;2;0;0;0;0;0;2;0;0;2;0;0;0;0
#fitdc;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;130;132;132;0;0;132;2;0;0;0;14;0;0;14;0;0;2;0;0;116;14;108;110;0;0;110;0;2;108;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;84;8;20;4;18;10;8;6;8;80;0;6;10;2;0;2;8;6;0;8;6;14;16;2;4;6;6;6;82;2;82;2;0;0;0;0;10;12;0;80;6;0;2;2;8;4;2;82;6;0;2;6;6;0;76;2;6;8;8;2;10;0;8;4;0;6;6;2;6;2;0;8;2;12;2;22;0;6;6;4;4;2;8;6
workouts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;130;130;130;0;0;130;2;0;0;0;14;0;0;14;0;0;0;0;0;114;14;108;108;0;0;108;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;16;4;14;8;30;2;14;20;0;4;14;16;0;0;0;10;14;0;6;14;6;16;72;0;16;4;30;0;6;2;2;2;72;0;2;8;6;0;0;6;0;4;2;4;2;44;0;12;12;6;4;14;12;0;2;4;2;4;2;2;0;10;2;12;14;12;0;4;0;2;2;4;10;10;2;32;2;0;0;4;2;8;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;86;10;2;18;8;6;86;84;8;2;82;82;0;0;2;4;80;0;12;82;4;22;0;4;6;4;4;2;2;6;0;2;0;0;0;54;50;0;2;4;0;2;2;12;6;4;4;4;0;2;8;6;0;0;4;8;8;14;0;16;2;4;4;0;6;0;4;26;4;10;6;2;0;0;4;0;8;8;12;6;4;4;0
reported;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;104;104;94;0;104;104;0;0;0;0;100;0;6;104;0;0;0;8;0;0;0;94;0;96;0;0;0;0;0;44;58;0;94;0;0;0;0;0;6;0;100;0;0;0;0;0;0;90;6;6;0;0;0;6;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;8;8;14;4;104;102;2;2;102;106;0;2;2;6;100;0;10;102;8;8;2;12;6;2;2;2;2;2;4;2;0;2;0;50;70;0;0;6;0;2;6;6;12;0;4;6;2;4;2;6;4;6;8;12;12;8;10;6;0;6;8;6;2;0;0;20;0;6;4;2;2;6;0;0;0;2;8;6;2;4;2
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;18;20;2;0;2;0;2;6;6;0;2;6;4;0;18;0;20;6;4;10;14;4;6;0;16;0;14;0;0;2;0;6;0;0;2;12;0;4;6;0;16;0;2;10;4;8;12;8;0;2;10;0;20;2;6;6;2;2;6;6;0;4;2;2;2;0;2;12;4;8;8;0;6;4;0;2;2;10;6
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;4;2;0;4;0;4;2;0;0;4;0;2;18;14;8;2;2;22;0;4;0;6;0;14;0;0;4;2;0;0;8;0;2;6;0;10;12;0;4;52;4;12;12;2;0;8;0;6;0;8;4;2;4;0;2;2;0;2;2;2;2;0;0;0;0;0;16;2;0;0;0;2;6;8
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;6;0;4;2;0;2;2;0;0;0;2;0;2;6;0;12;54;0;14;10;6;4;10;6;2;8;0;0;2;0;8;2;0;2;0;0;4;8;4;10;0;2;6;0;4;4;8;2;2;2;16;2;46;4;8;0;2;0;4;2;0;0;0;32;6;8;2;12;8;8;2;4;6;2;14;8;4;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;2;8;0;2;0;4;0;6;0;8;8;0;8;4;0;10;12;12;2;2;8;0;22;2;0;4;2;4;0;0;0;10;0;8;4;0;0;0;0;2;0;6;12;4;8;0;2;0;12;8;4;2;4;0;2;2;10;16;0;0;12;2;4;4;6;4;8;0;4;2;0;4;6;8;4
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;4;0;2;4;0;18;4;0;2;6;18;12;2;2;2;2;0;0;4;0;2;0;0;0;6;0;12;4;0;4;2;0;2;0;0;6;4;0;0;6;6;2;2;6;0;22;2;12;2;0;16;8;0;2;2;0;12;0;2;10;2;8;10;2;6;0;6;2
bringing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;0;140;138;0;0;0;2;136;0;4;140;2;0;0;8;0;0;0;0;2;2;0;0;0;0;0;44;60;0;0;0;0;16;4;36;6;0;6;4;0;0;0;2;0;6;6;6;0;0;0;8;0;0;0;0;0;0;4;22;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;138;138;0;0;0;0;136;0;4;138;2;2;8;10;0;2;2;0;0;4;2;0;8;0;0;44;58;0;0;0;0;18;0;36;8;10;6;0;0;0;0;2;0;6;6;6;0;0;0;6;2;0;0;0;0;0;0;24;4;2;0;0;0;0;0;0;0;0;2;6;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;4;0;14;2;0;6;2;16;2;92;14;98;2;0;0;0;0;2;2;0;102;0;0;0;8;2;0;0;92;0;2;0;4;0;4;82;2;0;0;0;4;2;2;2;2;2;2;2;0;0;0;0;0;4;0;2;0;0;0;8;0;2;0;2;6
#dcstatehood;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;8;0;2;0;20;0;0;0;26;0;0;0;0;0;0;0;0;0;0;4;0;0;10;2;4;0;0;6;4;0;0;0;2;0;0;0;0;0;14;0;0;2;2;0;2;2;0;0;0;0;10;0;0;2;0;0;0;0;4;0;26;0;2
case;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;0;2;2;136;0;4;140;0;2;2;10;0;0;0;0;0;2;2;0;2;0;0;44;58;0;0;0;0;18;0;36;6;2;6;0;2;0;0;0;0;6;8;6;0;0;0;8;2;2;0;0;0;0;0;22;0;2;0;0;2;0;0;4;0;0;2;0;0;2;0
data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;8;138;0;0;0;10;0;2;0;0;0;6;0;2;0;0;0;44;58;0;2;0;0;16;0;42;6;2;4;0;0;0;0;0;0;6;6;8;0;0;0;6;2;0;0;0;0;0;0;24;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0
bring;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;130;2;0;130;0;0;2;2;8;2;4;0;0;0;2;0;2;0;8;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;4;2;0;0;0;2;4;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2
ready;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;0;0;130;2;0;0;0;8;4;2;0;0;2;0;0;6;2;8;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;6;0;0;0;4;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
move;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;130;2;0;0;2;8;0;0;0;0;0;0;0;0;2;8;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;4;0;4;14;0;0;2;2;0;2;0;0;0;0;0;2;0;0;6;0;4;10;0;6;0;0;8;0;8;16;8;4;0;10;6;12;2;8;6;0;8;10;4;0;2;0;2;4;0;2;12;10;8;0;0;2;0;2;0;0;18;4
includes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;136;0;2;0;10;0;0;2;0;0;2;0;0;0;0;0;44;54;0;0;0;0;18;0;38;6;2;2;0;0;0;2;0;0;4;6;6;0;0;0;6;2;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0
seniors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;2;0;0;0;8;0;0;0;0;0;0;2;0;8;4;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;12;2;2;8;4;0;10;0;4;6;2;2;4;2;6;10;2;4;4;2;2;2;6;4;2;0;12;0;6;6;2;0;0;6;2;12;4;0;0;6;2;0;0;10;6;10;2;6;2;8;2;8;10;2;2;6;10;8;4;0;2;0
overall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;2;0;0;0;0;0;44;58;0;0;0;0;16;0;36;6;0;6;0;0;0;2;0;0;6;6;6;0;0;0;6;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;6;14;8;12;2;10;2;4;0;0;4;0;10;2;0;2;8;0;8;14;6;2;2;0;14;2;2;0;2;0;2;4;10;2;8;2;6;16;2;2;2;2;2;10;6;2;4;4;10;12;6;6;0;12;8;2;12;2;8;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;8;4;8;2;0;2;2;0;2;2;0;10;8;0;0;4;0;4;2;6;6;2;0;2;14;4;4;0;2;0;4;2;0;44;0;6;2;4;0;0;2;0;0;4;4;4;2;4;6;4;8;6;4;4;2;14;6;4;0
captions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;36;0;0;0;12;6;116;0;0;0;0;0;0;0;0;2;0;2;0;62;0;0;0;2;0;0;0;0;0;0;4;0;0;0;8;0;0;4;8;0;0;0;0;4;0;0;0;0;0;48;2;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;18;2;0;6;6;0;6;0;0;2;12;0;4;8;0;16;8;8;2;8;4;4;0;6;6;8;6;4;4;6;12;12;2;2;6;2;0;2;6;0;2;4;10;4;4;2;8;2;6;10;6;6;2;8;6;2;6
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;16;2;6;0;0;2;0;6;0;0;2;8;0;0;14;0;2;0;0;6;0;4;8;10;4;0;2;2;2;4;6;6;4;6;8;4;12;0;12;2;4;4;4;12;6;4;6;0;22;10;2;4;6;12;2
#stayhomedc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;4;0;12;12;0;14;10;6;0;10;0;2;14;4;10;0;4;2;0;2;2;0;2;0;4;0;4;4;2;2;4;0;4;0;4;0;0;16;0;2;2;8;0;2;0;2;2;2;0;8;2;6;0;0;2
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;0;36;0;0;0;2;0;0;0;0;20;2;2;4;20;0;2;0;0;0;0;0;0;4;0;0;6;2;6;12;0;0;0;4;0;8;0;4;2;0;0;2;4;2;40;10;2;6;4;2;2;4
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;92;2;0;0;0;0;0;4;0;92;0;0;4;2;0;2;0;96;2;0;0;0;0;0;86;2;0;0;2;0;2;4;4;0;0;2;0;0;2;2;4;4;0;0;4;2;0;2;0;2;0;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;2;8;0;2;0;0;16;4;10;2;0;4;0;0;0;2;6;14;2;6;0;4;8;0;2;0;0;6;4;4;6;0;10;2;2;0;0;0;0;0;2;10
due;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;98;0;0;0;0;6;2;0;92;0;0;0;0;2;0;84;0;8;0;0;0;6;2;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;4;2;0;0;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;10;4;0;8;0;0;2;4;0;4;0;6;0;4;4;2;2;4;8;6;0;4;0;6;2;0;2;2;0;6;6;2;2;2;0;0;2;0;0;0;2;8
kids;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;104;110;0;0;110;0;0;104;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
stream;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;4;0;0;0;0;0;48;0;0;0;0;0;0;0
follow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;2;2;104;0;0;108;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;104;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;6;0;0;10;4;0;2;0;0;4;0;0;0;6;2;0;6;0;2;4;0;6;0;0;4;0;12;4;2;0;2;2;2;4;0;2;4;2;8;0;6;0
april;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;12;10;0;6;6;0;0;0;2;0;6;4;8;0;2;2;10;0;2;0;0;2;0;0;18;0;4;2;0;0;4;0;0;4;2;0;2;0;0;4
burn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;92;0;0;0;2;0;0;84;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;2;6;6;2;14;4;0;0;2;2;2;0;6;4;2;6;12;2;6;0;2;2;4;0;4;6;2;4;12;0;2;0;0;2;2;2;2
along;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
