kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
new,144,new,120,new,186,new,204,new,178,new,107,new,939,new,450,new,489,new,939
mexico,81,mexico,70,mexico,105,#covid19,96,covid19,78,covid19,90,mexico,451,mexico,256,covid19,240,mexico,451
#stateofthestatenm,52,#nmleg,56,covid19,96,mexico,95,#covid19,68,statewide,60,covid19,337,state,145,#covid19,197,covid19,337
state,45,#nmgov,35,health,81,health,77,mexico,60,deaths,53,state,270,health,116,mexico,195,state,270
#nmgov,42,state,34,state,66,home,76,spread,51,cases,51,health,255,mexicans,115,health,139,health,255
mexicans,29,mexicans,32,mexicans,54,covid19,72,health,51,mexico,40,mexicans,213,#nmgov,98,cases,137,mexicans,213
education,28,legislation,26,home,49,stay,67,statewide,50,#covid19,33,#covid19,200,covid19,97,state,125,#covid19,200
year,27,senate,25,stay,45,state,66,public,50,additional,31,cases,166,#nmleg,84,deaths,120,cases,166
health,22,approved,24,information,44,announced,64,mask,44,currently,30,public,161,stay,59,statewide,118,public,161
families,21,committee,20,#alltogethernm,41,additional,50,deaths,43,todays,30,home,160,public,59,home,107,home,160
care,18,across,19,positive,36,cases,48,state,39,individuals,30,stay,148,home,53,additional,102,stay,148
across,17,hb,19,public,36,positive,42,cases,38,update,29,statewide,143,#stateofthestatenm,52,public,102,statewide,143
economic,17,sb,16,@nmdoh,35,#alltogethernm,42,mexicans,38,info,29,spread,136,care,51,spread,102,spread,136
early,16,house,16,spread,33,spread,41,currently,37,hospitalized,28,deaths,126,across,51,currently,101,deaths,126
legislation,15,costs,15,#coronavirus,31,mexicans,41,info,37,totaling,28,additional,126,legislation,49,mexicans,98,additional,126
#nmleg,15,bipartisan,14,cases,27,@nmdoh,38,update,36,bringing,27,positive,123,families,46,info,97,positive,123
childhood,15,creating,14,officials,26,officials,35,todays,34,statewidemore,26,currently,117,information,46,stay,89,currently,117
opportunity,14,families,14,announced,24,tests,34,positive,33,public,21,announced,110,education,45,totaling,88,announced,110
public,13,fund,13,continue,22,currently,34,tests,31,state,20,#alltogethernm,108,#alltogethernm,41,update,86,#alltogethernm,108
work,12,childhood,13,care,22,info,31,bringing,31,mexicans,19,info,107,@nmdoh,40,bringing,86,info,107
million,12,health,13,#nmgov,21,public,31,individuals,30,community,13,totaling,100,positive,39,positive,84,totaling,100
fund,12,education,13,statewide,21,totaling,30,totaling,30,mexicos,12,#nmgov,98,year,38,announced,80,#nmgov,98
scholarship,12,support,12,community,21,related,29,continue,29,mask,11,update,96,spread,34,todays,75,update,96
jobs,12,law,12,together,20,pandemic,29,home,29,face,11,tests,93,continue,33,tests,73,tests,93
services,11,heads,12,tests,20,bringing,28,protect,28,health,11,@nmdoh,91,#coronavirus,33,#alltogethernm,67,@nmdoh,91
