;president;trump;people;great;states;white;united;new;house;news;thank;administration;youthank;national;american;fbi;take;2016;americans;republican;job;proud;government;obama;help;election;provide;party;china;black;working;partys;fake;washington;year;charged;story;care;love;together;several;everyone;vote;raiders;secretary;former;j;saudi;democrat;man;huge;crime;work;best;massive;post;campaign;another;democratic;3;lives;jersey;radical;media;team;editorial;highly;mess;friend;considering;source;sanders;guy;strong;leader;committee;person;told;democrats;record;big;senate;arrested;gift;possible;tremendous;border;supreme;country;leadership;home;history;russia;presidential;place;america;security;south;report;five
president;0;14;4;0;4;4;4;4;4;4;0;0;0;0;4;2;0;0;2;0;2;2;0;0;2;0;0;0;2;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;2;0;2;2;2;0;0;0;0;0;2;2;0;2;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0
trump;0;0;4;2;0;8;2;6;6;2;0;2;0;4;2;4;0;4;2;6;4;2;2;0;2;2;0;4;2;0;2;0;2;4;0;0;0;0;0;0;0;0;2;0;2;4;2;0;2;2;0;2;0;0;0;2;4;0;2;2;0;2;0;0;2;2;0;4;0;0;0;2;0;0;2;2;0;2;2;0;4;2;0;0;2;2;2;2;0;0;2;0;2;2;0;0;0;0;0;0
people;0;0;0;2;0;0;0;4;0;0;4;0;0;0;6;0;0;0;0;2;0;4;2;0;4;0;4;0;0;2;0;0;2;0;2;0;0;4;4;2;0;4;2;0;0;0;0;0;0;0;2;0;4;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;4;2;2;4;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;4;4;2;0;0;4;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;6;2;0;0;4;0;0;0;0;0;0;0;0;2;2;0;4;2;2;0;0;0;0;2;2;0;4;0
states;0;0;0;0;0;0;16;4;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0
white;0;0;0;0;0;0;0;2;12;2;2;0;0;0;2;2;2;2;0;2;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;4;0;2;0;0;0;0;2;0;0;2;2;0;0;4;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2
united;0;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;2;2;4;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0
house;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;2;4;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2
news;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;4;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;8;2;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;0;4;2;2;0;0;0;0;0;0;0;6;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;4;0;0;4;0
