;ca;tune;#covid19;new;continue;reopening;public;health;federal;allow;safe;flattening;states;update;testing;confirmed;cases;fight;curve;across;global;risk;grateful;actions;provide;cannot;simply;together;people;reopen;take;begin;great;crisis;lives;days;isnt;site;decline;support;staying;counties;workers;firefighters;safety;science;work;year;guidance;curbside;facing;lower;cant;recession;2;seriously;government;protect;million;starting;60;racism;save;include;zip;code;seen;industries;next;moment;icu;milestone;near;spread;physical;responders;number;blue;bookstores;govt;americans;clothing;trillion;tested;led;released;state;hospitalizations;places;covid19;join;positive;ensure;obligation;weekend;important;14;january;worse;nv
ca;0;0;14;24;14;12;4;6;0;10;4;10;0;0;8;10;10;2;8;2;0;6;0;4;2;4;0;0;6;2;8;4;2;2;4;6;0;2;4;0;0;2;0;0;2;6;4;2;4;2;0;4;2;0;4;6;0;0;2;0;4;0;2;2;4;4;6;6;2;0;4;2;2;0;0;0;4;0;0;0;0;0;0;2;2;4;0;4;2;2;2;2;2;0;0;2;4;2;0;0
tune;0;0;10;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#covid19;0;0;0;8;10;4;0;0;0;2;4;4;0;10;8;4;4;6;4;6;0;0;2;6;0;0;4;2;2;2;4;0;2;0;6;4;2;4;2;0;2;0;2;0;0;0;2;4;0;0;0;0;4;0;0;2;0;0;0;2;4;0;4;0;6;6;2;2;2;2;2;2;4;4;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;4;2;2;2;0;0;2;2;2;0;0
new;0;0;0;0;10;8;4;4;2;10;0;8;2;0;4;10;10;0;8;2;0;2;0;4;0;2;0;2;4;2;6;4;0;0;4;4;0;2;2;2;2;4;0;0;2;6;2;0;6;2;0;2;0;0;2;4;2;2;2;2;2;0;2;0;4;4;4;4;2;0;2;2;2;0;2;0;2;0;0;0;0;0;2;2;0;4;0;2;2;2;0;2;2;0;0;2;2;0;0;2
continue;0;0;0;0;0;8;2;2;0;6;4;10;0;0;4;6;6;4;8;4;0;0;0;2;0;2;2;0;0;0;8;0;0;0;2;2;0;0;2;0;0;0;0;0;0;6;4;2;2;4;0;0;4;0;0;6;0;0;0;0;2;0;2;2;2;2;2;2;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;2;2;2;0;0;2;0;0;2;2;2;0;0
reopening;0;0;0;0;0;0;2;2;0;6;0;8;0;0;4;4;4;0;8;0;0;0;0;0;0;2;0;0;0;0;6;2;2;0;0;2;0;0;2;0;2;4;0;0;0;6;2;0;2;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0
public;0;0;0;0;0;0;0;8;4;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;4;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;6;2;0;0;2;2;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4
health;0;0;0;0;0;0;0;0;6;2;2;2;2;0;0;0;0;0;2;0;4;2;0;0;4;4;0;4;2;0;0;0;2;6;0;0;0;0;0;2;2;0;2;2;6;2;0;0;2;2;4;0;0;2;0;0;4;6;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4
federal;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;2;0;0;0;4;2;0;4;0;0;0;0;0;2;0;0;4;0;0;4;2;0;2;2;4;0;0;0;0;0;2;0;0;0;0;0;6;6;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;4;2;0;4;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;4
allow;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;4;4;0;4;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;6;0;0;2;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;4;2;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0
flattening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;6;0;8;0;0;0;0;2;0;2;0;0;0;0;8;0;0;0;2;2;0;0;2;0;0;0;0;0;0;6;0;0;2;2;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;4;2;2;0;0;0;0;2;0;0;0;4;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;2
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
