;new;covid19;#covid19;mexico;spread;health;statewide;public;mask;deaths;state;cases;mexicans;currently;info;update;todays;positive;tests;bringing;individuals;totaling;continue;home;protect;wear;face;slow;additional;safe;order;may;virus;#alltogethernm;stay;hospitalized;community;mexicos;practices;covidsafe;thank;announced;available;gather;people;crisis;essential;@nmdoh;required;lives;social;pandemic;slowing;care;covering;testing;emergency;tested;wearing;able;employees;distancing;statewidemore;businesses;request;part;across;work;officials;masks;gallup;together;reopening;place;give;remain;effective;thanks;staying;contact;services;live;tune;modified;tomorrow;incredible;grateful;working;loved;closed;could;help;memorial;ones;retailers;vote;workers;account;related;3
new;0;96;108;106;52;52;72;54;34;62;52;74;72;66;64;68;58;66;62;62;52;60;38;32;14;24;22;28;38;22;18;14;20;22;18;34;20;30;4;4;14;20;12;14;18;16;12;10;8;20;18;16;14;14;10;10;10;12;10;16;12;18;20;10;4;10;14;10;16;10;2;8;6;6;14;8;10;8;10;10;6;4;6;10;8;10;10;12;2;4;4;8;2;2;4;6;6;10;12;10
covid19;0;0;70;34;20;8;56;8;18;62;16;68;20;60;58;54;56;60;62;62;52;60;10;14;8;20;10;12;32;4;2;8;6;8;4;34;6;4;4;2;0;16;0;8;10;6;4;6;8;10;4;6;6;2;4;2;4;2;4;2;2;6;20;6;4;0;6;2;6;0;6;6;4;2;2;2;6;2;6;2;4;0;4;0;6;0;0;0;4;2;0;2;2;2;0;0;0;0;12;0
#covid19;0;0;0;36;40;24;60;24;12;62;34;66;16;60;62;66;58;58;60;60;50;58;26;18;6;14;10;26;32;8;6;2;8;12;6;32;4;16;4;4;4;16;6;16;6;4;2;6;4;10;8;8;12;6;6;6;10;4;4;6;2;10;20;0;2;8;0;2;16;6;2;4;2;0;10;0;2;0;6;4;2;6;2;4;2;2;0;2;4;0;2;4;6;4;2;0;2;8;12;6
mexico;0;0;0;0;14;22;26;10;8;22;26;26;22;24;16;12;16;26;22;22;16;20;12;16;2;4;4;6;10;14;4;0;8;4;12;14;6;2;0;0;10;10;6;2;6;12;4;6;0;8;6;10;2;10;2;4;2;6;4;4;6;6;0;6;2;2;8;6;6;2;2;6;2;2;4;4;0;0;6;4;2;2;4;2;2;4;10;10;2;2;2;4;2;2;2;2;4;2;8;4
spread;0;0;0;0;0;12;8;28;22;6;10;14;24;8;16;8;8;6;6;6;6;6;20;28;26;16;26;38;0;12;10;8;24;4;18;0;10;2;0;0;4;2;2;18;14;0;8;2;4;12;8;2;20;6;16;4;0;4;12;4;2;10;0;0;4;12;4;2;0;4;4;4;4;2;2;0;2;4;10;4;0;0;0;6;0;0;2;0;8;0;2;4;8;4;0;0;0;0;0;0
health;0;0;0;0;0;0;10;52;2;6;24;6;18;10;10;16;2;6;6;6;4;6;14;8;6;0;0;4;6;4;24;12;10;12;10;0;6;16;8;8;2;8;12;0;2;12;2;10;4;2;2;4;0;12;0;6;14;2;2;0;2;0;0;4;0;0;2;2;16;0;2;0;10;10;10;4;6;0;0;0;4;4;0;12;2;2;0;2;0;8;2;0;0;0;6;0;6;8;6;8
statewide;0;0;0;0;0;0;0;8;10;56;4;56;8;56;50;54;58;56;56;56;52;54;8;10;0;10;0;8;28;4;2;2;0;2;4;34;2;2;2;2;2;8;12;8;8;2;4;4;2;4;2;4;2;2;0;10;2;6;2;2;2;2;20;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;4;2;4;0;0;0;2;0;0;2;0;2;0;6;2
public;0;0;0;0;0;0;0;0;14;0;16;2;26;4;6;14;2;0;0;0;2;0;18;16;20;12;18;14;0;4;24;18;12;12;14;0;10;12;10;10;4;2;6;8;4;6;4;4;12;2;0;8;6;10;12;6;12;2;10;2;4;0;0;4;2;6;0;2;8;8;0;0;10;6;8;4;12;6;2;0;2;6;0;12;4;2;2;2;4;6;4;0;6;4;6;2;4;8;0;6
mask;0;0;0;0;0;0;0;0;0;10;8;10;18;8;8;8;8;8;8;8;8;8;4;8;14;24;18;14;4;4;0;8;4;6;2;2;10;4;0;0;2;2;0;0;4;0;4;0;10;6;4;0;6;4;8;0;0;0;8;2;2;6;0;2;6;4;4;0;0;8;0;6;0;0;2;0;8;6;4;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;4;2;0;0;2
deaths;0;0;0;0;0;0;0;0;0;0;6;62;0;60;54;52;56;60;62;62;52;60;6;8;0;10;2;6;32;0;0;0;0;0;2;34;2;0;0;0;0;14;0;6;6;0;0;6;0;6;2;0;2;0;0;0;0;0;0;0;0;2;20;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;12;0
