;trump;states;united;new;people;government;president;federal;man;republican;great;house;presidential;administration;york;campaign;killed;state;bill;hit;donald;national;work;former;americans;department;country;article;best;south;powerful;times;j;2016;essential;pay;act;military;governor;major;congress;take;night;navy;girl;become;white;serve;big;party;law;looks;power;american;russia;baltimore;statement;allow;warthe;number;world;week;help;debt;investigating;defeat;good;proud;left;reserve;thank;office;without;place;north;ready;candidate;music;announce;step;money;election;access;police;seals;impact;thursday;west;league;press;lebanon;working;service;fbi;senate;city;massive;business;bring;louis
trump;0;4;4;6;2;4;10;6;0;10;2;6;12;6;4;12;0;0;2;2;12;0;0;2;2;0;0;2;0;0;0;4;6;4;0;0;0;2;0;2;4;0;2;0;0;2;2;0;2;0;0;2;2;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;6;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;2;0;0;4;2;2;0
states;0;0;20;0;6;2;2;2;0;0;4;0;2;2;0;0;0;2;0;2;2;0;0;0;2;0;2;0;2;0;4;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;4;0;0;0;2;2;0;0;0;2;2;0;2;0;0;2;2;0;2;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
united;0;0;0;0;6;2;2;2;0;0;4;0;2;2;0;0;0;2;0;2;2;0;0;0;2;0;2;0;2;0;4;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;4;0;0;0;2;2;0;0;0;2;2;0;2;0;0;2;2;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
new;0;0;0;0;2;0;2;0;0;6;0;2;0;4;14;2;0;0;4;2;2;0;0;2;2;0;0;2;0;0;0;8;2;2;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;6;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;2;0;2;2;2
people;0;0;0;0;0;2;2;0;4;2;4;0;2;0;2;0;4;2;0;4;2;0;6;2;2;2;4;0;0;4;2;0;4;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;2;0;0;0;2;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0
government;0;0;0;0;0;0;0;8;0;2;0;0;2;2;0;2;0;2;0;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0
president;0;0;0;0;0;0;0;0;0;2;0;8;0;0;2;0;0;0;0;2;4;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;4;0;2;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;2;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;4;6;2;2;2;0;0;2;2;8;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;4;0;0;2;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
