;iowa;#covid19;update;state;covid19;conference;#investiniowaact;press;thank;positive;cases;additional;spread;emergency;iowans;health;new;public;holding;iowas;disaster;230;@iapublichealth;declaration;work;@potus;proclamation;coronavirus;support;community;capitol;response;give;great;signed;services;supports;live;limit;hygienic;fund;center;heres;life;novel;operations;continue;future;related;negative;issued;presumptive;video;combat;incredible;working;legislation;across;help;happening;town;individuals;hall;@iowahsemd;quality;appreciate;congratulations;2020;earlier;facilities;tested;whatever;taking;together;dr;older;morning;held;discuss;relief;continuing;partnership;gatherings;virus;stream;bars;address;states;23;act;invest;found;13;impacted;21;tests;decision;22;1;2019
iowa;0;12;12;16;10;8;6;6;2;4;6;4;10;6;4;4;6;4;2;2;6;0;4;0;2;2;2;4;4;4;6;4;2;2;2;0;2;4;4;2;0;2;4;0;0;2;2;0;0;0;2;4;0;2;4;2;2;2;0;4;2;0;2;2;0;0;0;0;0;0;0;4;4;4;0;0;2;2;4;0;0;0;0;0;2;0;4;2;2;2;4;0;4;0;0;0;0;0;2;0
#covid19;0;0;24;10;2;12;0;12;4;8;12;12;10;2;6;4;8;4;8;2;4;8;6;4;0;2;0;0;0;2;0;4;2;0;0;0;0;0;6;4;0;0;4;0;0;0;2;0;2;4;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;2;2;2;0;0;0;0;0;0;2;4;2;0;0;2;0;2;2;4;0;0;2;0
update;0;0;0;14;14;22;0;22;0;12;12;10;0;4;2;0;10;0;12;2;0;10;0;0;0;0;0;6;0;0;2;2;8;0;0;0;0;4;0;4;0;4;0;0;4;4;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;2;2;0;0;4;2;0;4;2;0;0;4;4
state;0;0;0;0;10;8;4;8;0;6;8;10;0;14;6;8;10;8;4;2;2;0;0;6;0;0;4;2;2;0;6;0;4;2;2;0;2;4;0;6;0;6;2;2;0;6;0;0;0;4;6;2;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;4;4;0;0;0;4;2;2;0;2;0;0;0;2;2;0;4;0;0;2;0
covid19;0;0;0;0;0;8;0;8;0;8;6;4;6;6;4;0;2;2;2;2;0;2;0;0;0;0;0;2;0;2;0;0;4;0;2;2;0;2;0;4;2;6;0;0;2;6;0;0;0;4;0;4;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;2;2;0;0;0;2
conference;0;0;0;0;0;0;0;24;2;2;4;4;0;4;0;0;4;0;14;0;0;12;2;0;0;2;0;2;0;0;2;0;8;0;0;0;0;4;0;0;0;4;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0
#investiniowaact;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;8;2;0;0;2;0;2;6;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;6;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
press;0;0;0;0;0;0;0;0;0;2;4;4;0;4;0;0;4;0;14;0;0;12;0;0;0;0;0;2;0;0;2;0;8;0;0;0;0;4;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;2;2;4;0;0;4;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;4;0;2;4;2;0;2;2;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
positive;0;0;0;0;0;0;0;0;0;0;14;10;0;0;4;0;6;0;2;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;0;0;0;2;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;2;4
