;maine;1;testing;2;people;maines;health;economy;state;safety;work;states;may;learn;33;capacity;announced;precautions;covid19;support;partnership;memorial;3;administration;protect;plan;full;behalf;funding;believe;new;44;counties;economic;rural;public;businesses;federal;virus;restart;transmission;allowing;reopening;limits;providers;gratitude;private;precautionsview;grateful;pandemic;service;ratings;system;congressional;expand;efforts;added;matter;stay;campgrounds;forward;frontline;services;halfstaff;challenge;workers;idexx;stand;lincoln;tracing;weeks;congress;access;delegation;students;help;expanded;community;following;gyms;contact;restaurants;different;still;prioritization;nail;express;expansion;@repgolden;credit;18th;appropriate;without;unprecedented;serving;welcome;@senangusking;certain;difficult;restarting
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;2;0;0;0;2;0
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;6;0;0;4;2;0;0;0;2;2;2;0;2;0;4;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;4;2;0;0;0;0;0;2;2;0;0;2;0;0;0;2;2;0;0;2;0;2;0;0
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;2;2;0;2;2;0;0;4;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;2;0;2;2;0;2;0;0;0;2;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0
precautions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;4;0;0;4;0;2;2;2;0;0;0;2;4;0;0;0;0;2;6;0;0;0;0;0;0;0;0;6;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;2;0;2;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;4;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2
partnership;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;4;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
memorial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;2;0;0;0;2;0;2;0;4;2;2;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;4;2;6;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;6;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2
full;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
behalf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0
funding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;6;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0
believe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;0;2;0;4;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0
