;state;connecticut;new;#ctsots;states;year;efforts;great;ct;best;workforce;live;health;families;work;residents;education;local;people;online;community;students;opportunity;teachers;connecticuts;holding;jobs;children;meeting;looking;working;join;proud;provide;morning;schools;help;serve;#care4kids;honor;starting;chat;stay;innovative;development;2020;continue;governor;support;coronavirus;conference;business;important;moving;office;@cdcgov;next;access;website;economic;happening;address;world;center;kids;@ctdph;program;news;parents;conversation;half;stop;thousands;change;government;ask;less;throughout;country;businesses;amazing;everyone;ensuring;updates;leaders;protect;issues;#communityconversation;costs;incredibly;discuss;policy;@uconn;services;care;afternoon;shelters;women;latest;town
state;0;12;8;18;2;4;6;8;6;6;2;14;8;0;2;4;2;6;4;8;0;0;0;4;4;6;2;2;4;6;0;4;6;4;0;2;0;4;0;4;2;2;4;2;2;8;2;8;0;0;4;4;0;6;4;0;0;2;4;0;6;10;0;4;2;2;0;4;0;0;2;0;2;4;2;0;2;2;4;2;2;2;0;4;6;0;0;0;2;2;2;0;0;2;2;2;0;2;2;2
connecticut;0;0;8;6;8;2;6;6;4;6;2;0;2;0;2;6;2;8;2;2;2;2;4;2;0;2;2;0;0;8;0;0;2;4;2;4;4;0;0;4;6;0;2;8;2;0;4;0;0;4;2;4;0;0;2;2;2;0;2;2;0;0;4;0;2;0;2;4;0;2;0;2;0;0;2;0;0;4;6;4;2;0;0;2;2;2;0;4;4;0;0;0;2;2;0;2;2;0;0;0
new;0;0;0;6;4;2;2;2;0;6;2;0;2;4;2;0;0;0;0;0;0;0;2;0;2;0;4;4;0;4;4;0;0;2;2;0;0;2;4;4;0;2;0;0;0;0;0;0;2;0;0;2;2;2;2;0;2;2;0;4;0;0;4;4;0;0;4;0;4;0;2;0;4;2;0;0;0;0;4;0;2;0;4;0;2;2;2;0;0;0;0;4;0;2;2;0;0;0;0;0
#ctsots;0;0;0;0;2;4;0;2;0;2;0;4;2;2;0;0;2;0;0;2;2;2;0;4;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;4;2;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;2;2;2;8;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;0;2;2;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0
states;0;0;0;0;0;2;6;0;2;2;4;4;4;2;0;8;4;2;0;0;2;0;0;0;2;4;0;0;4;2;2;0;0;4;0;0;2;0;2;0;2;0;2;2;4;0;0;2;0;4;4;0;0;2;0;2;2;0;2;2;2;0;0;2;2;0;6;4;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;4;0;0;2;0;4;0;0;0;0;2;2;0;0;2
year;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
efforts;0;0;0;0;0;0;0;0;2;2;2;2;8;0;2;10;0;6;0;2;0;2;2;0;2;4;0;0;2;0;0;0;0;4;0;2;0;4;0;2;0;0;0;0;0;0;2;0;0;6;4;0;0;0;4;4;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;4;0;0;0;2;4;0;0;2;0;2;0;0;4;0
great;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2
ct;0;0;0;0;0;0;0;0;0;4;0;2;2;0;6;4;0;2;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;4;0;0;0;2;2;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0
best;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;4;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
workforce;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;6;2;0;0;0;0;0;4;2;0;0;2;0;0;4;0;0;0;4;0;0;0;0;0;8;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;4;6;2;2;0;0;0;2;2;0;0;0;0;0;4;0;2;0;2;4;0;0;0;2;0;2;2;0;0;2;0;2
live;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;8;0;0;0;2;6;6;0;0;2;0;0;2;0;4;0;0;0;2;2;0;0;0;2;0;2;4;0;8;0;2;8;0;0;0;0;2;0;0;4;0;10;6;0;4;0;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;8;0;0;0;0;0;0;2;4;0;2;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;0;0;0;0;4;0;0;0;0;0;0;0;2;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;4;4;0;0;0;2;2;4;0;0;4;0;2;0;2;0;2;0;8;0;4;0;2;0;0;0;0;2;2;0;2;0;4;0;0;0;0;4;0;0;2;0;0;0;2;0;6;2;4;0;0;0;2;2;0;0;4;0;0;0;0;0;4;0;0;0;0;0;4;0;2;6;2;2;4;0;0;0;0;0
