;new;covid19;statewide;deaths;cases;mexico;#covid19;additional;currently;todays;individuals;update;info;hospitalized;totaling;bringing;statewidemore;public;state;mexicans;community;mexicos;mask;face;health;wear;spread;work;continue;positive;safety;black;safe;pandemic;businesses;four;local;tests;legislature;still;racism;#protectnm;essential;moment;students;protect;live;reform;ensure;justice;incredible;practices;help;session;leaders;five;council;vote;tax;ensuring;part;wonderful;relief;together;neighbors;injustice;#alltogethernm;thank;critical;school;virus;gender;states;country;take;election;across;business;coverings;important;address;peaceful;join;history;mexican;working;safely;absolutely;consideration;tested;find;support;required;freedom;proud;special;full;rights;distancing;means
totaling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;52;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bringing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
statewidemore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;16;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;6;4;10;16;8;8;2;6;0;6;0;0;4;4;0;4;0;6;6;0;4;2;2;2;2;0;6;4;0;2;4;0;8;2;0;0;0;4;0;2;4;4;0;0;0;4;2;4;0;2;0;0;0;2;6;0;4;4;2;4;0;0;2;0;0;2;0;2;0;0;0;2;0;0;6;2;4;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;0;0;4;2;0;0;0;0;2;2;4;4;2;0;0;0;2;0;2;2;2;0;0;2;2;0;0;2;2;2;2;2;0;0;2;2;2;0;0;0;2;0;4;0;4;0;0;0;6;0;0;0;4;0;4;0;0;2;2;0;0;2;0;0;2;0;0;2;2;0;2;0;0;2;2;0;0;2
mexicans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;10;2;4;10;4;6;0;2;2;6;2;0;0;0;0;0;4;2;0;2;2;0;6;0;0;2;0;8;2;2;0;0;0;2;6;0;2;0;0;0;0;4;0;2;6;4;0;4;2;0;0;2;2;2;0;6;0;0;0;0;0;0;2;2;0;0;4;4;4;0;0;0;0;0;0;2;2
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;4;0;2;2;2;4;0;2;0;0;0;0;0;2;4;2;6;2;0;4;2;0;2;2;0;0;0;0;8;0;2;0;0;0;4;0;0;2;2;4;2;0;2;2;2;2;2;2;0;0;4;0;0;0;0;0;0;0;0;2;0;4;2;2;2;0;2;0;2;0;0;0;0;0
mexicos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;0;2;4;4;0;4;4;0;4;2;0;2;0;0;0;0;2;0;0;2;2;4;0;2;0;4;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;4;2;0;0;2;0;0;0;0;0;2;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;8;8;0;0;0;2;0;0;2;0;0;0;0;0;4;0;6;0;0;0;6;0;0;2;0;4;0;0;0;0;0;0;4;0;0;4;2;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;8;4;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;14;0;8;0;2;0;0;2;0;0;0;0;0;10;0;6;0;0;0;6;0;0;2;0;6;2;0;0;0;0;0;4;0;0;4;2;0;0;0;0;4;2;4;0;2;0;0;0;2;0;0;0;10;4;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;4;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;2;2;0;0;0;0;2;0;2;0;2;2;2;0;2;4;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;4;0;4;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;2;2;0;0
wear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;6;0;2;0;2;2;0;0;0;0;2;6;0;8;0;0;0;6;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;4;2;0;2;0;0;0;0;0;4;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;2;0;0;0;0;0;8;0;4;2;0;0;4;0;0;2;0;4;4;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;4;0;4;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;2;0;2;2;0;4;0;0;0;0;0;2;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;4;0;2;0;2;2;2;2;2;2;4;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;2;2;2;0;0;2;0;4;0;0;2;0;0;2;0;0;0;0;2;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0
