;president;new;great;people;trump;united;states;national;obama;good;american;state;following;year;help;working;house;report;huge;may;republican;love;group;week;called;book;justice;party;five;october;early;build;morning;marathon;crisis;groups;dc;saturday;nice;york;man;statement;white;world;police;video;giant;recent;election;joker;former;thank;weather;supreme;rosie;biggest;likely;court;highest;terrorist;islamic;update;senator;friends;progress;name;greatest;radical;america;times;job;producing;power;lot;israel;communities;rush;opportunity;hard;cop;saved;seven;countless;service;night;nhl;city;transcript;incredible;community;democratic;copy;voters;final;proud;online;released;yesterday;administration;crime
president;0;2;6;4;14;2;2;0;6;2;4;0;0;0;0;0;4;0;0;4;0;0;4;2;4;0;2;0;0;0;2;0;2;0;2;2;0;4;0;2;0;4;4;0;0;0;0;0;2;0;8;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;4;0;0;0;4;2;2;0;0;2;0;0;2;0;2;4;0;0;0;4;0;4;0;0;4;0;0;0
new;0;0;6;0;2;2;2;6;4;0;2;2;2;2;0;4;0;2;0;2;2;2;0;0;0;4;0;0;4;0;4;2;0;2;0;0;0;2;0;4;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;2;0;2;2;2;0;2;0
great;0;0;0;4;0;4;4;2;0;4;4;4;4;2;2;4;0;0;0;2;2;2;4;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
people;0;0;0;0;2;4;4;2;0;2;2;0;2;2;2;0;0;2;2;0;2;4;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;4;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0
trump;0;0;0;0;0;0;0;2;4;4;0;0;0;0;0;2;2;0;0;2;2;0;2;2;2;0;2;0;0;0;2;0;2;0;2;0;0;2;2;2;0;2;2;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;2;2;2;2;0;0;2;2;0;0
united;0;0;0;0;0;0;18;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;2;0;0;2;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0
states;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;4;0;0;0;4;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;2;0;0;2;0;2;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0
national;0;0;0;0;0;0;0;0;6;0;0;2;2;0;2;2;2;4;0;0;4;0;0;2;0;0;2;2;4;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;6;0;4;0;0;2;0;2;4;0
obama;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;4;0;2;0;0;2;0;6;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;4;4;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;2;2;0;2;4;0;6;0
good;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
