;trump;people;president;great;new;obama;administration;house;2018;former;man;job;working;american;republican;russia;fbi;may;committee;news;party;department;criminal;white;war;york;hard;shot;democrats;presidential;donald;united;report;national;americans;happened;iran;help;secretary;times;dead;terrorist;says;ran;police;usa;thing;super;congress;campaign;cost;russian;china;judiciary;group;closely;care;matter;lot;wonderful;intelligence;impeachment;top;decision;good;movement;regarding;putin;according;year;story;left;government;general;history;west;thank;critical;rates;next;media;called;week;example;@foxnews;article;america;away;federal;arrested;students;saturday;states;friday;calling;passing;director;senate;john;bill
trump;0;2;8;0;2;2;2;6;0;6;4;2;2;2;6;2;2;2;2;0;2;2;2;2;2;0;2;0;4;2;8;0;2;2;2;2;0;0;2;0;2;0;4;0;0;0;2;0;2;4;0;2;0;2;0;0;0;2;0;2;2;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;2;2
people;0;0;2;2;2;0;0;2;0;0;2;0;2;6;0;4;2;2;2;0;0;0;0;2;0;0;2;0;2;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;4;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;4;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;4;2;0;2;0;2;0;0;0;0;2
president;0;0;0;2;2;4;0;0;0;4;0;2;0;0;0;4;4;2;0;2;0;0;2;0;2;2;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;4;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;2;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;2
great;0;0;0;0;0;0;2;2;0;0;0;4;2;6;2;0;0;0;0;2;0;0;0;2;0;2;2;2;2;0;0;2;0;0;2;2;2;0;2;0;2;2;0;0;0;0;4;0;4;0;0;0;0;0;2;0;2;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;2;2;2;0;4;0;2;0;0;0;0;0;0;2
new;0;0;0;0;0;2;2;0;0;4;0;4;2;0;0;0;0;0;0;0;0;4;0;0;0;8;0;2;0;2;0;0;0;0;2;0;0;2;2;4;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0
obama;0;0;0;0;0;0;12;2;0;2;0;0;2;0;0;0;2;0;0;0;0;2;6;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;2
administration;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;2;0;0;2;4;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;4;2;0;0;0;0;2;2;2
house;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;2;2;4;2;0;0;2;0;8;0;0;4;0;2;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;2;0;2;0;2;2;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;2;2;2
2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
former;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;2;0;0;4;0;0;0;2;0;2;0;2;4;0;0;0;0;2;0;0;2;0;2;2;0;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;2;4;0;4;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;2;0;0;2;2;2;0;0;2;0;2;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;4
