;republicans;president;carolina;south;american;trump;police;democrats;primary;senate;vote;republican;speaking;support;democratic;house;committee;economy;states;national;work;members;administration;reform;afghanistan;senator;economic;party;decision;radical;forward;news;@senjudiciary;doubt;russia;ive;media;asylum;received;programs;polls;shut;intelligence;help;policing;investigation;country;votes;judges;regarding;tune;force;great;still;@joebiden;effort;hard;united;troops;military;federal;fox;departments;hurricane;@realdonaldtrump;reports;thank;november;@nytimes;graham;proud;use;try;protect;generations;nation;immigration;comes;@seanhannity;crossfire;judiciary;congress;throughout;understand;new;qualified;across;dc;power;#teamgraham;america;sc;legal;honored;justice;state;best;debate;working;process
republicans;0;2;8;8;0;2;4;12;6;6;4;6;0;4;2;6;0;0;0;0;4;0;0;4;0;2;0;2;0;0;2;2;2;2;0;0;2;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;4
president;0;0;0;0;4;12;0;2;0;4;0;0;0;2;0;0;2;4;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;2;0;0;4;4;0;0;2;0;4;2;0;0;0;0;2;0;0;0;4;0;4;0;0;0;6;0;0;0;2;0;2;0;2;2;4;0;2;0;0;0;2;0;2;2;2;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0
carolina;0;0;0;26;0;0;0;2;6;2;6;4;0;6;4;0;0;0;2;2;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;4;2;0;0;2;4;4;0;2;0;0;2;2;0;0;0;0;0;0;6;4;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;4;2;2;6;0;2;0;4;0;2;0;0;2;0
south;0;0;0;0;0;0;0;2;6;2;6;4;0;6;4;0;0;0;2;2;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;4;2;0;0;2;4;4;0;2;0;0;2;2;0;0;0;0;0;0;6;4;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;4;2;2;6;0;2;0;4;0;2;0;0;2;0
american;0;0;0;0;0;4;2;0;0;2;2;0;0;0;0;0;2;4;2;2;4;0;0;2;2;0;4;2;0;2;0;0;0;0;2;0;2;0;2;4;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;2;2;0;2;0;2;0;2;2;0;0;0;0;2;2;0;0;2;0;4;2;0;0;2;2;2;2;2;4;0;0;2;0;2;0;4;0;0;0;2;0;0;0
trump;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;4;2;2;2;0;6;0;2;0;0;0;0;2;0;2;0;2;2;0;0;2;2;2;0;0;2;2;0;0;2;0;4;2;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;4;0;0;0;0;2;0;2;0;4;0;2;0;0;0;2;2;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2
police;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;6;0;0;0;0;2;0;0;8;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2;4;2;0;0;0;0;8;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;6;4;0;2
democrats;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;4;0;0;0;0;4;0;0;4;0;0;0;2;0;0;4;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;4
primary;0;0;0;0;0;0;0;0;0;6;4;10;0;8;4;4;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0;0;6;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;6;0;2;0;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;4;10;0;4;2;6;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;2;2;4;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2
vote;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;4;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;0;0;0;0;2;0;2;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;6;0;0;4;0;2;0;4;0;2;0;2;2;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;2;0;0;0;0;6;0;2;2;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0
speaking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;8;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0
democratic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;6;0;0;2;2;0;2;0;0;2;0;2;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;2;4;0;0;4;0;2;0;0;0;0;4;2;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;4;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0
