kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
antisemitism,3,wont,4,23,4,subsidy,5,commons,4,hong,4,working,18,ensure,10,honour,10,working,18
lets,3,deserve,4,prevent,4,transparency,5,remember,4,nothing,3,response,18,home,10,may,10,response,18
deficit,3,called,4,distancing,4,stand,5,wishes,4,communities,3,jobs,18,protect,10,communist,10,jobs,18
passing,3,prime,4,pandemic,4,cost,5,men,4,oversight,3,happy,18,future,10,results,10,happy,18
hard,3,wasteful,4,priority,4,struggling,5,freedom,4,conservative,3,govt,18,action,10,times,10,govt,18
regime,3,qp,4,situation,4,weeks,5,failures,4,committed,3,heritage,18,world,10,forward,10,heritage,18
orthodox,3,shut,4,raise,4,proposed,5,still,4,minister,3,life,17,difficult,9,lives,10,life,17
57,3,happy,4,ottawa,4,house,5,hes,4,pay,3,celebrate,17,national,9,role,10,celebrate,17
issue,3,alberta,4,affected,4,supplies,5,crash,4,serve,3,fight,17,needs,9,cost,9,fight,17
lunar,3,dollars,4,hard,4,christians,5,farmers,4,generous,3,law,17,remember,9,transparency,9,law,17
fiscal,3,communities,4,deficits,4,essential,5,role,4,issues,3,hard,17,community,9,plan,9,hard,17
church,3,breaking,4,stop,4,deliver,5,instead,4,flexible,3,home,17,law,9,falling,9,home,17
receive,3,canola,3,powers,4,country,5,allowed,3,local,3,measures,17,built,9,week,9,measures,17
flight,3,talked,3,special,4,friends,4,solutions,3,people,3,party,16,outrageous,8,essential,9,party,16
atrocity,3,meet,3,keeping,4,commons,4,democratic,3,12,3,lives,16,projects,8,put,9,lives,16
holocaust,3,days,3,women,4,sector,4,entire,3,principles,3,statement,16,legislation,8,women,9,statement,16
yesterday,3,governments,3,opposition,4,democratic,4,questioning,3,times,3,marks,16,lost,8,debate,9,marks,16
red,3,spiraling,3,safety,4,react,4,concerns,3,coptic,3,week,16,minister,8,service,8,week,16
responsibility,3,take,3,bare,4,access,4,voice,3,provide,3,difficult,15,new,8,enough,8,difficult,15
attack,3,wetsuweten,3,blockades,4,honour,4,happy,3,new,3,action,15,recession,8,hes,8,action,15
debt,3,fighting,3,medical,4,prayers,4,hold,3,difficult,3,programs,15,deficits,8,farmers,8,programs,15
marks,3,celebrating,3,questions,4,slow,4,criminals,3,million,3,focused,15,friends,8,mps,8,focused,15
focus,3,failed,3,clear,4,borders,4,may,3,best,3,women,15,celebrating,8,program,8,women,15
build,3,outrageous,3,govt,4,accountability,4,economy,3,inaction,3,needs,15,vulnerable,8,cant,8,needs,15
everyday,3,disgusting,3,explain,3,instead,4,dangerous,3,plan,3,forward,15,struggling,8,commons,8,forward,15
#qp,3,court,3,yesterday,3,coming,4,opposition,3,instead,3,mps,15,putting,8,chinese,8,mps,15
becoming,3,paying,3,national,3,jobs,4,medical,3,6,3,opposition,15,governments,8,democratic,8,opposition,15
four,3,political,3,ready,3,china,4,brave,3,general,3,legislation,15,hurting,8,cerb,8,legislation,15
