;trump;united;states;man;president;people;american;house;love;new;national;government;great;big;federal;north;supporters;end;washington;news;history;strong;congress;obama;city;place;massive;country;party;police;administration;military;post;york;support;security;billion;job;humanitarian;used;12;election;released;show;white;south;japan;says;incredible;needs;campaign;russian;head;provide;provided;los;could;death;friend;next;thank;press;information;spent;article;employees;2016;border;money;taking;considering;hard;funding;announce;association;race;comes;americans;month;jobs;take;democrats;closely;win;died;senator;young;disease;policy;live;intelligence;work;problem;whether;killed;@foxnews;state;thing;complete;shooting
trump;0;6;6;0;10;2;0;0;0;4;0;0;0;2;2;0;4;0;2;0;2;0;0;4;0;0;4;0;2;0;8;2;4;2;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0
united;0;0;26;0;8;0;6;0;2;2;0;4;0;2;2;4;2;0;0;0;2;0;2;4;0;0;2;2;2;0;2;4;0;0;4;0;2;0;2;0;2;2;2;2;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;2;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
states;0;0;0;0;8;0;6;0;2;2;0;2;0;2;2;4;2;0;0;0;0;0;2;2;0;0;2;2;2;0;2;4;0;0;4;0;2;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;2;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
man;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;6;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;4;0;2;0;2;4
president;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0
people;0;0;0;0;0;0;4;2;2;0;2;0;2;0;0;0;6;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;6;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;2;0;0;0;0;2;0;0
american;0;0;0;0;0;0;0;2;0;4;2;0;4;0;0;2;0;0;0;0;2;2;4;0;2;0;2;2;0;0;0;2;0;2;4;0;2;2;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
house;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;2;0;2;2;0;0;0;2;2;0;0;0;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;4;2;2;0;0;0;0;0;2;2;2;8;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
