;illinois;state;de;work;care;people;health;en;working;federal;new;que;across;home;year;take;help;families;public;para;government;la;community;virus;students;administration;covid19;million;nation;workers;los;states;stay;businesses;continue;together;proud;children;communities;el;residents;testing;opportunity;las;illinoisans;best;access;thank;medical;clear;able;education;budget;crisis;#covid19;capacity;schools;program;statewide;possible;order;cases;lives;response;local;support;college;una;school;additional;spread;everyone;justice;forward;system;business;social;fight;put;next;place;officials;general;food;future;dedicated;please;@realdonaldtrump;past;es;family;still;ensure;taking;por;serve;millions;chicago;office;services
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;0;0;0;0;0;4;0;4;0;4;2;4;0;4;0;0;0;0;2;0;0;2;2;4;4;0;0;4;0;0;0;2;0;2;2;0;2;0;4;2;0;2;2;2;2;4;2;0;0;4;0;0;0;0;0;0;0;0;2;0;2
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;2;0;6;0;2;0;4;2;0;0;0;2;4;0;2;0;0;0;2;0;2;4;18;2;8;2;0;0;0;0;2;2;0;6;0;0;2;2;2;2;4;2;2;2;4;2;0;0;10;0;2;0;2;0;2;0;0;0;4;2;0;2
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;0;0;2;8;4;2;0;2;0;2;4;12;0;0;0;0;2;4;0;0;0;12;2;0;0;0;0;0;0;0;2;2;0;2;4;0;0;2;0;4;0;0;0;0;4;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;4;0;2;2;0;0;2;4;2;0;0;2;0;0;0;0;2;2;2;2;2;0;0;0;2;4;0;2;2;0;2;0;0;2;0;8;0;0;0;4;2;0;0;2;4;4;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;2;0;0;0;0;0;4;0;2;0;2;2;0;2;0;0;0;4;2;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;4;0;2;0;4;4;0;4;4;0;2;2;0;2;0;2;0;2;2;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;8;2;0;2;0;0;6;0;0;0;0;0;0;0;2;2;0;4;2;0;0;2;0;4;0;0;4;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;4;4;0;2;2
children;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;4;6;4;4;4;0;0;2;2;0;2;2;6;4;4;2;2;0;2;0;0;4;4;0;6;0;0;2;0;0;0;0;0;0;2;0;2;0;0;8;2;0;0;0;0;0;2;0;2;2;0;6;0;0;2;2
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;10;0;2;4;6;2;0;0;0;4;0;0;4;0;0;2;0;2;0;2;2;0;2;4;2;0;0;6;6;2;0;0;0;0;2;4;0;2;2;0;0;2;2;0;0;2;2;0;2;0;2;4;0;0;0;0;0;0
el;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;12;0;0;0;0;8;0;0;2;0;0
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;8;0;4;2;0;4;2;6;0;0;0;2;6;0;2;2;4;2;2;0;0;0;2;4;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;4;0;0;0;4;2;0;0;2;0;4;4
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;6;0;0;2;4;8;0;0;2;4;2;2;0;0;0;4;0;0;0;2;6;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;8;2;0;0;2;4;0;0
opportunity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;4;2;0;2;6;2;2;0;0;2;2;0;0;2;0;2;0;2;2;4;0;0;2;2;0;4;2;0;0;0;4;0;2;0;0;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0
las;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;12;0;0;0;0;0
illinoisans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;2;4;0;0;2;2;2;0;2;4;2;2;2;0;0;2;0;4;0;0;2;0;0;2;0;4;0;0;2;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;4
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;2;8;0;0;0;0;2;0;0;2;2;6;6;0;2;0;0;0;2;2;6;0;0;0;0;0;0;0;2;0;0;0;6;0;0;6;0;2;0;0;0;2;2;0;0;0;0;0;0;0
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;4;6;0;0;0;0;2;0;2;2;2;0;0;0;2;2;2;0;2;0;0;6;0;0;0;0;4;2;2;0;0;0;0;6;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;10
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;4;2;0;0;2;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;2;2;0;0;4;6;2;0;0;2;0;0;0;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0;0;0;0;0;4;6
clear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;4;2;0;0;6;0;2;4;2;2;2;4;2;2;2;0;2;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2
able;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;4;2;0;0;0;2;0;0;2;2;4;0;0;4;4;2;2;0;0;2;2;0;0;0;0;2;0;2;0;2;4;0;4;0;0;0;2;2;2
education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;2;0;0;2;6;0;0;0;2;0;0;0;0;0;0;0
budget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;4;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;6;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;2;4;0;2;0;0;2;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;4;0;4;2;4;2;0;0;2;2;6;0;0;0;0;0;8;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;4;0;0;0;0;0;0;4;2;0;0;2;0;0;0;2;0;2;4;0;2;2;0;0;0;0;0;0;2;4;0;0;4;0;0;0;0
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;2;2;0;2;0;8;0;8;0;2;2;0;0;2;0;0;0;2;0;4;0;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0
program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;4;6;0;0;4;4;0;0;0;0;0;6;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
statewide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;2;2;0;2;2;2;0;0;0;0;0;0;0;4;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
possible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;4;0;4;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;8;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;2;0;4;8;0;0;2;0;4;2;6;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;8;12;0;0;2;0;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;2;0;2;0;2;0;0;0;2;0;0;4;2;0;0;0;2;2;0;2;0;2;0;0;2;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;2;2;0;0;0;4;0;2;6;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;4;0;2;0;4;0;0;0;0;2;6;2;6;2;2;0;0;2;0;4;2;2;2;0;2;0;0;2;0
