kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
great,17,great,18,president,21,great,19,trump,20,great,19,great,116
trump,17,president,17,trump,20,president,16,united,15,people,18,trump,106
president,14,states,17,great,20,people,16,people,12,united,17,president,102
new,12,united,16,house,10,house,16,states,12,states,12,united,88
states,12,trump,12,obama,8,new,15,great,11,president,12,states,84
people,11,people,11,states,7,trump,13,president,9,new,10,people,83
house,11,new,11,united,7,states,12,new,7,trump,10,new,77
united,10,news,10,american,7,white,11,federal,7,american,8,house,51
administration,9,million,9,new,7,united,10,national,7,news,8,american,46
story,8,media,9,strong,7,american,8,election,6,law,7,news,43
white,8,election,8,white,6,news,8,party,6,country,6,government,39
american,8,hill,8,killed,6,government,8,senate,6,trade,6,obama,36
democrats,6,government,8,police,6,share,7,american,6,department,6,white,36
economy,6,help,7,government,6,federal,7,former,6,obama,6,administration,35
history,6,world,7,says,6,may,7,china,6,number,6,republican,34
department,6,republican,7,nfl,6,country,7,may,6,republican,5,national,33
donald,6,obama,7,shot,6,administration,6,best,6,state,5,election,33
election,6,state,6,public,6,story,6,world,6,full,5,federal,32
campaign,6,working,6,democrats,5,obama,6,man,6,series,5,democrats,32
left,5,democrats,6,city,5,republican,6,working,5,government,5,state,31
2016,5,night,6,death,5,washington,6,intelligence,5,arrested,5,department,31
press,5,federal,6,republican,5,pay,5,administration,5,party,5,man,31
clinton,5,human,6,state,5,hillary,5,seen,5,committee,5,country,30
taking,5,2016,6,voted,5,national,5,attack,5,thank,5,party,30
military,5,russia,5,second,5,law,5,year,5,military,5,big,28
says,5,fake,5,work,5,party,5,terrorist,5,proud,5,world,28
big,4,hillary,5,administration,5,power,5,called,5,job,5,law,28
america,4,money,5,law,5,totally,5,country,5,clinton,5,media,27
government,4,could,5,job,5,wanted,5,team,5,part,5,senate,26
good,4,bill,5,man,5,department,5,republican,5,citizens,5,working,26
investigation,4,take,5,people,5,support,5,california,5,canada,4,york,25
service,4,party,5,watch,4,big,5,thank,5,good,4,thank,25
increase,4,campaign,5,media,4,justice,5,donald,5,nfl,4,committee,25
state,4,big,5,senator,4,court,4,government,5,hillary,4,hillary,25
secret,4,department,5,looking,4,man,4,republicans,4,support,4,donald,24
senate,4,economy,5,release,4,family,4,work,4,care,4,may,23
national,4,austin,4,big,4,2016,4,released,4,history,4,city,23
fbi,4,white,4,world,4,problem,4,article,4,announce,4,clinton,23
fact,4,feminists,4,minister,4,called,4,killed,4,thing,4,military,23
email,4,billion,4,national,4,women,4,campaign,4,presidential,4,campaign,23
moore,4,fbi,4,usa,4,committee,4,could,4,largest,4,congress,22
voted,4,spending,4,next,4,announce,4,lakers,4,man,4,nfl,22
former,4,house,4,china,4,congress,4,women,4,list,4,million,22
