;dc;district;live;visit;coronavirus;covid19;districts;residents;learn;new;home;join;community;housing;help;march;#dcstatehood;stay;captions;#fairshot;positive;support;todays;thank;public;health;stream;2;budget;delivery;information;continue;across;2020;washingtonians;program;event;#saferstrongerdc;4;work;response;family;together;city;#unitythroughcommunity;black;1;#blackhistorydc;offering;#fitdc;3;engagement;affordable;call;update;cases;year;bringing;history;#dcproud;students;data;ward;ensure;spread;federal;dcs;government;weeks;week;case;services;people;working;columbia;share;safe;providing;watch;workouts;emergency;take;highlight;st;includes;celebrate;please;free;director;ready;programs;resources;local;10;#36000by2025;state;families;events;monday;6
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;2;4;0;2;8;0;4;6;0;12;2;0;4;6;0;0;0;0;0;2;0;8;2;0;0;0;2;2;0;4;2;0;2;2;0;2;2;2;0;4;0;0;2;10;2;2;6;0;0;0;6;6;0;0;0;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;8;0;0;2;4;0;4;0;4;14;6;8;2;2;4;0;2;14;6;8;6;0;0;4;0;0;0;2;0;0;0;12;0;6;0;0;2;6;2;2;6;0;0;2;4;4;0;2;0;2;2;0;0;14;0;2;0;0;0;2;2;4;0;2;2;4;2;0;4;0;0;4;2
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;4;4;8;4;2;2;0;0;6;2;2;4;2;0;0;0;4;0;2;0;4;0;8;6;0;0;0;0;0;2;0;2;0;4;6;6;0;4;0;0;2;2;6;4;2;0;0;0;2;0;16;2;0;0;0;0;0;2;0;0;2;0;4;0;0;6;0;2;0;0
stream;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;14;0;0;0;0;0;0;0;0;14;2;0;0;0;44;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;32;18;14;0;0;0;0;0;0;8;0;0;8;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;4;2;0;8;0;0;2;6;4;4;0;2;0;0;6;0;4;0;2;0;2;0;0;0;0;0;0;2;6;0;2;2;2;4;8;6;0;2;0;6;10;0;0;0;0;2;2;0;4;4;4;2;2;2;0;0;4;0;0;4;4;4;0;0;4;0;4;0
budget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;4;46;0;0;0;0;0;0;0;2;2;0;6;2;0;0;0;0;4;4;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0
delivery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;0;0;0;2;0;8;0;0;2;0;0;4;0;36;0;8;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;8;0;0;2;6;8;0;0;0;0;18;10;0;0;2;0;0;6
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;14;2;14;2;4;0;0;0;0;0;0;0;2;2;2;2;0;18;0;16;0;0;2;16;0;0;8;0;0;0;2;0;18;0;0;0;2;8;4;2;0;0;4;4;0;0;16;0;8;2;0;0;2;6;2;0;0;2;0;0;4;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;2;2;2;10;10;0;6;2;0;0;0;0;2;0;6;2;8;2;2;0;0;2;0;4;2;0;2;8;8;2;0;10;4;0;0;8;2;6;2;0;4;0;0;0;0;0;8;0;0;2;8;0;0;0;0;4;10;0;0;2;4;0;4;4
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;0;2;2;10;0;10;2;4;0;0;4;8;0;0;2;0;8;0;0;2;6;2;2;4;2;0;2;4;0;2;2;2;8;0;0;0;0;12;2;0;4;0;0;0;0;2;6;0;0;6;0;2;4;2;0;0;0;2;2;0;8;0;0;2
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;2;6;2;2;2;4;6;2;4;4;2;2;2;2;2;2;2;0;0;6;2;0;0;2;2;12;2;0;4;0;2;2;2;0;0;0;2;6;0;0;0;0;0;4;2;0;0;0;2;0;4;0;2;2;0;0;0;0;2;0;0;2;2
