;missouri;state;covid19;#missourisots;county;health;great;working;continue;new;workforce;missourians;people;work;president;public;thank;st;missouris;governor;response;program;million;local;proud;help;members;community;across;citizens;#missouriproud;visit;year;development;2020;positive;infrastructure;city;states;director;team;louis;@healthylivingmo;emergency;protect;school;meet;administration;support;care;communities;leadership;business;together;morning;governors;1;regarding;order;leaders;students;provide;press;best;tested;businesses;food;capitol;home;information;federal;social;mike;office;another;efforts;call;agriculture;disaster;week;military;part;parson;safe;facebook;nation;resources;take;march;hard;family;thanks;#missouriforward;important;children;@realdonaldtrump;forward;honored;executive;good
missouri;0;112;110;28;32;32;54;32;30;20;8;18;40;28;20;26;16;24;22;30;20;22;20;24;30;28;34;22;18;22;22;32;16;8;20;22;10;18;30;10;22;20;18;10;16;10;18;22;14;10;8;20;28;10;12;22;14;30;20;10;10;6;14;22;18;28;2;20;20;26;14;6;8;14;8;14;14;10;24;8;20;16;12;12;6;18;24;16;16;12;2;22;16;6;12;10;16;10;16;10
state;0;0;50;32;32;22;34;28;24;12;18;22;26;20;16;24;12;16;22;20;32;6;16;26;26;20;26;20;36;18;16;0;18;10;14;16;12;28;10;10;24;10;2;18;12;6;14;12;8;6;8;12;6;14;18;8;12;2;6;16;8;12;6;10;4;0;6;22;16;0;20;6;10;8;2;10;8;2;4;10;6;8;10;10;16;12;2;4;10;12;2;4;2;0;6;8;8;10;6;2
covid19;0;0;0;0;44;22;4;20;24;8;2;32;28;10;8;24;12;10;28;28;52;4;4;28;0;22;6;6;18;24;2;26;0;0;4;44;0;10;14;10;2;10;26;34;8;4;4;4;12;8;12;2;0;10;4;2;20;48;22;8;2;12;28;6;26;16;4;0;2;26;8;8;20;2;2;14;14;0;12;8;0;4;22;16;18;10;28;6;28;2;8;2;0;10;0;6;2;0;14;2
#missourisots;0;0;0;0;0;6;0;16;4;12;24;4;8;8;0;2;6;8;0;2;0;8;14;0;6;8;6;10;0;2;0;0;12;14;0;4;16;4;10;0;0;8;0;2;2;8;0;6;4;0;12;6;2;12;0;0;2;0;0;2;4;2;2;4;0;0;0;0;2;0;8;0;0;2;12;8;8;0;2;2;6;8;0;4;4;6;4;4;0;4;2;2;0;4;4;0;0;0;0;0
county;0;0;0;0;0;4;10;4;0;0;0;8;18;2;0;2;6;20;10;4;8;0;2;10;4;2;2;4;14;0;6;8;0;0;6;26;0;12;0;0;2;20;0;10;2;2;6;0;4;0;4;6;0;6;6;2;18;0;0;10;0;0;2;0;16;0;0;2;0;0;0;0;4;6;2;0;4;0;0;0;2;0;4;6;4;0;0;0;16;2;4;0;2;4;0;0;0;0;6;0
health;0;0;0;0;0;0;0;14;18;6;2;24;10;10;4;30;4;0;10;0;4;2;4;18;2;12;6;6;0;18;0;6;2;4;0;2;0;2;8;2;6;0;16;8;30;4;0;4;2;18;6;2;0;6;0;0;0;2;2;6;4;12;2;2;2;0;4;0;4;8;10;0;0;0;0;4;0;6;4;0;0;0;0;2;0;2;12;8;0;6;0;2;0;4;2;2;4;0;2;0
great;0;0;0;0;0;0;0;8;4;18;10;2;6;4;10;6;8;10;4;4;0;2;6;0;12;6;18;12;0;0;18;14;4;6;12;0;2;6;4;2;16;6;0;0;0;8;24;0;2;0;0;12;4;2;10;16;2;0;0;10;6;2;0;6;0;2;0;8;8;0;0;2;0;14;4;6;0;2;0;2;2;2;0;0;0;0;0;6;0;2;4;2;6;2;4;0;4;0;0;4
working;0;0;0;0;0;0;0;0;16;4;18;12;6;0;4;14;8;6;4;0;8;2;2;6;4;8;6;2;8;6;2;2;6;6;4;0;6;2;8;2;10;6;10;6;8;6;2;10;2;12;8;6;6;16;4;2;0;0;2;2;6;2;0;6;0;2;4;0;2;2;4;0;0;0;2;8;2;6;0;2;8;4;0;4;0;8;4;6;0;16;0;4;6;6;4;0;4;0;0;0
continue;0;0;0;0;0;0;0;0;0;2;8;14;8;18;8;14;2;2;4;0;8;0;4;10;4;6;4;4;14;10;0;0;6;4;6;0;12;0;4;0;2;0;2;6;16;4;0;10;8;6;4;0;6;8;4;4;0;4;2;4;4;8;4;0;2;4;2;0;2;0;4;4;0;0;0;0;2;2;2;2;2;0;0;6;4;10;4;14;0;4;4;0;2;0;0;4;6;4;2;2
new;0;0;0;0;0;0;0;0;0;0;22;0;2;6;6;2;2;2;6;4;2;12;8;0;2;6;4;6;4;2;4;4;10;10;0;2;12;2;8;2;6;0;0;0;0;6;0;0;2;2;2;6;4;2;8;0;2;0;6;2;6;2;2;4;0;4;2;2;2;4;0;6;2;6;6;6;0;2;2;2;2;4;2;2;2;0;0;0;4;6;2;8;8;6;4;0;4;2;0;2
