;oregon;oregonians;covid19;health;state;safe;oregons;home;help;stay;care;public;new;work;together;thank;workers;people;communities;pandemic;please;crisis;lives;protect;working;local;continue;students;counties;face;take;change;across;access;spread;support;coronavirus;action;families;climate;healthy;phase;distancing;reopening;states;businesses;times;business;staying;social;resources;possible;proud;vote;may;voting;great;weekend;critical;community;everyone;risk;ensure;clear;save;2020;federal;best;making;reopen;hard;difficult;next;testing;life;mail;order;safety;learn;keeping;food;school;benefits;taking;science;remember;county;important;response;thanks;voter;black;country;share;oregonian;info;covering;press;safely;strong
oregon;0;66;58;78;36;54;20;38;32;22;22;18;22;28;32;26;20;28;34;18;26;24;14;16;18;22;22;12;18;4;16;18;26;12;12;14;16;16;30;16;22;14;8;20;20;8;10;6;12;8;12;8;18;8;12;18;18;12;18;6;16;18;18;6;8;8;16;10;8;14;14;10;6;14;10;14;12;16;12;16;8;6;8;12;20;6;6;10;6;14;10;8;18;8;6;8;0;8;14;20
oregonians;0;0;54;50;22;38;4;40;40;22;20;18;14;28;22;16;14;8;10;26;10;22;20;16;18;10;16;6;6;8;6;4;6;12;10;8;18;12;14;2;22;6;20;8;8;14;26;6;22;14;16;22;12;6;4;2;10;10;14;10;4;8;8;8;14;6;12;6;10;10;12;12;4;2;6;4;6;18;8;6;6;6;10;14;10;4;2;12;16;10;0;0;4;12;2;6;2;0;6;6
covid19;0;0;0;38;22;32;28;20;28;16;10;14;22;6;6;14;20;4;12;22;8;22;12;14;12;6;8;4;6;6;14;0;6;6;32;6;14;12;12;2;14;4;16;8;6;6;4;10;4;16;12;8;6;0;12;2;2;2;10;0;8;10;0;6;8;0;4;6;10;2;4;6;8;16;4;2;6;6;18;12;8;4;0;2;8;4;2;6;10;4;2;0;8;6;2;6;4;4;6;0
health;0;0;0;0;8;32;16;20;4;8;34;46;12;6;6;4;12;8;8;22;10;18;4;24;8;16;12;0;10;8;12;4;10;14;16;2;18;6;6;4;10;14;6;10;10;2;2;2;4;4;6;8;4;6;4;8;4;8;10;6;2;10;8;4;2;0;2;4;2;8;8;4;4;8;0;8;4;22;6;10;2;4;0;8;16;2;6;2;4;2;2;0;6;2;0;4;4;2;0;8
state;0;0;0;0;0;12;22;8;8;10;4;8;10;8;2;10;6;10;6;6;6;8;6;4;6;18;18;4;8;0;12;8;18;2;2;4;6;10;2;6;6;4;0;6;6;2;2;6;0;0;6;6;6;4;2;4;4;6;8;2;4;10;2;6;2;6;6;0;2;4;0;2;8;4;4;4;4;0;4;6;6;4;0;4;0;2;2;8;4;0;4;4;4;2;2;4;0;0;0;2
safe;0;0;0;0;0;0;16;20;20;14;6;20;2;4;2;6;14;4;12;4;10;8;10;6;8;12;8;6;18;8;4;0;6;4;6;4;4;2;6;0;30;10;6;10;6;4;6;0;12;4;8;2;2;6;4;8;4;4;14;2;6;6;6;2;6;0;6;4;0;6;4;2;0;6;2;8;4;4;4;18;6;6;0;4;12;0;2;4;10;8;2;2;4;6;4;0;4;4;2;22
oregons;0;0;0;0;0;0;0;12;4;10;14;6;12;12;10;16;16;2;18;6;2;6;0;6;8;6;10;16;2;2;6;6;8;2;4;6;4;2;4;6;6;4;4;2;4;6;4;2;2;4;8;0;8;6;8;0;6;0;6;0;2;10;4;2;0;10;2;8;2;4;2;2;10;4;4;6;4;2;2;4;8;2;0;0;2;2;0;2;2;2;4;2;0;4;0;4;0;2;2;2
home;0;0;0;0;0;0;0;0;6;40;12;6;14;10;6;10;8;8;6;4;20;6;22;10;2;14;6;2;6;10;6;4;12;0;6;8;6;0;0;2;6;8;16;12;2;4;4;2;30;10;0;8;2;4;6;6;10;18;0;8;8;8;0;8;16;4;0;6;6;4;10;4;0;0;4;2;8;2;4;6;0;2;0;4;4;4;0;4;2;10;0;0;6;2;2;0;4;0;4;4
help;0;0;0;0;0;0;0;0;0;12;4;6;6;0;8;6;2;18;8;6;6;6;4;6;10;0;4;8;4;2;2;2;2;0;4;4;2;2;4;2;8;0;6;4;2;4;12;8;2;6;2;2;6;0;4;0;8;0;8;0;2;0;2;0;2;0;2;4;2;4;8;2;0;6;0;2;4;2;4;4;2;6;0;2;0;2;0;2;6;0;0;2;0;2;2;8;4;0;4;2
stay;0;0;0;0;0;0;0;0;0;0;4;6;6;6;6;6;2;4;4;4;12;6;8;4;6;12;0;0;6;10;0;2;6;0;4;4;4;2;4;0;10;2;8;2;2;14;2;2;2;8;0;8;0;0;4;0;6;8;0;4;6;0;0;4;2;0;2;4;6;8;4;4;2;2;2;0;8;2;2;2;4;0;0;0;2;2;2;6;0;2;0;0;0;4;0;4;6;0;2;8
