;arizona;#covid19;health;thank;#returnstronger;public;guidance;state;support;arizonans;testing;continue;across;care;work;grateful;@azdhs;1;arizonas;businesses;@aznationalguard;continued;#aztestingblitz;safety;leaders;az;2;help;#aztogether;available;preregister;may;economy;continues;sites;protect;@arizona_dps;food;resources;details;new;local;kids;workers;medical;relief;families;safe;ensure;law;3;#thearizonaway;customers;working;efforts;@phoenixpolice;officers;enforcement;following;protecting;saturday;employees;women;forward;coronavirus;communities;discuss;4;@cdcgov;officials;@azcommerce;staff;fund;next;tests;week;antibody;proud;together;leadership;dollars;w;22;nation;tested;needs;individuals;men;resume;approach;call;throughout;tomorrow;supporting;operations;offer;responders;safely;business;provide
arizona;0;54;58;38;38;38;28;18;30;18;14;30;20;24;18;30;8;26;6;16;14;20;6;14;12;6;16;18;14;8;4;6;26;14;8;16;6;8;10;4;12;10;12;16;14;12;16;12;12;2;6;12;6;4;4;6;4;2;12;8;2;12;14;12;8;14;6;6;12;10;6;4;4;10;8;4;12;16;8;10;6;4;6;8;6;6;6;12;0;12;6;6;6;10;0;10;8;6;4;6
#covid19;0;0;32;24;22;14;12;22;18;24;24;16;22;12;10;8;28;12;12;10;2;18;32;6;6;10;4;18;16;18;26;10;6;8;20;6;0;0;4;12;4;4;4;14;2;8;6;4;4;0;4;12;2;4;14;0;0;0;4;4;8;2;0;0;6;10;10;8;2;6;2;0;4;4;8;0;10;8;2;2;2;2;2;2;12;2;2;0;2;4;4;6;12;6;2;4;8;4;2;0
health;0;0;0;26;40;66;46;12;8;18;8;20;10;18;18;16;8;14;16;24;0;16;4;24;18;6;2;8;4;8;4;6;26;6;4;16;0;2;2;2;10;4;4;8;6;2;4;8;8;0;0;2;12;6;8;0;0;0;18;14;2;6;4;14;0;4;4;0;12;18;0;8;0;8;2;6;6;2;10;2;2;8;2;2;4;4;6;4;8;12;6;0;0;2;4;2;8;14;6;2
thank;0;0;0;0;28;18;6;12;20;16;6;8;6;6;22;10;2;4;14;2;10;12;6;2;12;12;0;10;18;2;4;2;6;2;2;10;2;4;2;0;4;2;4;6;12;10;4;6;2;2;0;10;2;8;6;2;2;2;0;2;4;0;2;2;8;4;4;0;2;4;2;6;6;0;0;0;2;2;8;2;0;4;8;4;2;0;0;2;0;2;6;2;0;2;0;0;2;2;4;0
#returnstronger;0;0;0;0;0;30;26;6;16;18;0;16;10;0;22;12;4;8;8;16;2;14;0;4;8;10;2;10;8;4;0;0;18;2;0;10;0;2;2;0;6;6;0;2;4;8;2;8;4;0;0;2;10;2;8;0;0;0;10;0;0;6;0;8;8;2;14;0;6;8;8;6;4;4;0;4;0;2;4;0;0;0;2;2;0;2;2;0;0;2;4;0;0;2;2;0;0;6;2;0
public;0;0;0;0;0;0;34;10;0;12;2;24;10;2;18;12;4;16;14;16;4;12;0;12;14;8;4;6;2;2;0;2;24;6;0;14;4;2;2;2;4;4;2;4;2;2;2;4;10;4;0;0;4;0;8;4;2;2;14;10;0;2;2;12;0;2;4;0;6;20;0;2;0;6;0;4;0;0;8;4;4;6;4;2;0;6;2;2;6;12;6;0;0;2;2;2;2;14;4;2
guidance;0;0;0;0;0;0;0;6;2;8;4;12;12;2;12;2;10;10;10;26;0;12;0;14;6;2;6;2;0;4;0;6;16;6;0;6;0;0;0;2;2;0;0;0;0;0;0;4;4;0;4;0;14;0;4;0;0;0;20;6;0;6;0;6;2;0;6;6;18;12;2;2;0;4;0;4;0;0;0;0;0;4;0;0;0;2;6;0;12;8;6;2;0;0;6;0;0;2;6;0
state;0;0;0;0;0;0;0;0;10;10;18;8;34;4;6;4;18;2;4;4;8;4;20;4;14;0;4;2;2;14;22;8;4;6;18;6;14;0;4;12;0;10;0;2;2;2;2;4;4;10;6;2;4;12;0;8;4;8;0;0;8;2;4;0;0;4;2;4;0;2;0;4;0;4;0;6;2;4;2;2;2;4;0;0;6;6;2;4;2;2;4;4;4;0;4;4;6;0;4;8
support;0;0;0;0;0;0;0;0;0;14;2;6;4;4;18;10;0;4;4;4;10;12;0;4;0;12;0;10;14;2;0;0;0;4;2;0;2;6;6;0;6;2;2;4;8;10;6;4;2;2;0;10;0;4;4;0;2;2;0;0;0;0;6;0;12;8;4;2;0;0;4;0;8;0;0;0;2;6;2;2;6;2;4;6;0;2;6;4;0;0;2;2;0;0;0;6;6;0;0;0
arizonans;0;0;0;0;0;0;0;0;0;0;8;14;8;2;20;12;8;4;2;2;4;6;8;8;0;2;2;8;8;8;6;2;2;6;6;4;0;4;4;6;2;0;0;2;6;2;0;2;4;0;6;8;2;4;2;0;0;0;2;2;4;2;2;4;2;2;0;2;4;2;6;0;2;0;2;0;2;4;2;0;0;0;2;0;10;0;0;2;2;0;0;2;2;0;2;2;2;2;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;4;20;14;2;0;22;0;6;2;4;6;24;0;2;2;4;0;0;24;22;14;0;8;18;0;0;2;0;14;0;0;0;2;2;0;0;0;2;0;6;0;0;4;4;0;6;0;2;2;12;0;0;0;0;0;4;4;0;0;0;8;0;2;8;0;14;0;0;0;0;2;0;0;8;0;2;0;0;0;4;4;4;0;2;0;4;0;2;4
continue;0;0;0;0;0;0;0;0;0;0;0;0;4;6;12;12;4;8;2;10;4;6;0;6;8;8;4;12;2;2;0;0;4;4;0;8;2;2;4;2;4;4;8;6;4;4;8;4;10;2;4;0;2;0;2;2;4;2;4;0;0;0;0;6;4;2;8;0;6;6;2;0;4;0;2;2;2;2;2;0;4;0;4;0;0;2;2;0;2;4;6;6;0;4;2;6;2;4;2;2
across;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;26;2;2;8;2;0;24;2;8;0;0;4;2;18;26;12;6;10;24;2;4;0;2;18;0;2;2;2;0;0;2;8;4;2;2;2;8;4;2;2;2;2;4;0;12;6;4;0;0;2;0;2;2;2;0;2;2;4;0;2;0;4;0;2;4;4;0;0;8;0;0;2;2;0;4;0;8;0;4;2;2;0;4;2
