;ri;work;state;help;students;home;everyone;@rihealth;businesses;thank;rhode;care;ris;school;riers;please;live;families;coronavirus;new;people;support;business;continue;health;working;access;call;year;islanders;public;response;child;take;lets;watch;april;days;virus;proud;crisis;week;order;announced;information;providence;tomorrow;ive;services;hard;still;place;learning;service;teachers;community;schools;workers;hot;program;together;distance;facebook;local;announcing;job;@caredotcom;another;remind;spot;prek;critical;anyone;giving;travel;family;housing;check;free;tonight;high;employees;cant;education;weeks;difficult;starting;update;@realjobsri;means;important;number;phone;executive;press;@ri_dlt;weekend;announce;parents;federal
ri;0;10;14;14;10;10;8;8;10;4;0;16;6;10;4;0;10;2;4;8;4;2;8;4;10;6;8;2;10;0;10;4;8;4;4;2;6;6;2;6;6;2;6;8;2;4;6;10;4;4;4;6;4;2;2;4;4;8;0;6;0;4;2;2;8;2;6;4;4;0;6;2;4;4;6;0;6;0;0;4;4;6;10;0;4;0;2;2;0;0;6;10;0;4;0;2;4;8;2;2
work;0;0;14;4;18;14;2;4;6;16;2;0;6;10;6;2;6;10;0;6;4;2;8;12;2;4;4;2;4;2;2;0;2;4;4;0;4;0;0;6;2;4;2;0;0;12;4;2;0;8;0;4;8;2;12;4;8;4;0;8;2;6;0;2;2;6;0;4;2;0;2;4;2;0;0;4;2;0;0;0;6;4;2;0;0;0;4;2;4;4;4;0;0;0;0;0;0;0;4;0
state;0;0;0;4;2;12;2;4;0;4;12;6;4;0;2;4;10;4;0;0;6;0;4;2;4;4;6;0;4;10;4;0;4;4;4;4;6;2;0;4;2;2;4;4;2;2;0;2;2;2;4;0;0;4;2;4;2;8;4;0;0;0;0;0;2;4;2;4;0;4;0;4;0;4;2;0;0;2;2;4;0;2;2;4;0;0;2;0;0;0;0;0;4;4;0;2;2;4;2;4
help;0;0;0;0;6;2;2;2;10;4;4;10;2;4;8;6;0;0;0;4;2;10;8;2;4;2;6;8;4;2;2;2;6;2;2;0;0;0;2;2;4;0;0;6;8;2;2;4;2;2;0;2;2;0;0;2;0;4;2;6;2;2;0;2;2;2;4;2;2;2;2;0;0;2;2;0;0;2;4;0;2;0;2;2;0;0;2;0;2;0;0;2;0;0;0;2;0;10;0;4
students;0;0;0;0;0;4;0;4;0;12;0;0;4;16;0;4;0;10;0;2;0;4;0;12;0;6;4;2;2;0;2;0;0;6;2;0;6;0;2;0;0;8;0;4;0;6;2;0;0;6;0;4;14;4;18;4;8;0;8;4;0;14;0;0;4;0;0;0;2;6;0;2;0;0;2;0;0;0;2;2;4;0;0;2;2;2;0;2;0;0;4;0;0;0;2;0;0;0;4;0
home;0;0;0;0;0;0;2;4;2;2;0;4;2;4;4;10;8;6;0;0;4;2;4;2;2;4;6;2;0;0;6;0;0;8;2;0;4;0;0;2;2;0;2;2;0;0;2;2;0;4;0;4;4;4;0;0;4;2;2;2;0;2;0;0;0;2;0;6;0;2;2;4;6;0;0;6;0;2;0;0;0;6;4;4;4;0;2;0;0;4;2;0;2;0;0;0;0;0;2;0
everyone;0;0;0;0;0;0;0;4;4;10;4;0;2;0;2;10;2;4;4;0;10;4;6;6;2;2;2;6;2;2;0;0;0;2;2;0;4;0;4;2;0;4;2;2;6;0;2;2;2;2;4;6;0;2;0;0;0;0;4;0;4;2;0;4;0;0;0;2;12;2;0;0;0;2;0;4;0;0;2;2;0;0;2;0;0;2;0;0;0;4;2;0;4;0;2;0;2;0;0;0
@rihealth;0;0;0;0;0;0;0;0;0;2;0;0;14;2;0;4;28;0;18;6;4;2;4;2;0;0;0;2;0;0;0;16;0;2;0;20;2;0;0;0;0;2;2;0;2;0;0;2;0;0;2;2;0;2;0;0;0;2;0;2;0;0;14;6;4;0;0;4;0;0;0;0;0;4;4;0;0;0;2;0;0;2;0;0;0;0;0;12;0;0;0;0;2;2;16;2;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;4;0;0;0;2;2;6;10;4;0;0;2;6;0;0;0;0;0;4;6;0;0;0;2;4;0;0;2;0;0;0;4;0;4;2;0;0;0;0;0;2;0;2;0;4;0;0;0;6;0;0;0;0;2;2;0;0;0;2;0;0;0;4;0;2;0;6;4;0;0;2;2;0;4;2;0;2;0;0;0;2;0;4;0;2
thank;0;0;0;0;0;0;0;0;0;0;2;2;4;8;4;12;0;8;0;2;0;4;2;12;2;8;2;2;2;0;2;0;0;2;0;0;2;0;0;4;0;4;0;0;0;6;0;2;4;4;2;0;6;0;8;8;6;0;6;0;2;6;0;4;2;2;0;0;2;4;0;2;2;0;0;2;0;0;4;0;4;0;2;2;0;0;0;2;0;0;6;0;2;0;0;0;2;0;6;0
