;president;people;great;trump;obama;states;united;national;government;federal;new;senate;court;republican;act;russia;administration;world;former;washington;democrats;working;white;post;foreign;state;thank;supreme;released;campaign;american;house;massive;protect;statement;school;@;barack;gov;bad;big;bring;bill;fbi;canada;senator;power;number;russian;country;season;team;news;sign;biggest;thousands;sexual;presidential;fiscal;reserve;donald;democratic;attack;security;official;series;investigated;flash;free;chairman;military;article;ancient;several;language;december;2016;dead;spending;executive;nfl;quest;could;major;good;possible;issues;nand;nation;worst;closely;memory;justice;following;ban;announced;3d;media;left;order
president;0;2;6;18;8;4;4;0;2;4;2;6;4;6;0;4;2;2;6;6;4;2;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;4;4;2;2;2;4;4;0;0;0;2;2;0;0;0;2;4;2;2;0;2;0;2;4;0;0;0;2;0;2;0;2;2;0;2;0;2;0;0;2;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;2;0;4;4;0;2;0;2
people;0;0;6;2;4;6;6;2;0;0;2;4;2;2;0;0;6;0;0;2;0;2;0;0;0;4;6;2;0;0;6;0;6;2;0;2;0;0;0;4;2;0;0;0;0;4;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;0;0;0;0;0;0;0
great;0;0;0;2;6;6;6;0;0;0;4;4;2;6;0;0;4;0;0;0;2;2;0;0;0;4;4;2;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;4;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;2
trump;0;0;0;0;4;2;2;2;0;2;2;2;0;4;0;8;2;2;2;4;0;2;0;4;0;2;0;0;0;6;0;0;2;0;0;0;0;2;0;0;4;0;2;6;0;0;0;2;2;0;0;0;2;4;0;0;0;2;0;2;4;0;0;0;0;0;4;0;2;2;0;0;0;2;0;0;4;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;4;0;4;0;2
obama;0;0;0;0;0;0;0;4;0;0;2;4;0;2;0;2;6;2;2;0;4;0;0;0;0;2;2;0;0;0;2;0;0;4;0;0;0;6;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;2;2
states;0;0;0;0;0;0;18;4;4;6;2;4;4;0;2;0;2;0;2;0;0;2;0;2;2;2;2;2;0;0;2;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;0;4;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0
united;0;0;0;0;0;0;0;2;2;2;2;4;6;0;0;0;2;0;2;0;0;0;0;2;2;2;2;4;0;2;2;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;4;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;2;4;2;2;2;2;4;0;2;0;2;0;2;2;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;2;6;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;4;2;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2
