kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
oh,17,thank,13,thank,30,oh,15,love,25,love,21,love,94
love,14,wow,13,donald,26,donald,13,#iloveeverything,21,watch,13,oh,82
cant,11,new,12,oh,21,love,10,thank,12,#illbegoneinthedark,13,thank,81
@meredthsalenger,11,cant,10,god,19,god,10,special,11,oh,12,donald,56
god,11,yes,10,good,17,watch,9,fun,10,thank,11,cant,50
saturday,9,love,10,great,16,cant,8,new,10,everyone,10,god,49
tickets,9,show,9,@meredthsalenger,15,man,8,oh,8,man,9,new,44
wait,8,film,9,love,14,thank,8,great,7,wow,8,man,44
show,8,ive,9,man,10,good,7,donald,7,happy,8,good,44
thank,7,oh,9,please,10,film,7,thanks,6,cant,7,@meredthsalenger,42
good,7,tickets,8,everyone,9,2,7,cant,6,hope,7,watch,40
new,7,wait,8,watch,9,yes,7,shit,6,fun,7,yes,40
@sfsketchfest,6,#demdebate,8,gonna,9,shit,7,@netflix,6,yes,7,wow,38
president,6,shit,7,@bettercallsaul,9,@netflix,7,little,6,donald,7,great,36
poster,6,saturday,7,alice,9,seen,6,may,5,fuck,6,everyone,33
brilliant,6,left,7,hes,8,new,6,show,5,good,6,show,33
amazing,6,man,7,wow,8,brilliant,6,next,5,think,6,fun,32
wow,5,hey,6,people,8,movie,6,days,5,show,5,film,31
grab,5,holy,6,thread,8,people,6,@meredthsalenger,5,sorry,5,wait,30
click,5,watch,6,cant,8,help,6,man,5,beautiful,5,shit,30
thread,5,gonna,6,movie,8,still,5,yes,5,please,5,hope,27
holy,5,guys,5,@rheaseehorn,8,guys,5,@newbeverly,5,king,5,movie,27
shit,5,trump,5,twitter,7,end,5,holy,5,@jdscholten,5,gonna,27
movie,5,dude,5,new,7,hope,5,tune,4,thread,5,amazing,26
journey,5,grab,5,trump,7,ive,5,richard,4,gonna,5,best,26
man,5,best,5,still,7,best,5,amazing,4,help,5,people,25
best,5,poster,5,thanks,7,@meredthsalenger,5,#25thamendmentnow,4,wait,5,thread,25
night,4,little,5,amazing,7,great,5,someone,4,god,5,please,25
#modok,4,fun,5,yes,7,special,5,hope,4,guy,5,guys,24
happy,4,@borgataac,5,@richardmarx,7,think,4,listen,4,gotta,4,still,24
lev,4,tomorrow,5,story,6,safe,4,ha,4,tune,4,holy,24
take,4,people,5,best,6,could,4,life,4,dumb,4,ive,23
goes,4,think,5,aw,6,big,4,miss,4,white,4,special,23
wallace,4,beautiful,5,hope,6,fuck,4,told,4,#poorpeoplescampaign,4,#iloveeverything,22
trump,4,casino,5,song,6,needs,4,conversation,4,goes,4,think,22
dude,4,hope,4,1,5,shes,4,fuck,4,film,4,thanks,21
yes,4,tom,4,film,5,wait,4,saw,4,speech,4,happy,21
away,4,special,4,take,5,guy,4,coming,4,take,4,little,20
@castro_theatre,4,okay,4,show,5,april,4,heh,3,ive,4,hes,20
35th,4,put,4,free,5,bid,4,talk,3,die,4,dude,20
hell,4,ya,4,fun,5,holy,4,early,3,@lizgarbus,4,brilliant,20
natty,4,theres,4,theres,5,youve,4,everyone,3,amazing,4,@netflix,20
perfect,4,scream,4,lets,5,gotta,4,comedy,3,guys,4,trump,20
anniversary,4,thing,4,mean,5,everyone,4,captured,3,gets,4,saturday,20
film,4,#sotu,4,bad,5,thanks,4,gone,3,hate,4,thing,19
gann,4,steyer,4,check,5,die,4,safe,3,genius,4,fuck,19
guys,4,check,4,pandemic,5,lets,4,best,3,listen,4,help,19
little,4,jokes,4,covid19,5,may,4,lip,3,cough,4,mean,19
talk,4,name,4,thing,5,something,4,video,3,watches,4,alice,18
season,4,talk,4,evil,4,glad,4,issue,3,falling,3,hilarious,18
gonna,4,pic,4,@kanopy,4,insane,3,sync,3,steve,3,take,18
favorite,4,anyone,4,finally,4,amazing,3,world,3,episode,3,tickets,17
left,4,tweet,4,watching,4,work,3,19th,3,people,3,lets,17
great,4,gorgeous,4,end,4,yell,3,working,3,cornfeld,3,end,16
next,4,bernie,4,fucking,4,thing,3,theres,3,#ia04,3,tune,16
everyone,4,@nbcapbio,4,yeah,4,@comedycentral,3,give,3,june,3,seen,16
tomorrow,3,still,4,person,4,please,3,feel,3,give,3,theres,16
twitter,3,gets,4,asked,4,supposed,3,movie,3,pass,3,2,15
evidence,3,hilarious,4,give,4,workers,3,@fangoria,3,shit,3,president,15
caught,3,sound,4,wait,4,changed,3,funny,3,rally,3,listen,15
sell,3,@hilarieburton,4,something,4,alice,3,along,3,stuart,3,times,15
sunday,3,good,4,anyone,4,americans,3,still,3,friend,3,talk,14
someone,3,@netflix,4,hilarious,4,enough,3,god,3,probably,3,sorry,14
family,3,great,4,tune,4,tune,3,biden,3,reverend,3,give,14
end,3,@meredthsalenger,4,ha,4,struggling,3,happening,3,@theandyharris,3,comedy,14
soon,3,sent,4,president,4,youll,3,living,3,another,3,days,14
genius,3,life,4,big,4,absolute,3,cookie,3,@sarahcpr,3,twitter,14
ticket,3,bad,3,episode,4,gets,3,brilliant,3,needed,3,die,14
@celebtheatrephx,3,copy,3,help,4,1971,3,good,3,yeah,3,ha,14
@ridgerooms,3,lets,3,happy,4,4,3,mean,3,longer,3,hey,14
screening,3,seeing,3,home,4,cuz,3,guys,3,doctor,3,tomorrow,14
qampa,3,mom,3,think,4,hell,3,dude,3,thing,3,next,14
lived,3,reelected,3,shes,4,funny,3,surreal,2,saw,3,life,14
