;#covid19;arizona;#aztogether;thank;health;arizonans;care;state;support;businesses;help;professionals;medical;arizonas;work;working;1;testing;public;resources;workers;continue;discuss;stay;responders;grateful;@aznationalguard;home;protect;az;call;provide;across;information;#thearizonaway;safe;spread;@azcommerce;efforts;healthy;@uarizona;latest;relief;3;2;president;emergency;partners;access;safety;details;people;together;ensure;@azdhs;take;new;antibody;available;week;frontline;economy;slow;million;nation;program;#lightazblue;visit;fund;navajo;critical;kids;order;business;job;jobs;learn;lost;protection;@drcarachrist;#rip;hospitals;donation;paycheck;economic;students;communities;apply;coronavirus;assistance;additional;tests;thousand;families;@uarizonapres;personnel;connected;local;face;masks
#covid19;0;130;196;102;76;78;58;38;52;38;54;40;34;50;40;32;26;28;28;42;32;34;44;12;28;28;26;16;26;24;32;26;26;26;32;18;32;34;26;22;24;28;24;10;4;16;20;14;24;12;20;4;8;24;16;14;22;18;20;10;14;10;24;20;18;12;18;12;14;16;14;14;10;18;12;18;18;16;10;18;0;12;14;10;12;12;12;14;14;16;12;10;16;12;14;12;10;8;12;8
arizona;0;0;72;40;32;20;32;26;22;22;28;20;18;6;18;14;18;20;12;12;14;14;4;4;18;28;4;6;16;16;6;14;10;16;14;10;10;16;8;10;18;2;16;6;8;20;8;12;14;2;14;6;4;10;10;10;16;14;8;8;10;4;8;14;2;10;4;4;14;4;8;12;4;6;2;8;12;6;10;2;14;2;8;10;8;8;8;12;12;4;12;12;10;10;12;2;2;10;2;6
#aztogether;0;0;0;90;40;48;28;14;40;22;36;28;30;16;24;14;6;4;6;36;22;10;6;8;22;22;18;12;6;20;4;16;6;18;34;6;10;32;8;16;10;4;18;2;0;8;18;4;16;2;14;2;6;14;2;2;4;8;12;4;10;4;10;12;10;6;22;18;16;10;2;8;2;2;14;16;12;18;6;0;0;0;16;6;6;10;8;10;16;12;4;4;8;8;8;4;8;2;6;8
thank;0;0;0;0;18;28;18;10;28;2;12;22;20;16;28;14;10;2;4;6;14;4;14;8;12;16;16;8;4;22;6;14;4;0;22;8;6;0;8;12;4;2;16;0;0;4;8;6;2;4;4;0;8;4;0;2;4;2;4;4;4;6;6;8;8;0;16;0;16;10;2;0;0;4;0;0;0;0;0;2;0;0;16;0;2;2;6;0;16;2;2;2;6;4;2;4;8;2;6;8
health;0;0;0;0;0;28;78;14;18;10;14;32;6;10;8;22;18;14;30;8;18;16;2;0;20;8;6;2;18;4;2;14;4;10;10;4;10;2;6;0;18;0;6;4;8;8;14;14;8;12;6;0;4;2;10;4;6;16;2;6;2;2;4;8;2;6;6;2;4;2;2;0;6;2;0;0;0;0;6;2;0;8;6;6;8;0;2;4;4;0;4;12;10;0;14;4;0;0;2;6
arizonans;0;0;0;0;0;0;18;20;14;4;20;10;2;8;20;8;4;12;8;10;2;14;8;4;4;12;2;6;6;4;6;6;12;2;0;10;10;4;10;4;4;4;8;0;4;2;4;16;2;10;8;4;6;8;4;10;6;0;18;2;2;0;8;4;2;0;2;8;4;2;6;0;0;2;12;10;2;12;0;0;2;4;6;0;2;0;2;0;4;8;2;0;8;4;2;2;2;2;2;2
care;0;0;0;0;0;0;0;10;16;4;10;30;4;4;8;16;10;8;16;6;22;12;0;0;22;6;4;2;12;4;0;12;4;8;8;2;6;2;2;0;16;0;6;4;6;6;4;12;10;2;4;0;4;2;4;2;6;14;4;8;4;0;2;8;2;6;6;0;4;2;4;0;6;2;0;0;2;0;6;0;0;4;4;6;6;0;0;4;4;0;6;12;8;2;12;6;0;0;2;4
state;0;0;0;0;0;0;0;0;10;6;6;2;6;8;8;2;8;8;8;4;12;2;4;0;10;6;2;2;4;0;8;8;26;6;6;2;2;2;0;0;8;0;2;2;0;2;4;8;2;4;4;2;6;4;4;0;6;8;0;6;8;2;2;2;2;0;4;2;0;0;2;2;0;4;0;2;2;0;0;2;2;6;0;0;0;2;4;0;0;0;0;6;4;2;6;2;0;2;4;0
support;0;0;0;0;0;0;0;0;0;8;10;22;18;12;12;10;6;2;6;10;10;8;4;0;16;10;2;0;2;10;4;14;4;4;8;0;4;2;6;0;4;2;12;2;0;4;10;2;4;0;2;2;6;0;0;2;4;2;2;0;6;0;4;4;6;0;10;2;8;6;8;2;2;2;2;0;2;0;0;0;0;2;8;0;2;0;4;0;8;4;2;2;4;6;2;4;0;0;0;4
businesses;0;0;0;0;0;0;0;0;0;0;12;2;4;4;2;0;4;0;2;8;8;6;0;0;2;4;0;0;2;8;0;0;8;8;2;0;2;14;0;2;0;0;6;2;4;2;4;2;4;0;0;8;0;0;0;6;2;0;4;2;4;6;2;0;2;18;2;2;0;0;4;0;2;6;4;0;6;2;16;0;0;0;0;16;2;0;4;14;0;6;4;0;0;8;0;0;0;6;2;0
help;0;0;0;0;0;0;0;0;0;0;0;10;6;2;6;6;2;4;2;6;6;4;0;2;2;10;2;6;6;10;0;6;0;4;8;0;4;8;2;0;6;0;12;6;0;2;4;6;6;2;4;0;0;10;0;0;8;0;10;0;4;0;4;14;0;2;0;2;10;0;6;8;2;0;2;2;8;2;2;0;0;2;8;2;6;6;2;2;10;6;4;0;0;6;2;2;0;0;0;4
professionals;0;0;0;0;0;0;0;0;0;0;0;0;30;4;6;8;8;2;6;4;2;4;2;0;18;8;2;0;6;8;2;20;0;0;10;4;4;0;0;0;12;0;8;4;0;6;10;0;0;0;2;0;2;2;2;0;4;10;0;2;2;0;2;8;2;0;2;0;8;0;0;2;2;0;0;0;2;0;0;0;0;4;6;0;0;0;4;0;8;0;0;8;6;0;10;2;0;0;6;4
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;4;2;2;0;4;16;2;2;0;18;8;2;2;4;8;2;12;6;0;6;6;2;0;2;4;2;0;8;4;2;0;12;0;0;0;0;0;0;6;2;0;0;2;0;4;14;0;2;4;4;0;12;0;8;0;0;2;2;0;0;4;2;0;0;0;0;4;6;0;0;0;4;0;8;0;0;0;4;0;0;0;0;0;4;10
arizonas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;6;10;8;4;8;4;14;2;8;4;8;4;10;2;14;4;12;0;0;6;4;2;10;2;6;12;0;4;0;2;4;2;0;6;0;0;0;2;4;6;2;4;2;2;4;8;0;0;2;0;8;0;0;0;2;0;4;4;0;2;0;0;0;10;0;2;2;0;4;0;4;0;0;2;0;0;2;0;0;2;2;2;2;2
