;rhode;proud;phase;year;order;support;may;able;available;announce;islanders;everyone;reopening;crisis;health;information;communities;safe;place;give;hard;businesses;app;state;ris;faith;people;find;weeks;past;begin;announced;help;ri;week;face;grateful;reopen;economy;riers;plan;visit;emergency;live;families;1;new;heres;remember;covid19;ways;partnership;home;free;worship;allowing;students;service;call;color;needs;access;covering;forward;states;assistance;whether;virus;2020;services;mothers;public;still;thank;summer;data;feature;coronavirus;june;working;times;facebook;phone;outdoor;else;@savewithsummer;location;apply;four;groups;5;person;move;virtual;drivethrough;tomorrow;houses;payments;wear;learn
rhode;0;6;0;0;0;2;0;2;0;2;16;0;0;4;0;0;2;4;2;4;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;4;4;0;0;2;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
proud;0;0;0;2;2;4;4;2;2;14;4;0;0;4;2;0;2;0;0;0;2;2;2;2;4;2;2;0;0;2;2;0;0;6;2;0;2;4;2;2;0;0;2;0;0;0;4;0;0;2;0;2;0;2;0;0;2;2;0;2;2;0;0;2;4;4;0;2;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;0
phase;0;0;0;0;4;0;0;6;0;2;0;2;8;0;0;0;0;2;4;2;0;2;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0;4;6;2;2;0;0;0;0;6;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;4;0;2;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;4;4;2;0;6;0;0;0;0;0;0;0
year;0;0;0;0;2;0;4;2;0;2;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;4;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0
order;0;0;0;0;0;0;2;4;0;2;0;8;6;0;2;0;0;2;6;4;2;0;0;0;2;0;0;2;2;2;2;2;0;2;4;4;0;2;6;2;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;4;0;2;0;4;2;0;0;2;6;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0
support;0;0;0;0;0;0;0;2;4;2;0;0;0;4;0;2;2;0;0;0;2;0;0;0;2;2;0;4;0;6;0;0;6;2;0;0;6;0;0;2;0;2;0;0;4;0;2;2;2;0;2;2;0;2;0;0;2;0;6;0;2;4;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;4;0;2
may;0;0;0;0;0;0;0;4;2;2;0;2;2;0;2;2;0;0;0;0;0;2;0;0;4;4;2;0;0;0;4;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;4;0;0;0;0;2;4;2;0;2;0;0;2;2;0;0;2;0;2;2;2;2
able;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;0;2;2;2;0;0;0;2;0;0;0;4;0;4;4;0;2;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;2
available;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;6;0;2;2;2;0;2;0;0;0;0;0;2;2;0;2;2;4;0;0;0;0;0;0;0;0;4;6;0;0;0;0;4;0;4;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;4;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;4
announce;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;2;4;2;0;0;0;2;0;2;0;0;4;4;0;2;2;2;2;0;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;2;0;2;2;0;0;0;4;4;0;4;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0
