;great;trump;united;states;people;president;new;government;story;security;republican;working;russia;senator;best;american;moderation;house;hard;left;federal;country;national;request;loans;news;friend;trade;work;investigation;regime;take;supreme;point;money;year;friday;history;state;job;business;white;important;planning;campaign;city;least;backthe;fact;media;world;attacks;free;representative;four;economy;weekend;administration;former;congress;forward;usa;cia;board;biggest;recently;jobs;may;america;military;public;words;special;love;leadership;attack;china;support;manufacturing;press;court;group;homeland;election;injured;happy;report;team;announced;safety;james;payday;mike;looking;playing;amazing;thank;jersey;@foxnews;annual
great;0;2;0;0;4;4;0;0;0;0;0;0;0;2;2;4;2;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;4;2;4;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0
trump;0;0;2;2;4;12;2;2;2;6;2;4;6;0;0;0;0;4;2;0;0;0;6;0;0;2;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;4;0;2;8;0;0;0;4;2;0;0;0;0;0;0;0;2;4;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;0;0;2;4;0;0;2;0;2;2;0;0;0;0;0;0
united;0;0;0;24;0;6;2;4;0;6;0;4;0;2;0;0;0;4;2;0;0;4;4;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;4;4;0;2;0;0;0;0;0;2;4;2;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2
states;0;0;0;0;0;6;0;4;0;6;0;4;0;2;0;0;0;4;2;0;0;4;4;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;4;4;0;2;0;0;0;0;0;2;4;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2
people;0;0;0;0;0;2;2;2;0;2;0;2;0;0;0;6;0;0;0;2;4;2;2;0;0;0;2;2;0;0;0;0;0;4;2;2;0;2;0;4;0;2;0;0;2;0;4;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;4;0;4;2;4;2;0;2;2;0;4;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;4;0;2;2;0;0;0;4;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
new;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0
government;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;2;0;0;2;0;2;2;2;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
story;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0
security;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;4;2;0;0;0;8;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
