;trump;new;president;great;states;big;united;people;obama;help;americans;world;house;america;york;looking;post;correct;white;fbi;russian;hard;health;select;proud;federal;totally;american;months;thank;nations;best;died;statement;member;russia;good;congress;size;vote;times;department;state;news;city;illegal;women;life;night;making;terrible;campaign;bulbhow;led;senator;rare;country;friday;elder;security;number;use;article;28;administration;stronger;went;west;beer;strong;national;anyone;work;together;republican;fake;champion;understand;protect;justice;another;report;coming;important;whether;court;scrolls;man;ebola;political;provide;internet;company;investigation;order;law;considering;media;council;completely
trump;0;10;14;0;2;4;2;2;4;0;2;0;4;2;6;4;0;2;4;6;6;0;0;0;0;2;2;2;2;0;0;2;0;0;0;2;6;0;0;0;4;2;2;2;4;4;0;0;0;0;0;8;0;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;0;2;4;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;4;2;0;2;0;2;0
new;0;0;10;4;4;2;2;4;4;6;2;2;6;0;12;6;4;0;6;2;4;6;2;0;0;2;4;2;2;0;0;2;0;0;2;0;4;4;0;0;8;4;4;0;2;2;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;4;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0
president;0;0;0;2;2;0;2;4;6;0;0;0;2;0;8;2;2;2;2;4;4;2;0;0;0;2;2;4;0;0;0;2;0;0;0;4;4;4;0;0;4;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;4;2;0;2;0;0;2
great;0;0;0;0;2;4;0;4;2;2;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;2;4;2;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;2;12;0;2;0;0;0;0;2;2;4;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;2;2;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0
big;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;2;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;2
united;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;4;0;0;2;0;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;4;0
people;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;4;0;2;0;0;0;0;0;0;2;0;6;2;0;0;2;4;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
help;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
