;illinois;de;state;que;covid19;#allinillinois;people;health;care;en;la;home;el;support;across;communities;help;los;para;million;work;testing;public;new;families;las;virus;residents;workers;take;stay;together;daily;una;states;safe;thank;#covid19;un;federal;phase;face;pandemic;working;community;social;hospital;por;lives;es;más;briefing;illinoisans;may;businesses;staying;everyone;con;capacity;continue;order;@govpritzker;weeks;move;crisis;visit;local;best;@idph;family;program;se;important;3;days;forward;medical;protect;child;black;still;services;safety;nation;restore;access;essential;coming;spread;week;proud;find;government;business;ive;provide;available;year;plan;emergency
illinois;0;62;80;44;46;62;42;38;36;44;36;34;38;32;50;36;28;34;30;30;26;26;26;18;36;20;12;22;20;18;14;28;4;30;30;16;12;22;22;22;32;16;30;14;18;10;8;18;18;26;16;0;10;12;14;14;14;10;10;16;10;2;14;18;10;12;14;24;8;10;12;16;6;26;6;12;6;8;14;2;16;14;4;16;48;18;10;12;6;12;18;16;12;6;10;12;8;24;28;12
de;0;0;0;124;18;12;0;0;0;116;112;0;102;0;0;0;0;84;82;0;0;0;0;0;0;72;12;0;0;0;0;0;0;76;0;0;2;8;62;10;0;0;2;0;2;6;4;48;0;56;58;0;0;0;0;0;4;48;0;0;0;0;0;0;8;0;2;0;12;0;0;44;0;14;0;0;2;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
state;0;0;0;0;34;38;50;46;46;0;0;32;0;36;84;36;20;0;0;24;24;32;32;20;20;0;10;20;16;12;8;16;6;0;16;16;12;18;0;14;12;16;18;18;12;4;4;0;12;0;0;0;16;6;18;6;6;0;6;12;8;6;8;12;14;12;16;8;16;8;20;0;2;10;12;10;6;12;16;12;2;10;10;20;18;8;4;14;2;10;12;6;16;8;8;12;14;6;16;6
que;0;0;0;0;10;6;0;0;0;82;88;0;82;0;0;0;0;68;62;0;0;0;0;0;0;54;10;0;0;0;0;0;0;52;0;0;0;4;46;10;0;0;0;0;0;2;0;36;0;46;48;0;0;0;0;0;0;32;0;0;0;0;0;0;2;0;2;0;2;0;0;38;0;8;0;0;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
covid19;0;0;0;0;0;10;24;22;22;10;8;12;4;24;8;16;14;12;10;16;10;6;0;16;6;8;14;14;8;6;12;2;72;10;8;6;10;0;8;10;0;8;6;6;6;4;8;4;6;2;2;68;6;2;6;2;4;8;4;2;6;10;2;2;6;6;6;2;4;4;14;6;0;0;4;0;4;2;2;4;6;0;4;2;4;8;2;2;6;2;4;2;2;4;2;4;6;2;0;8
#allinillinois;0;0;0;0;0;0;36;12;24;8;8;48;4;16;22;20;26;0;8;8;10;2;8;4;18;4;22;6;12;26;28;36;2;8;4;12;26;20;2;0;6;22;8;10;14;14;4;0;20;8;0;0;6;14;2;24;12;0;2;6;6;0;2;4;0;14;2;8;14;12;4;0;14;10;4;8;8;18;0;2;10;0;10;6;6;4;8;2;16;6;12;6;0;2;6;2;2;4;0;6
people;0;0;0;0;0;0;0;26;32;0;0;22;0;16;30;14;14;0;0;10;20;4;14;2;6;0;18;6;8;10;12;16;0;0;2;14;8;2;0;4;12;16;8;16;4;12;6;0;6;0;0;0;2;10;6;4;2;0;4;2;6;14;4;4;6;6;8;2;4;4;6;0;4;8;4;4;2;6;0;2;8;4;12;12;2;8;4;2;8;10;8;6;8;4;8;2;0;0;4;0
health;0;0;0;0;0;0;0;0;78;0;0;18;0;14;18;32;14;0;0;6;12;18;40;18;6;0;6;18;36;8;12;4;4;0;14;12;8;8;0;10;18;22;10;4;6;4;12;0;6;0;0;0;0;8;10;4;4;0;12;12;14;2;2;10;18;6;14;8;16;6;10;0;4;8;4;12;6;8;6;6;0;16;16;6;12;16;12;4;2;4;4;0;8;6;0;2;6;4;4;2
care;0;0;0;0;0;0;0;0;0;0;0;10;0;22;18;14;8;0;0;8;22;14;12;6;12;0;6;10;38;18;6;6;2;0;10;8;18;8;0;6;4;8;8;6;2;4;8;0;4;0;0;0;6;2;2;2;6;0;8;2;4;4;2;4;8;4;6;6;6;6;16;0;6;4;6;2;8;8;40;2;10;12;14;6;4;16;16;2;2;0;6;0;10;4;0;6;4;6;4;20
en;0;0;0;0;0;0;0;0;0;0;80;0;82;0;0;0;0;58;48;0;0;0;0;0;0;42;10;0;0;0;0;2;0;44;0;0;0;4;40;6;0;0;0;0;2;6;4;32;0;34;38;0;0;0;0;0;0;30;0;0;0;0;0;0;4;0;2;0;8;0;0;40;0;6;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
