kw_q1,freq_q1,kw_q2,freq_q2,kw_all,freq_all
canada,97,help,142,covid19,227
covid19,94,covid19,133,help,226
help,84,support,103,canada,199
canadians,80,canada,102,support,161
work,68,country,97,country,160
people,67,work,87,work,155
across,65,together,79,people,145
spoke,63,people,78,together,134
country,63,safe,75,canadians,131
support,58,working,71,across,130
together,55,business,70,safe,129
safe,54,across,65,spoke,124
home,54,spoke,61,working,120
working,49,update,59,new,103
new,47,new,56,business,94
call,43,workers,53,call,82
details,34,emergency,53,home,76
health,33,pandemic,52,workers,76
family,33,canadians,51,update,76
canadian,31,watch,47,details,75
world,30,live,45,live,71
spread,29,businesses,41,health,70
stay,29,details,41,watch,70
continue,29,call,39,businesses,66
everyone,28,click,38,emergency,66
response,27,giving,38,world,65
live,26,health,37,taking,61
focused,26,taking,37,family,58
businesses,25,wage,36,making,58
meeting,25,making,36,everyone,56
thanks,25,thank,36,thank,56
friends,25,subsidy,35,stay,54
talk,24,world,35,pandemic,53
morning,24,food,31,response,52
business,24,tune,31,thanks,51
taking,24,steps,30,morning,50
situation,23,talked,28,giving,49
workers,23,economy,28,economy,48
watch,23,apply,28,talked,47
communities,22,fight,28,click,47
making,22,everyone,28,countries,46
earlier,22,countries,27,continue,45
climate,21,morning,26,canadian,45
protect,20,thanks,26,focused,44
thank,20,able,26,protect,44
president,20,response,25,fight,44
change,20,announcing,25,benefit,43
benefit,20,family,25,tune,43
economy,20,stay,25,food,42
talked,19,territories,24,subsidy,41
leaders,19,protect,24,care,41
countries,19,provinces,24,steps,41
economic,19,keeping,24,wage,41
families,19,care,23,year,40
women,19,million,23,friends,39
strong,19,front,23,communities,39
impacts,19,benefit,23,impacts,38
measures,18,week,22,important,37
international,18,owners,22,helping,36
year,18,year,22,situation,36
care,18,home,22,earlier,36
virus,18,jobs,22,president,36
important,18,equipment,21,measures,36
update,17,latest,21,families,35
good,17,difficult,21,spread,35
ottawa,17,rent,20,apply,34
helping,17,global,20,virus,34
thoughts,16,times,20,keeping,34
announced,16,info,20,announcing,34
phone,16,month,19,week,34
fight,16,job,19,meeting,33
forward,16,helping,19,international,33
address,15,impacts,19,able,33
hard,15,important,19,latest,33
future,15,employees,19,phone,32
next,15,loved,18,global,32
opportunities,15,indigenous,18,economic,32
national,15,focused,18,thoughts,32
conversation,15,measures,18,difficult,32
service,14,lives,18,talk,32
celebrate,14,organizations,18,jobs,32
affected,13,lets,18,hard,31
premier,13,communities,17,good,31
whether,13,personal,17,times,31
iran,13,ones,17,million,31
create,13,community,17,prime_minister,30
emergency,13,tough,17,forward,30
matter,13,protective,17,community,30
life,13,seniors,17,strong,30
prime_minister,13,cant,17,loved,29
days,13,prime_minister,17,announced,29
government,13,hard,16,leaders,29
group,13,vulnerable,16,lives,28
community,13,happy,16,celebrate,28
full,13,phone,16,whether,28
week,12,thoughts,16,provinces,27
abroad,12,families,16,info,27
lost,12,virus,16,front,27
yesterday,12,kids,16,women,27
afternoon,12,remember,16,government,27
