;trump;great;new;president;state;job;people;police;media;york;russia;2016;news;government;administration;department;world;fake;story;party;states;public;thank;federal;law;best;become;part;election;united;@foxnews;found;washington;trying;national;still;take;times;sql;force;donald;family;supreme;customers;usa;court;country;statement;week;year;article;use;obama;called;air;help;request;released;announce;close;future;real;weeks;player;economic;strong;illegal;american;nation;security;another;considering;money;according;worth;service;attack;balance;deal;republican;rate;latest;case;may;hottest;loyal;100;earth;democrat;fort;huge;officer;human;young;research;office;wonderful;recent;think;10
trump;0;0;2;8;2;0;4;0;2;2;0;0;4;0;6;0;0;4;0;0;2;4;0;2;2;0;0;2;2;2;0;0;0;4;0;2;2;2;0;2;6;0;0;0;2;0;2;4;2;2;0;2;2;2;2;2;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
great;0;0;2;4;2;6;6;0;0;0;2;0;0;4;0;2;2;0;0;0;0;2;4;0;0;4;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;4;0;0;2;0;0;0;0;2;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
new;0;0;0;2;4;2;0;0;0;12;2;2;2;2;0;4;0;2;0;0;0;2;0;4;2;0;2;0;0;0;0;0;0;0;4;0;0;6;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0
president;0;0;0;0;4;2;2;0;2;2;2;2;4;0;2;2;0;4;0;2;0;0;0;2;0;0;2;0;2;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;2;0;0;4;0;2;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;4;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;0;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;4;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;2;2;2;2;0;2;0;2;2;2;0;0;2;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;2;2;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;2;4;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
