;great;united;trump;people;president;states;new;news;american;republican;national;government;state;federal;obama;house;country;man;administration;thank;help;democrats;york;donald;world;love;police;america;white;china;big;city;working;department;good;washington;history;senate;think;election;2016;end;americans;may;north;fbi;article;presidential;important;women;party;senator;law;justice;another;lot;work;court;trying;year;best;hillary;deal;place;thing;night;major;released;powerful;marijuana;campaign;complete;use;support;vote;times;left;official;post;tuesday;attack;strong;former;shooting;russia;political;war;job;bill;supreme;committee;media;death;nothing;force;making;could;huge;guy;win
great;0;22;16;24;26;20;20;14;18;12;12;0;26;0;2;16;18;6;2;12;6;4;8;4;6;22;2;22;6;2;10;2;8;2;10;12;4;6;4;4;2;4;4;4;2;2;4;4;6;4;2;8;2;2;8;4;8;2;6;6;0;4;2;6;8;6;2;2;2;4;6;4;2;2;4;8;0;2;2;0;0;10;0;2;4;4;0;12;2;2;4;0;0;8;2;6;2;8;6;4
united;0;0;14;30;28;154;16;16;6;4;6;4;12;6;10;6;12;0;10;4;12;0;6;8;26;4;2;16;6;14;0;4;8;4;2;6;10;4;10;0;0;4;0;2;4;4;0;0;4;2;4;6;0;6;2;2;4;6;0;4;2;0;8;2;2;0;8;6;2;0;4;6;4;2;4;2;0;0;4;2;2;6;2;2;0;6;12;2;2;6;4;2;4;2;4;0;4;0;0;2
trump;0;0;0;14;66;14;12;16;12;18;10;4;4;8;8;16;12;4;16;2;2;8;4;50;6;4;0;4;10;2;4;2;2;2;8;4;12;6;0;12;14;4;4;4;4;14;2;18;6;6;4;4;6;4;6;2;2;0;6;2;2;8;2;4;6;4;0;2;0;0;14;8;6;4;8;6;8;4;4;6;4;8;10;2;10;0;4;4;2;0;8;6;2;4;4;4;2;4;2;4
people;0;0;0;0;22;28;16;6;24;8;8;10;10;4;4;2;14;8;6;6;6;8;2;2;4;6;4;10;4;4;8;4;0;4;10;12;4;4;8;4;0;4;2;0;4;2;2;0;2;4;8;4;2;4;0;10;4;4;8;0;4;2;8;4;0;2;6;4;0;4;4;6;2;4;8;0;2;0;8;6;4;6;2;8;0;12;6;2;6;4;0;2;6;0;2;0;2;2;2;0
president;0;0;0;0;0;26;12;12;20;10;14;8;10;4;14;26;12;4;8;6;6;8;6;14;4;2;0;6;16;4;6;2;2;0;4;2;6;4;8;2;2;6;10;6;4;8;4;2;8;4;6;4;2;4;10;2;4;6;2;2;0;6;4;4;10;6;0;0;4;0;6;6;8;6;4;6;4;2;0;4;2;4;8;0;6;2;8;8;4;4;4;4;0;4;4;2;2;2;0;4
states;0;0;0;0;0;0;14;16;6;2;6;4;12;6;10;4;12;0;10;4;14;0;4;6;26;2;2;16;6;14;2;2;8;2;2;6;10;4;8;0;0;4;2;2;6;4;0;0;4;2;2;6;0;6;0;2;6;10;0;2;2;0;10;2;0;0;8;4;2;0;2;6;4;0;4;2;0;0;4;2;2;6;0;2;0;6;10;2;4;8;4;2;4;2;4;0;2;0;0;0
new;0;0;0;0;0;0;0;6;0;6;8;6;6;2;6;6;0;4;8;2;2;8;48;6;2;12;8;10;4;6;4;24;2;4;6;2;6;2;4;6;8;2;2;4;0;0;4;4;0;10;4;4;2;2;2;2;6;2;2;4;8;8;2;0;2;2;8;2;4;2;2;0;0;8;0;20;0;2;6;2;4;2;0;2;0;2;2;2;4;2;0;2;2;4;0;2;4;4;4;4
news;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;10;8;0;8;4;0;6;4;6;8;4;0;4;6;4;6;4;2;0;8;4;0;6;2;2;0;2;2;0;6;2;2;2;4;2;0;0;0;2;0;0;0;2;4;0;4;0;2;2;2;0;2;0;0;0;0;0;0;2;2;0;6;4;2;8;2;0;4;2;0;0;0;0;4;2;4;8;2;2;0;4;0;0;2;2
american;0;0;0;0;0;0;0;0;0;4;2;8;6;2;12;2;6;0;10;2;6;4;0;6;2;0;4;2;0;4;2;0;2;2;4;10;8;2;0;2;2;8;0;2;2;2;4;2;8;0;0;4;0;0;2;0;0;4;4;2;2;2;2;0;2;0;2;0;6;2;0;0;4;2;0;0;2;0;4;0;2;2;2;0;0;8;2;2;0;4;0;0;2;0;0;2;2;2;2;2
republican;0;0;0;0;0;0;0;0;0;0;14;2;8;4;0;6;6;2;2;2;0;6;6;12;0;0;0;2;2;0;6;2;0;0;0;2;2;4;0;8;6;2;2;2;8;0;2;10;2;6;22;4;2;0;0;0;0;2;4;0;2;0;0;2;4;6;2;2;0;0;6;6;2;2;6;4;4;2;0;6;0;4;0;4;0;0;0;2;2;2;2;4;0;6;2;0;0;2;0;4
