;state;wisconsin;work;health;folks;communities;covid19;help;people;thank;#covid19;safe;home;public;wisconsinites;order;continue;support;together;#saferathome;working;businesses;take;workers;great;across;safety;healthcare;wisconsins;important;good;plan;care;best;community;stay;families;learn;neighbors;kids;ensure;family;emergency;lives;schools;legislature;spread;testing;protect;@dhswi;forward;critical;local;week;students;part;year;staying;still;announced;available;safer;everyone;lets;program;find;needs;visit;safely;crisis;contact;virus;business;healthy;able;hard;resources;address;#stayhome;pandemic;may;isnt;services;access;federal;million;please;ensuring;vote;calling;join;future;black;farmers;live;another;friends;social;times;information
state;0;76;68;38;64;46;30;22;56;38;14;18;14;28;22;14;30;36;30;14;24;26;16;20;10;56;18;12;18;18;26;14;18;18;24;10;26;14;12;24;22;24;20;16;18;20;12;12;14;6;24;10;16;8;12;10;18;4;8;14;10;8;8;8;6;8;12;6;12;8;4;6;18;0;4;14;12;20;4;10;6;8;10;14;14;6;12;8;0;2;6;20;6;14;6;2;6;4;8;4
wisconsin;0;0;58;48;34;38;30;26;28;34;26;30;26;34;28;16;30;28;38;26;14;30;20;20;30;12;14;10;8;12;24;12;18;18;10;12;26;16;10;4;14;8;12;10;10;6;14;14;8;16;12;14;14;14;14;8;10;12;6;16;12;8;6;18;10;8;2;10;6;8;6;8;8;10;12;8;14;4;12;8;6;4;2;8;10;8;6;6;0;6;2;10;4;16;0;8;0;4;12;6
work;0;0;0;20;36;50;18;16;26;38;26;24;14;12;18;0;22;18;40;6;8;24;6;16;26;12;12;10;8;18;30;8;12;18;12;4;14;8;6;14;22;12;6;6;8;12;14;8;10;4;14;10;12;10;8;8;16;6;10;8;4;8;8;22;14;8;8;4;14;2;2;6;8;8;6;16;2;6;0;4;10;4;6;8;6;6;0;12;4;4;2;6;6;10;4;2;2;10;8;2
health;0;0;0;0;18;14;34;24;26;22;30;14;16;86;28;14;10;10;8;20;22;14;14;16;8;6;36;12;8;18;12;6;14;0;10;6;12;8;12;6;14;6;42;12;6;8;14;6;20;10;6;16;10;2;2;2;8;8;2;4;8;4;2;8;0;4;4;14;2;12;8;8;6;4;0;6;8;10;6;4;6;6;8;12;4;0;4;10;6;2;4;2;6;4;2;0;4;0;2;6
folks;0;0;0;0;0;22;22;24;22;20;12;24;22;4;8;16;18;6;16;14;16;16;12;14;12;32;12;12;4;12;14;4;14;12;6;10;10;4;12;10;8;12;8;8;4;8;6;4;16;14;6;14;6;6;2;10;4;8;10;4;4;8;10;12;2;8;4;8;6;4;0;4;10;8;10;10;2;2;6;8;4;10;2;8;0;0;12;8;6;2;2;6;0;0;0;4;8;8;0;4
communities;0;0;0;0;0;0;18;22;14;28;24;48;22;12;6;10;22;16;10;20;14;14;6;18;16;18;8;8;8;20;8;8;8;12;10;6;26;10;24;8;12;12;6;6;4;6;8;4;8;4;12;12;12;10;8;14;6;8;10;10;2;6;6;14;6;0;6;2;2;6;6;8;4;18;2;6;12;12;8;4;2;10;2;6;4;8;4;6;2;4;2;2;0;10;0;4;8;8;4;2
covid19;0;0;0;0;0;0;0;20;16;6;12;18;16;26;20;12;16;10;4;8;18;2;8;16;0;0;10;12;4;12;6;2;18;10;6;6;6;6;8;6;16;4;20;10;10;0;38;16;8;16;4;4;6;6;2;8;2;4;8;6;8;2;0;2;4;6;4;8;4;2;12;6;2;8;2;8;8;6;2;10;0;0;2;4;2;6;10;6;0;2;4;2;2;4;6;2;4;2;6;8
help;0;0;0;0;0;0;0;0;12;10;26;34;14;12;16;14;8;10;8;16;6;14;8;18;4;6;4;18;6;10;4;6;8;4;10;14;8;4;22;8;4;16;10;8;4;4;12;4;14;8;4;0;4;0;2;14;0;6;6;6;6;2;6;0;4;12;10;16;6;6;6;2;6;12;8;2;4;4;14;0;0;2;0;6;2;2;4;0;0;8;0;2;0;2;0;2;10;4;8;0
people;0;0;0;0;0;0;0;0;0;8;10;18;10;16;4;16;14;12;8;12;10;10;10;8;2;12;8;6;6;8;8;2;6;6;12;4;6;4;8;2;4;2;0;12;4;6;10;2;6;4;12;4;0;0;0;6;6;6;6;2;4;4;2;6;0;4;2;2;8;8;4;8;8;2;2;8;0;0;6;6;2;8;6;0;0;0;6;0;0;0;2;0;2;2;0;2;4;4;2;0
thank;0;0;0;0;0;0;0;0;0;0;14;18;14;18;10;4;10;6;18;16;22;2;10;12;4;4;4;8;2;8;8;0;8;6;2;4;4;0;0;6;2;4;6;2;2;2;2;2;4;6;6;8;2;14;12;0;4;14;0;2;0;4;6;4;2;2;4;4;2;2;0;0;2;6;0;10;2;6;6;8;4;2;2;2;2;0;4;0;0;0;0;2;0;2;0;0;2;6;2;2
#covid19;0;0;0;0;0;0;0;0;0;0;0;16;18;20;20;6;8;10;14;18;6;12;12;8;0;4;2;10;4;10;8;6;2;16;2;12;4;2;10;2;4;12;16;8;4;2;14;12;14;12;2;4;14;8;4;8;2;6;2;8;8;4;2;8;4;4;4;12;4;8;12;12;2;4;0;0;10;6;10;12;2;4;0;0;4;0;0;2;0;6;2;0;2;4;4;2;8;10;0;4
safe;0;0;0;0;0;0;0;0;0;0;0;0;24;10;16;14;20;8;6;16;8;16;4;16;2;4;4;0;12;4;10;4;2;8;6;24;20;8;20;2;6;4;2;4;2;8;6;0;4;4;6;6;6;4;2;20;2;10;12;4;0;10;16;6;2;0;0;2;6;2;2;6;6;30;0;4;0;2;6;4;4;2;0;0;0;2;6;0;2;2;2;2;0;0;0;6;6;12;4;2
home;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;24;18;10;18;32;18;6;6;0;6;8;10;4;6;8;6;6;10;2;10;20;10;6;14;8;6;2;8;14;4;0;4;2;6;10;4;2;0;4;4;4;2;30;8;0;6;40;4;12;2;4;2;2;10;0;10;6;2;14;0;2;0;0;14;2;8;6;6;4;0;2;2;2;4;2;0;0;0;0;2;2;6;8;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;4;4;4;10;10;12;4;12;6;6;10;10;4;8;4;0;8;0;6;4;6;6;4;2;8;2;38;6;8;4;16;2;6;12;6;8;4;6;2;2;0;2;2;0;6;2;0;2;0;0;4;10;0;14;4;6;8;2;2;4;6;6;2;4;0;2;2;8;2;2;2;0;4;0;6;2;4;4;2;2;2;0;2;6
wisconsinites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;12;12;12;14;8;6;6;6;6;12;4;6;4;12;8;6;2;2;2;6;6;8;4;2;0;10;6;2;4;6;2;2;2;6;8;2;0;0;2;4;8;6;6;2;10;0;10;4;2;4;4;2;2;2;4;0;6;2;0;2;6;6;2;4;8;4;4;2;2;0;6;2;4;0;2;6;4;0;4;0;0;10;4
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;6;40;6;12;10;2;4;6;8;2;10;12;2;4;2;2;4;0;4;4;8;0;4;2;10;6;4;6;8;6;2;6;0;4;0;4;0;8;0;4;4;6;16;20;2;0;0;2;0;0;2;0;4;6;6;4;2;6;2;2;14;2;6;8;4;2;0;2;6;0;0;2;2;0;0;0;2;4;2;2;0;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;6;8;12;4;12;0;8;6;12;6;10;8;2;12;12;10;8;12;6;8;8;6;4;2;2;12;2;6;4;8;4;2;2;2;0;6;2;2;4;4;6;8;10;12;4;2;8;0;0;4;2;0;10;0;8;0;0;2;6;0;2;4;4;2;2;2;6;12;2;2;2;0;6;0;0;0;0;0;6;0;4
