;please;email;councillor_matlow@torontoca;feel;welcome;thank;city;community;support;toronto;health;public;happy;together;care;covid19;id;people;residents;love;staff;ive;good;family;number;call;hi;council;reach;police;work;certainly;@johntory;kind;motion;discuss;eglinton;pleasure;important;local;thanks;everyone;new;working;believe;citys;government;wonderful;best;pandemic;follow;budget;thoughtful;distancing;take;emergency;conversation;morning;understand;construction;businesses;still;write;details;lives;ford;appreciate;agree;social;yes;hope;lets;safe;office;homes;grateful;home;able;meeting;life;councillor;along;pleasant;workers;tenants;person;longterm;advice;part;ontario;completely;send;proud;mount;hear;heres;provincial;protect;crisis;st
health;0;0;0;0;0;0;0;0;0;0;0;124;18;18;16;26;4;28;12;14;14;10;50;24;4;4;12;4;6;2;12;12;12;8;2;2;0;2;12;6;10;14;10;8;4;16;6;8;10;14;4;0;4;20;20;30;4;10;14;12;8;8;4;4;8;0;12;0;10;2;2;10;14;14;0;4;10;4;0;10;2;4;8;16;2;6;0;50;8;2;4;6;4;8;8;6;8;18;6;0
public;0;0;0;0;0;0;0;0;0;0;0;0;10;12;12;20;6;20;16;2;16;14;14;8;4;4;10;6;4;10;6;8;8;6;4;8;2;2;18;6;6;4;6;8;8;18;10;4;8;10;4;10;6;16;8;22;6;10;18;14;6;10;0;2;4;8;6;0;6;0;6;6;10;10;6;4;6;0;4;6;6;2;8;12;0;0;2;36;4;8;2;6;2;8;2;6;8;14;6;0
happy;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;0;122;2;4;6;10;12;12;14;78;56;24;0;74;6;2;12;10;4;6;46;2;2;2;8;2;8;0;2;2;6;4;4;4;2;10;0;4;2;2;6;14;2;6;0;2;2;0;8;8;2;8;6;2;0;4;2;0;2;0;0;0;4;0;0;6;2;4;0;0;0;0;2;2;0;10;26;2;2;8;0;4;0;0;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;4;22;12;22;12;10;4;8;2;4;2;0;4;2;20;2;6;8;0;2;8;22;4;12;6;16;6;16;4;8;4;0;6;20;0;0;8;8;24;2;14;8;4;4;10;0;4;0;10;2;6;2;8;6;4;24;2;4;0;6;10;6;6;10;2;8;0;0;4;2;2;6;2;2;10;2;12;0;2;2;6;6;4;8
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;26;40;16;26;6;6;10;2;12;8;0;0;0;18;2;2;8;2;2;0;6;12;8;2;8;2;8;6;2;2;4;2;10;0;0;6;6;16;2;2;2;2;0;10;2;6;0;0;4;8;0;4;4;2;10;6;0;60;6;10;4;2;10;8;14;2;10;2;4;60;2;8;2;0;0;2;0;0;2;0;12;2;6
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;22;4;16;4;6;2;0;6;0;6;2;2;8;4;0;2;6;4;0;8;8;8;2;12;10;10;0;6;12;0;4;28;6;0;4;12;6;10;2;2;2;2;14;10;0;0;10;8;4;0;8;0;2;4;6;2;8;2;10;6;4;0;4;6;0;4;18;4;10;6;8;12;0;0;0;0;0;10;4;12;32;4
id;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;10;2;4;84;62;18;0;80;8;4;10;4;0;8;44;2;2;0;6;2;0;0;0;2;0;4;0;2;0;2;2;6;2;0;0;22;0;10;0;2;0;0;4;0;4;12;6;2;0;4;2;0;0;0;0;0;2;0;0;4;0;2;0;0;2;0;2;2;2;8;28;2;2;2;0;4;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;8;8;14;6;0;4;2;0;0;0;18;4;2;0;0;0;4;6;6;4;12;10;8;2;4;2;8;0;2;10;2;0;4;18;12;4;6;6;6;2;6;14;0;0;8;6;2;0;12;2;4;6;10;0;8;6;6;4;4;4;2;8;4;4;4;4;6;10;4;4;4;0;8;4;2;6;6;4;6;4
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;24;6;6;2;2;4;6;6;2;6;10;0;2;0;2;10;14;6;10;22;8;4;12;14;0;16;4;2;0;4;2;4;6;0;2;8;2;8;0;4;4;0;0;0;4;4;4;0;2;2;4;2;8;2;22;8;8;0;8;10;4;22;0;12;2;2;32;2;4;6;0;2;2;0;0;2;2;14;0;8
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;10;30;2;0;2;0;2;0;4;2;0;14;0;0;2;0;0;4;4;14;2;0;2;0;0;8;6;8;2;0;2;4;0;4;2;2;4;0;4;4;10;0;0;0;6;2;2;4;0;2;6;0;8;4;0;2;0;8;0;0;0;4;0;4;6;0;0;0;2;2;6;0;0;0;0;0;0;4
staff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;4;4;4;6;6;0;2;20;12;6;2;4;8;4;6;4;10;10;4;4;12;2;18;0;2;2;4;32;0;0;4;2;4;4;4;2;0;2;2;0;6;2;0;2;0;4;0;2;6;2;10;14;4;10;0;8;4;2;8;2;0;0;2;18;2;2;0;2;2;4;2;6;2;2;10;2;0
ive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;4;6;6;6;6;6;12;2;6;0;0;2;6;10;6;2;0;4;12;6;2;4;2;4;2;4;10;6;8;8;4;4;6;4;2;6;0;6;6;0;4;0;6;0;4;2;4;4;2;6;0;0;2;2;0;6;10;0;4;2;2;0;2;0;2;2;0;10;2;0;0;2;4;4
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;2;2;4;2;6;8;4;2;4;4;2;0;4;10;0;6;6;4;2;6;4;2;6;10;2;0;6;4;0;10;2;8;26;0;0;0;22;6;0;2;2;6;4;0;2;2;2;2;0;2;4;2;2;4;8;2;4;0;2;4;2;2;2;2;0;4;0;4;0;8;2;0;4;2;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;4;0;4;4;0;12;0;2;0;2;0;0;6;10;0;2;6;0;0;8;26;0;2;0;4;2;2;0;0;6;4;2;0;6;8;0;6;0;8;2;0;4;16;0;4;0;4;8;8;0;0;6;2;0;0;0;2;6;4;0;4;0;2;0;2;0;0;0;0;0;0;0
number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;22;0;106;4;0;16;4;0;8;60;2;0;0;0;4;0;0;4;0;0;2;0;6;0;0;0;4;2;2;0;10;2;8;0;4;0;0;0;0;0;4;8;2;2;4;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;4;2;0;10;38;0;2;2;2;2;0;2;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2;72;4;2;12;4;0;6;42;2;0;2;0;2;4;0;4;2;0;0;0;6;2;0;0;4;2;2;0;8;2;8;0;6;0;0;2;0;2;4;6;2;2;4;0;0;0;10;0;4;0;0;0;6;2;2;0;2;0;4;0;2;0;8;24;0;2;2;2;2;0;4;0
hi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;22;4;0;8;6;2;6;16;0;0;0;0;0;4;0;2;2;0;2;0;2;0;16;0;0;4;0;8;2;2;10;2;0;0;0;4;0;0;2;2;2;2;6;0;2;28;6;0;4;0;0;0;0;0;20;6;0;0;6;6;0;0;4;12;0;20;0;0;2;0;0;0
council;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;2;4;2;0;52;6;2;2;0;4;4;0;8;4;8;4;6;0;0;4;2;26;2;0;6;0;0;2;4;6;2;2;0;4;0;6;0;0;0;2;2;2;2;0;0;6;0;0;28;2;4;4;0;0;4;2;0;2;4;0;0;0;0;2;4;6;4;0;4;0
reach;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;14;2;0;6;54;2;0;0;0;2;2;2;4;0;0;2;0;2;0;0;0;4;0;2;0;10;0;10;0;4;0;0;0;0;0;6;8;0;0;2;4;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;10;24;0;2;6;0;2;0;4;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;28;4;4;0;0;6;6;2;2;0;6;4;0;0;0;0;2;52;4;0;4;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;4;0;0;0;2;0;2;6;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;2;0;2;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;2;16;20;8;6;8;2;2;4;6;2;2;0;10;0;0;4;0;2;4;6;6;2;2;10;8;0;6;4;0;2;0;4;6;2;2;4;6;4;12;4;2;8;12;0;2;0;4;2;0;6;2;2;0;0;0;4;0;0;0;2;4;4;6
certainly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;8;2;0;2;2;2;0;0;0;4;4;4;2;0;0;24;4;0;8;2;4;0;0;6;0;2;2;0;4;2;0;0;2;6;2;10;4;2;2;0;0;0;0;0;4;2;0;0;2;2;0;0;6;2;0;2;6;0;0;6;0;6;0;0;0
@johntory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;2;2;2;0;2;4;6;4;2;2;2;2;0;2;2;0;6;4;2;2;0;2;2;0;0;2;0;2;8;2;0;2;0;2;0;2;2;0;2;0;2;2;2;2;0;0;0;2;8;0;2;8;4;4;2;2;2;8;0;4;0
kind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;4;0;0;8;0;0;6;10;2;2;0;8;0;4;0;2;0;2;0;2;0;48;0;2;0;10;0;0;2;8;2;4;0;0;2;0;0;0;2;2;0;0;0;0;14;0;0;2;0;2;2;4;0;0;2;0;2;2;0
motion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;6;0;0;8;4;6;0;6;0;0;4;0;18;0;0;2;0;0;0;2;6;2;0;0;0;0;10;0;0;0;2;2;0;2;0;0;0;0;0;10;2;4;0;0;0;4;0;0;2;2;0;0;2;0;0;2;4;4;0;4;0
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;2;0;0;2;4;4;6;0;0;2;0;2;4;6;0;0;4;2;8;6;0;4;0;0;0;0;0;2;6;2;0;6;0;0;2;2;0;0;2;2;4;2;2;0;0;4;0;2;2;2;2;8;18;0;0;2;0;0;2;0;0
eglinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;10;2;4;10;2;0;0;2;0;0;4;0;0;2;2;2;2;4;4;2;22;16;2;0;0;0;2;0;0;2;0;2;2;2;2;0;0;0;0;8;8;0;12;2;2;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;4
pleasure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;4;10;0;0;0;2;0;2;2;0;6;0;0;2;4;14;2;0;2;0;0;0;0;0;4;0;0;2;0;0;2;4;4;0;4;0;6;4;4;0;0;2;0;2;6;0;4;2;0;0;0;0;0;2;0;4;2;2
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;12;8;2;2;4;4;2;4;8;4;2;4;4;0;2;0;6;0;0;0;2;2;4;0;2;0;6;2;4;2;4;2;0;0;4;4;0;4;0;4;2;6;6;0;4;2;0;0;0;0;2;0;4;6;4;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;6;8;0;4;4;6;0;2;4;0;2;0;2;4;2;4;0;0;20;0;0;0;2;0;0;0;2;0;4;6;0;4;0;6;0;4;4;6;8;16;0;0;0;2;0;2;8;0;0;0;2;0;0;2;4;2;2;14
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;6;4;4;4;2;2;4;4;4;4;0;0;4;4;2;0;0;4;4;0;0;2;2;0;0;0;2;0;6;0;2;0;4;2;2;0;2;0;0;2;4;0;4;0;0;0;4;0;2;6;2;0;0;2;4;0;2
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;4;2;4;4;6;2;2;8;4;2;2;4;4;0;2;2;2;4;2;4;0;2;0;2;2;0;4;2;0;2;2;10;2;6;6;0;4;6;4;0;4;2;2;0;0;0;0;4;2;2;0;0;2;2;10
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;0;2;6;2;4;0;0;0;0;0;2;0;8;8;2;0;2;0;10;0;0;0;2;0;4;6;0;0;2;2;4;2;2;6;4;0;4;0;0;2;2;2;6;0;0;0;0;4;0;0;4;4;6
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;4;0;0;4;2;4;2;2;10;0;4;2;2;0;2;4;0;4;4;2;2;0;4;0;2;6;6;4;2;4;2;4;4;0;4;4;2;6;0;2;0;6;0;0;0;2;2;2;4;2;4
believe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;8;4;0;2;2;6;2;8;0;0;4;2;2;4;2;0;8;0;6;4;4;2;0;2;0;0;0;0;0;0;0;4;0;0;2;2;0;6;2;2;0;0;4;4;2;4;2;4;0
citys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;2;6;8;2;2;4;10;2;0;0;8;2;2;0;4;0;6;2;2;6;0;4;6;8;4;0;6;0;2;0;4;0;4;0;0;2;4;0;8;4;4;4;0;2;0;8;0;0;2;4;2
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;6;2;2;4;14;4;2;2;4;2;30;0;6;4;2;2;0;0;0;2;0;4;2;0;0;0;4;0;2;10;0;0;4;0;14;2;0;0;0;2;2;24;2;10;0
wonderful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;8;2;0;0;4;0;4;0;0;0;0;2;0;2;2;0;2;0;0;0;0;4;4;0;2;0;0;2;0;12;0;0;0;0;2;0;4;0;0;0;0;0;2;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;2;4;2;0;2;2;8;0;2;0;4;2;0;0;2;2;0;0;2;0;0;0;0;2;2;2;0;0;2;4;2;6;0;0;0;2;2;0;0;2;2;2;2;2
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;0;10;2;4;14;8;6;0;0;2;8;0;0;2;0;0;4;6;2;0;0;2;2;6;2;0;4;2;8;2;4;2;6;4;6;0;0;2;2;0;2;0;8;2;0
follow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;8;2;0;6;0;0;0;0;4;2;0;0;2;2;0;0;0;0;12;0;0;2;0;4;2;0;0;0;0;0;2;0;4;0;2;2;2;0;0;2;2;2;0;0;4
budget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;4;2;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0
thoughtful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;16;4;4;0;0;0;10;0;4;4;10;0;2;0;0;0;2;0;2;0;0;0;10;4;0;0;0;0;2;6;4;0;2;4;0;2;2;0;0;2;0;0;0;2
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;2;0;4;0;0;10;0;2;0;46;2;0;4;16;0;0;0;4;4;0;2;0;0;6;2;0;2;0;14;4;2;0;0;0;6;0;2;2;4;2;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;8;4;4;6;2;2;4;4;0;0;4;0;2;16;2;0;0;0;2;6;0;4;0;2;2;0;0;4;0;6;2;2;2;0;2;0;0;4;4;6;2;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;6;4;4;0;0;2;4;2;4;0;0;0;0;2;4;30;0;6;0;2;0;2;0;4;0;2;2;2;0;6;0;2;0;2;2;0;2;2;2;2;2;0
conversation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;0;2;6;8;0;0;0;2;2;4;0;0;4;2;0;8;4;0;2;0;2;0;2;0;2;0;4;0;4;2;0;0;0;0;4;0;2
morning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;18;0;10;2;0;4;0;0;8;0;2;0;2;0;2;0;2;0;8;0;2;0;4;2;0;0;0;2;2;2;2;2;0;0;4;0;0;2;2
understand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;4;2;2;4;2;0;4;2;2;4;0;0;0;4;0;0;0;0;0;2;0;2;0;10;4;2;6;4;0;0;4;4;4;0;0;0
construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;2;0;12;0;2;2;0;0;0;2;0;0;0;6;0;0;4;2;6;0;12;2;0;0;4;2;4;2;2;0;0;2;0;2;2;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;2;4;6;0;2;2;0;4;0;8;0;10;2;0;2;4;0;0;0;0;2;0;0;0;2;0;6;0;6;12
still;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;2;4;0;2;0;0;0;0;0;0;6;2;0;0;2;6;0;0;0;2;6;2;0;0;0;0;4;0;0;2;0
write;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;2;0;0;0
details;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;10;0;0;2;0;0;0;2;2;2;0;0;0;2;0;2;0;0;2;4;2;0;0;0;2;4;2;6;0;0;2
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;2;2;2;2;0;4;8;2;2;2;0;0;0;4;2;2;0;4;8;2;2;0;2;0;0;4;0;4;6;0
