;please;email;councillor_matlow@torontoca;feel;welcome;thank;city;community;support;toronto;health;public;happy;together;care;covid19;id;people;residents;love;staff;ive;good;family;number;call;hi;council;reach;police;work;certainly;@johntory;kind;motion;discuss;eglinton;pleasure;important;local;thanks;everyone;new;working;believe;citys;government;wonderful;best;pandemic;follow;budget;thoughtful;distancing;take;emergency;conversation;morning;understand;construction;businesses;still;write;details;lives;ford;appreciate;agree;social;yes;hope;lets;safe;office;homes;grateful;home;able;meeting;life;councillor;along;pleasant;workers;tenants;person;longterm;advice;part;ontario;completely;send;proud;mount;hear;heres;provincial;protect;crisis;st
please;0;560;544;454;452;42;44;16;36;28;36;30;108;16;14;8;92;8;10;12;44;30;10;12;88;62;102;18;76;16;12;48;58;10;10;54;6;6;10;20;8;6;2;12;2;12;16;4;8;6;52;2;10;2;8;16;8;16;20;6;8;12;2;46;4;2;8;28;0;16;8;4;6;38;4;0;6;10;10;8;8;4;24;2;10;0;4;8;0;0;18;42;0;24;16;0;20;8;6;4
email;0;0;628;478;496;36;56;6;26;18;38;26;126;2;12;2;120;2;2;10;50;24;8;8;118;82;104;12;98;10;10;56;62;6;10;58;2;2;6;12;10;2;2;12;6;16;18;6;10;0;60;0;6;0;6;26;10;14;22;6;4;10;0;52;0;4;10;34;0;12;10;4;4;44;2;0;0;10;2;2;8;4;26;0;6;2;2;8;2;2;24;46;0;26;20;2;16;0;2;0
councillor_matlow@torontoca;0;0;0;478;492;34;48;4;24;16;34;24;136;2;10;2;126;2;4;6;42;24;4;8;118;84;106;10;102;10;10;48;60;8;10;68;2;2;6;12;10;2;2;12;6;16;18;6;8;0;56;0;8;0;2;24;8;12;20;6;4;8;0;52;0;4;10;34;0;12;10;0;4;42;2;0;0;8;2;2;6;4;26;0;6;2;2;10;4;2;22;50;0;26;16;2;16;0;2;0
feel;0;0;0;0;482;12;32;6;16;14;40;24;100;8;8;4;84;6;2;6;30;26;4;4;80;50;78;8;76;6;14;34;50;8;4;58;2;0;6;12;8;0;2;10;2;16;14;2;2;4;26;0;4;2;2;24;6;10;16;4;6;10;4;44;2;2;8;30;2;4;2;2;4;44;0;8;0;8;2;6;4;2;24;0;6;2;0;8;2;2;24;24;0;24;18;0;12;0;4;0
welcome;0;0;0;0;0;12;34;12;20;14;38;24;106;2;8;2;86;2;10;4;32;20;6;4;84;56;78;8;76;6;10;34;50;4;4;58;4;0;4;12;6;2;4;10;2;16;14;2;4;0;28;0;6;0;2;26;6;8;14;4;4;6;0;44;2;2;6;32;0;4;2;0;4;44;0;0;0;4;4;2;4;2;24;0;6;0;0;8;2;6;20;24;4;24;18;2;12;0;4;0
thank;0;0;0;0;0;0;20;54;34;14;16;10;10;22;22;8;10;8;8;34;12;12;10;26;8;10;8;10;8;2;26;8;12;60;6;8;2;16;18;8;0;22;2;6;4;2;4;20;20;6;10;2;26;4;2;2;14;0;0;0;4;4;44;0;6;0;24;2;6;6;8;4;6;0;8;18;0;2;20;8;6;2;2;12;0;6;4;2;10;4;4;2;4;0;2;2;0;10;4;8
city;0;0;0;0;0;0;0;32;30;86;14;26;10;12;22;22;6;14;30;6;66;10;8;4;6;8;12;72;2;28;12;10;8;0;38;20;4;10;8;10;14;6;12;10;6;16;12;0;6;8;22;24;6;2;4;4;8;6;4;12;2;2;0;14;4;8;2;2;2;6;10;8;6;4;18;2;6;4;24;4;28;4;0;12;8;2;14;2;4;10;10;2;2;0;6;12;14;4;6;0
community;0;0;0;0;0;0;0;0;40;32;16;18;18;42;22;20;2;26;36;28;30;10;12;30;0;8;2;22;2;12;22;0;0;6;12;8;14;18;16;30;12;30;14;16;8;16;0;8;8;14;2;16;10;10;6;8;12;10;0;0;14;6;6;2;12;6;14;0;10;2;8;12;4;2;4;16;2;0;26;8;4;10;4;2;4;10;4;4;14;4;8;0;12;2;2;16;0;4;8;16
support;0;0;0;0;0;0;0;0;0;26;26;16;6;24;48;28;6;22;36;28;18;8;22;18;4;10;8;14;6;10;24;8;14;4;20;0;12;8;16;18;8;16;12;12;8;6;18;4;12;10;2;6;10;4;2;10;8;2;4;2;34;4;2;6;10;10;4;2;4;2;4;8;6;0;22;12;4;2;10;16;4;16;4;12;12;6;26;2;8;2;4;2;14;4;4;2;6;14;20;14
toronto;0;0;0;0;0;0;0;0;0;0;42;54;4;14;8;30;2;10;20;4;4;8;6;8;2;10;10;48;2;46;10;4;2;0;26;12;2;6;8;8;4;4;18;4;0;14;4;0;4;10;8;28;12;2;6;18;4;4;4;6;8;2;2;4;2;4;0;0;2;4;4;0;12;12;12;8;2;4;16;6;24;0;0;8;12;6;4;8;2;6;0;2;4;0;2;18;6;8;6;0
