;#familiesfirst;crisis;lives;coronavirus;house;testing;american;families;across;truth;health;ensure;businesses;democrats;resources;workers;continue;trump;fight;president;livelihoods;work;economy;americans;communities;protecting;country;democracy;people;et;pandemic;reporters;protect;access;together;science;america;program;speaking;frontline;congress;world;fighting;paycheck;working;protection;act;committee;put;public;governments;save;properly;bipartisan;care;death;nationwide;disaster;state;administration;emergency;de;donald;#amr;life;essential;select;start;local;conference;#lssc;take;decisions;response;goes;money;ensuring;clear;press;americas;#latelateshow;passed;por;weekly;interim;vote;relief;proper;making;needed;congressional;responsibility;facts;#amjoy;key;used;senate;legislation;@thisweekabc;stop
#familiesfirst;0;14;20;20;14;14;16;12;12;6;14;18;16;12;18;14;12;6;14;10;14;10;12;10;8;10;8;6;6;4;4;4;8;10;6;10;4;10;4;6;8;2;6;10;6;10;6;2;10;4;4;6;4;6;8;2;8;0;4;4;2;0;0;6;8;4;2;4;4;2;6;6;6;6;6;6;4;6;2;2;4;4;0;2;4;6;4;2;4;4;4;4;6;4;6;4;6;4;6;4
crisis;0;0;6;12;6;2;0;2;2;4;8;6;2;0;2;2;2;4;6;8;0;0;2;4;0;2;0;4;0;2;0;0;0;0;6;0;2;0;0;2;4;4;0;0;4;0;2;6;2;6;4;2;4;2;0;0;2;2;4;4;4;0;2;2;0;4;6;2;4;0;2;4;4;2;0;2;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;4;2;0;2;2;0;2;0;2
lives;0;0;0;4;2;0;10;2;6;4;2;2;2;2;2;4;0;6;4;4;12;2;2;6;4;4;6;6;6;0;6;0;6;0;2;2;0;0;0;4;0;0;2;0;4;0;2;0;2;0;0;8;2;0;0;2;0;4;0;0;2;0;4;2;6;2;0;0;0;0;2;0;0;4;2;2;2;4;0;0;0;2;0;0;4;0;2;2;0;2;4;0;2;2;0;0;0;0;0;2
coronavirus;0;0;0;0;10;4;2;4;4;0;4;2;2;2;6;4;8;2;10;2;2;2;4;2;6;0;2;2;0;2;0;0;6;2;2;2;2;0;0;2;4;2;2;0;2;0;4;6;0;0;2;4;0;4;2;0;2;0;2;2;2;0;0;0;0;0;6;0;2;0;0;0;2;2;2;0;4;2;0;2;2;4;0;0;2;0;4;0;0;2;0;0;4;0;2;0;0;2;2;2
house;0;0;0;0;0;0;4;6;0;2;4;6;2;14;4;4;10;0;2;2;2;8;0;0;2;2;0;2;2;6;0;6;0;2;2;2;0;2;6;0;2;2;2;2;0;2;0;6;2;0;0;2;0;4;2;0;4;0;0;0;2;0;0;2;0;0;6;0;0;2;0;0;2;0;2;0;0;0;2;0;0;6;0;2;2;0;4;2;2;0;0;0;0;2;0;2;6;4;0;0
testing;0;0;0;0;0;0;2;0;2;4;2;2;0;0;2;2;0;4;0;2;0;2;8;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;4;0;0;0;2;0
american;0;0;0;0;0;0;0;6;4;0;2;2;2;6;2;6;4;0;0;2;12;8;0;0;4;6;4;6;8;0;2;2;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0
families;0;0;0;0;0;0;0;0;10;0;8;2;4;6;2;8;4;0;0;2;4;4;0;0;6;6;6;0;2;0;0;2;2;2;2;0;4;0;2;2;2;4;2;0;4;0;0;2;2;0;0;0;2;4;2;0;2;0;0;0;0;0;0;0;0;4;2;4;0;0;0;2;0;0;2;2;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
across;0;0;0;0;0;0;0;0;0;0;2;2;10;0;10;6;2;0;2;0;4;2;0;2;6;6;14;0;2;0;2;0;2;4;2;0;10;2;0;4;0;4;2;2;4;2;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;4;2;0;0;2;0;0;2;0;6;0;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;4
truth;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;10;0;2;0;0;4;2;0;0;0;0;0;0;6;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;8;0;2;0;0;8;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;4;4;0;2;0;2;0
health;0;0;0;0;0;0;0;0;0;0;0;6;0;4;2;6;4;2;4;2;4;2;2;6;2;4;0;2;2;0;0;2;4;0;0;0;2;0;2;2;4;6;0;0;0;0;2;0;0;6;0;0;2;0;8;0;2;2;0;0;0;0;2;2;0;2;0;2;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;2;2;0;4;0;2;0;0;2;0;4;0;0;0;0;2;0;0;0;4;0;0;4;2;2;4;2;4;0;4;2;4;0;0;4;2;2;2;0;0;0;0;2;0;0;4;0;0;4;0;0;0;2;4;0;0;2;4;0;0;0;0;0;4;0;0;0;0;2;0;0;2;0;2;0;0;0;4;2;4;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;2;2;2;0;2;0;0;0;6;6;4;0;0;0;0;0;0;10;0;0;6;8;0;4;2;0;0;8;0;8;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;4;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;4;2;2
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;0;2;4;8;0;0;2;2;0;0;4;4;0;6;0;0;0;2;0;0;6;0;2;2;4;0;0;0;2;0;4;0;2;0;0;4;2;0;4;0;2;0;4;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;2;2;4;0;0;2;0;0;4;0;0;0
